Авербах Ал. и Гинсбург Л.,Обед в кармане ,,1933,10000,,1,,,М.-Л.,м
Алексеев Я. Я. ,Дунин мох,,1933,10000,,1,,,Смоленск,м
Ананьин И. ,Повесть о лотерейном билете и пионерах Сереже и Пете,Повесть,1934,3000,,1,,,Симферополь,м
Атлас М.,Из прошлого ,,1933,2000,,1,,,Симферополь,м
Ауров Н.,Под полуночным солнцем,Повесть,1936,7000,,1,,,Архангельск,м
Бабушкин В.Ф. ,Бакенщик,Рассказ,1934,5000,,1,,,Саратов,м
Бабушкин В.Ф. ,"Кузька, Шарышка и Петр Тимофеевич",,1934,10000,,1,,,Саратов,м
Барановский А.,Прэ нево дром (По новому пути),Записки ,1932,10000,,1,,,Смоленск,м
Баутин А.,Пылающая Пресня,Повесть,1932,20000,,1,,,,м
Белокриницкий С.,Первые комсомольцы,,1936,15000,,,1,,Одесса,м
Беляев В.,Голос Тараса,Рассказ,1939,50000,,1,,,М.-Л.,м
Беляев В.,Старая крепость ,Повесть,1937,25000,,1,,,М.-Л.,м
Беляев В.,Старая крепость ,Повесть,1939,20000,,1,,,М.-Л.,м
Бергольц О. Ф.,Горная жвачка,,1932,10000,,1,,,М.-Л.,ж
Бергольц О. Ф.,Мечта,Повесть,1939,25000,,1,,,М.-Л.,ж
Березницкий Е.,Джянтаки,Рассказ,1936,10000,,1,,,Новосибирск,м
Берингов П.,"""Кукушка"" и электровоз",,1932,20000,,1,,,М.-Л.,м
Берман М. и Грилихес С.,Бой идет,,1931,20300,,1,,,,м
Бондаренко И.,Юность Макара,,1939,25000,,1,,,М.-Л.,м
Бондарин С. А.,Дындып из долины Дургун-Хоток,,1934,30000,,1,,,М.,м
Бондин А. П. ,Моя школа ,Автобиографическая повесть,1934,15160,,1,,,Свердловск,м
Бондин А. П. ,Моя школа ,Автобиографическая повесть,1935,10000,,1,,,Свердловск,м
Бондин А. П. ,Моя школа ,Автобиографическая повесть,1936,10000,,1,,,Свердловск,м
Бондин А. П. ,Моя школа ,Автобиографическая повесть,1937,10000,,1,,,Свердловск,м
Бондин А. П. ,Моя школа ,Автобиографическая повесть,1938,25300,,1,,,Свердловск,м
Бочин Л. А.,Юные пионеры,,1938,70000,,,1,,М.-Л.,м
Бражнин И.,Рюшка,Повесть,1935,10000,,1,,,Архангельск,м
Бражнин И.,Рюшка,Повесть,1936,5000,,1,,,Архангельск,м
Бродская Д.,Марийкино детство ,Повесть,1938,25000,,1,,,М.-Л.,ж
Бурче Е.Ф.,Военные обманщики,,1932,25000,,1,,,М.,м
Воеводин Вс. и Рысс Евг.,Буря,Повесть,1939,25000,,,1,,М.-Л.,м
Войтюк И.,Витя идет в плавание ,Повесть,1939,10000,,1,,,Хабаровск,м
Гайдар А.П.,Военная тайна,Повесть,1935,100000,,1,,,М.,м
Гайдар А.П.,Военная тайна,Повесть,1936,50000,,1,,,М.-Л.,м
Гайдар А.П.,Военная тайна,Повесть,1937,120300,,1,,,М.-Л.,м
Гайдар А.П.,Военная тайна,Повесть,1938,10000,,1,,,Омск,м
Гайдар А.П.,Голубая чашка,Повесть,1936,50000,,1,,,М.-Л.,м
Гайдар А.П.,Дальние страны,Повесть,1932,15000,,1,,,М.,м
Гайдар А.П.,Дальние страны,Повесть,1933,20000,,1,,,М.,м
Гайдар А.П.,Дальние страны,Повесть,1933,100000,,1,,,М.,м
Гайдар А.П.,Дальние страны,Повесть,1934,30000,,1,,,М.,м
Гайдар А.П.,Дальние страны,Повесть,1934,10000,,1,,,М.,м
Гайдар А.П.,Дальние страны,Повесть,1937,25300,,1,,,М.-Л.,м
Гайдар А.П.,Дальние страны,Повесть,1938,217300,,1,,,М.-Л.,м
Гайдар А.П.,Дальние страны,Повесть,1938,22150,,1,,,Харьков,м
Гайдар А.П.,Дальние страны,Повесть,1939,10000,,1,,,Хабаровск,м
Гайдар А.П.,Мои товарищи,Повесть,1932,25300,,1,,,М.,м
Гайдар А.П.,Судьба барабанщика,Повесть,1939,25000,,1,,,М.-Л.,м
Гайдар А.П.,Школа,Повесть,1932,20300,,,1,,М.,м
Гайдар А.П.,Школа,Повесть,1934,30000,,,1,,М.,м
Гайдар А.П.,Школа,Повесть,1936,25000,,,1,,М.-Л.,м
Гайдар А.П.,Школа,Повесть,1937,20000,,,1,,Куйбышев,м
Гайдар А.П.,Школа,Повесть,1938,143000,,,1,,М.-Л.,м
Гайдар А.П.,Школа,Повесть,1940,15000,,,1,,М.-Л.,м
Гайлит К.,Крылья,Повесть,1935,15000,,,1,,Новосибирск,м
Гинцель П.В.,Арашка,Повесть,1937,15000,,1,,,Новосибирск,м
Гинцель П.В.,Меченый,Повесть,1935,10000,,1,,,Новосибирск,м
Гинцель П.В.,Пестун,Повесть,1933,10000,,1,,,Новосибирск,м
Голубева А.,Клаша Сапожникова,Повесть,1938,25000,,1,,,М.-Л.,ж
Голубева А.,Мальчик из Уржума,Повесть,1936,50000,,1,,,М.-Л.,ж
Голубева А.,Мальчик из Уржума,Повесть,1938,86000,,1,,,М.-Л.,ж
Голубева А.,Мальчик из Уржума,Повесть,1939,25000,,1,,,М.-Л.,ж
Голубева А.,Мальчик из Уржума,Повесть,1938,15000,,1,,,Хабаровск,ж
Голубева А.,Мальчик из Уржума,Повесть,1938,25000,,1,,,М.,ж
Гонимов И.А.,Шахтарчук,Повесть,1937,20000,,1,,,Харьков-Одесса,м
Гонимов И.А.,Шахтарчук,Повесть,1939,6000,,1,,,Киев,м
Григорьев С.Т.,Берко-кантонист,Повесть,1933,20000,,1,,,М.,м
Григорьев С.Т.,Берко-кантонист,Повесть,1934,18000,,1,,,М.,м
Григорьев С.Т.,Берко-кантонист,Повесть,1935,30000,,1,,,М.,м
Григорьев С.Т.,Берко-кантонист,Повесть,1935,30000,,1,,,М.,м
Григорьев С.Т.,Берко-кантонист,Повесть,1936,10000,,1,,,Саратов,м
Григорьев С.Т.,Мальчий бунт,Повесть,1933,20300,,1,,,М.,м
Гроссман В.С.,Степан Кольчугин,Повесть,1937,25300,,,1,,М.-Л.,м
Гроссман В.С.,Юность Кольчугина,Повесть,1939,25000,,,1,,М.-Л.,м
Дитрих Г.С.,Казачата,Повесть,1932,30000,,1,,,М.-Л.,м
