ФИО,Название,Жанр,Год издания,Тираж,Для младшего возраста,Для среднего возраста,Для старшего возраста,Примечания,Место издания,Пол
"Арбат, Ю.",Яринка,Рассказ,1942,10000,1,1,0,0,Ташкент,м
"Арсеньев, В. К.",В горах Сихотъэ-Алиня,Послесловие,1940,25000,0,0,1,1,Москва; Ленинград,м
"Бажов, П.",Зеленая кобылка,Повесть,1945,30000,1,1,0,1,Москва; Ленинград,м
"Баканов, Н. ",Три товарища,,1942,50000,0,0,1,1,Москва; Ленинград,м
"Батурин, И.",Белый голубь,Повесть,1940,10000,1,1,0,0,Иркутск,м
"Беляев, В. П.",Дом с привидениями,Повесть,1941,25000,0,1,1,0,Москва; Ленинград,м
"Бендецкий, А.",На границе,Рассказ,1940,5150,0,1,0,0,Казань,м
"Березко, Г.",Красная ракета,Рассказ,1943,25000,0,0,1,0,Москва; Ленинград,м
"Бирюков, Н.",Чайка,Роман,1945,30000,0,1,1,0,Москва; Ленинград,м
"Бобров, Н. С. ",Соколиный удар,,1942,15000,0,1,1,0,Красноярск,м
"Бобров, Н. С. ",Хочу быть летчиком,,1938,10000,0,0,1,0,Хабаровск,м
"Борисов, Т. М.",Морской старик,Повесть,1940,10000,1,1,0,0,Хабаровск,м
"Борисов, Т. М.",Морской старик,Повесть,1940,50000,1,1,0,0,Москва; Ленинград,м
"Бояджиев, Г.",Маленькая мама ,Рассказ,1942,25000,0,1,1,0,Свердловск,м
"Бояджиев, Г.",Маленькая мама (Нюрка),Рассказ,1942,10000,0,1,1,0,Москва; Ленинград,м
"Бублейников, Ф.",Рассказы о Земле,,1944,25000,0,0,1,1,Москва; Ленинград,м
"Василенко, И. Д.",Волшебная шкатулка. Артемка в цирке,,1941,25000,0,1,0,0,Москва; Ленинград,м
"Василенко, И. Д.",План жизни,Повести и рассказы,1945,10000,0,1,1,0,Ростов н/Д.,м
"Василенко, И. Д.",Повести,,1940,10000,0,0,1,0,Ростов ,м
"Василенко, И. Д.",Повесть о зеленом сундучке,,1944,5000,0,1,1,0,Ростов,м
"Василенко, И. Д.",Рассказы о детях,,1944,10000,0,1,1,0,Ростов,м
"Василенко, И. Д.",Суворовцы,,1945,10000,0,0,1,0,Ростов,м
"Верзилин, Н. М.",Лечебница в лесу,,1943,20000,0,1,1,1,Москва; Ленинград,м
"Вирта, Н.",Иностранка,Рассказ,1940,20000,1,1,0,0,Сталинабад; Ленинград,м
"Водовозова, Е. Н.",История Одного детства(перераб. На заре жизни),,1941,70000,0,1,0,0,Москва; Ленинград,ж
"Волков, А. М.",Чудесный шар,Повесть,1940,25000,0,0,1,0,Москва; Ленинград,м
"Вольпер, И.",Плитка шоколада,,1940,5000,0,1,1,0,Москва; Ленинград,м
