Автор,Название,Жанр,"Год издания",Тираж,"Для мл. возраста","Для сред. возраста","Для старш. возраста",Примечания,Город,"Пол автора"
"Августынюк А.","Находчивый машинист",Рассказы,1948,30000,0,1,0,0,"Москва; Ленинград",м
"Авдеенко А.","Дневник моего друга",,1946,30000,0,1,0,1,"Москва; Ленинград",м
"Адамов Г.","Изгнание владыки",,1946,30000,0,0,1,0,"Москва; Ленинград",м
"Адамов Г.","Тайна двух океанов",,1946,15000,0,1,0,1,Л.,м
"Аладышев П.","Охраняйте птиц",,1948,800,0,1,0,1,Абакан,м
"Алтаев А.",,"Сборник рассказов",1947,30000,0,1,0,1,"Москва; Ленинград",м
"Арманд Д.","Ореховая экспедиция",,1947,30000,0,1,0,0,"Москва; Ленинград",м
"Багрицкий Э.","Дума про Опанаса",,1946,75000,0,1,0,0,"Москва; Ленинград",м
"Бажов П.","Голубая змейка",,1946,75000,0,1,0,0,"Москва; Ленинград",м
"Бажов П.","Зелёная кобылка",,1948,,0,1,0,1,Москва,м
"Бажов П.","Русские мастера",,1946,30000,0,1,0,0,"Москва; Ленинград",м
"Баранова А.","Охраняйте птиц",,1947,50000,0,1,0,1,Москва,ж
"Беляев А.","Старая крепость",Повесть,1946,30000,0,1,0,0,Иванов,м
"Белянинов А.","мы - пионеры","Сборник рассказов",1948,3000,1,1,0,0,Кызыл,м
"Бианки В.","Нечаянные встречи",Рассказы,1947,30000,0,1,0,0,"Москва; Ленинград",м
"Бианки В.","Роковой зверь",,1946,75000,0,1,0,0,"Москва; Ленинград",м
"Богданов Н.","Комсомольская домна",,1948,30000,0,1,0,0,"Москва; Ленинград",м
"Бондаренко И.","Володькино счастье",Повесть,1948,10000,0,1,0,0,Москва,м
"Боровиков Г.","В каспийских джунглях",,1946,10000,0,1,0,0,Саратов,м
"Боровиков Г.","В каспийских джунглях",,1948,25000,0,1,0,0,Саратов,м
"Боровиков Г.","В каспийских джунглях",,1947,45000,0,1,0,0,"Москва; Ленинград",м
"Боровиков Г.","Голубой плёс",Повесть,1947,15000,0,1,0,0,Саратов,м
"Боронина Е.","Удивительный заклад",Повесть,1946,45000,1,1,0,0,"Москва; Ленинград",ж
"Боронина Е.","Удивительный заклад",Повесть,1947,60000,1,1,0,0,"Москва; Ленинград",ж
"Брусиловский Р.","Рассказы о мальчиках",Рассказы,1948,15000,1,1,0,0,Харьков,м
"Будогорская Л.",Часовой,,1947,30000,0,1,0,0,"Москва; Ленинград",ж
"Быльев Н.","Рассказы о Кирове",Рассказы,1946,10000,1,1,0,0,Киров,м
"Василевская В.",Мишутка,,1946,75000,0,0,1,0,"Москва; Ленинград",ж
"Василенко И.","Волшебная шкатулка","Повести и рассказы",1948,45000,0,1,0,0,"Москва; Ленинград",М
"Василенко И.","Детство актёра","Повести ",1946,15000,0,1,0,0,"Ростов н/Д",М
"Василенко И.","Живая вода","Повести и рассказы",1947,15000,0,1,0,0,"Ростов н/Д",М
"Василенко И.",Звёздочка,Повесть,1948,15000,0,1,0,0,"Ростов н/Д",М
"Василенко И.",Звёздочка,Повесть,1948,30000,0,1,0,0,"Москва; Ленинград",М
"Василенко И.",Звёздочка,Повесть,1948,10000,0,1,0,0,Краснодар,М
"Василенко И.","Мои друзья",Рассказы,1948,15000,0,1,0,0,Краснодар,М
"Василенко И.","План жизни",Повести,1948,15000,0,1,0,0,Москва,М
"Василенко И.","Солнце всходит раз в день",,1947,15000,0,1,0,0,"Ростов н/Д",М
"Вахов А.","Двое в тайге",Повесть,1946,10000,0,1,0,0,Владивосток,м
"Вахов А.","Пленники моря",Повесть,1948,8500,0,1,0,0,Калинин,м
"Великанов В.","Мои рассказы",,1947,20000,1,1,0,0,Свердловск,м
"Верейская Е.","Три девочки",,1948,10000,0,1,0,0,Ленинград,ж
"Вигдорова Ф.; Печерникова Т.","Двенадцать отважных",,1948,15000,0,0,1,0,Москва,"ж; ж"
"Водовозова Е.","История одного детства",,1946,50000,0,1,0,0,"Москва; Ленинград",ж
"Воеводин В. ; Рысс Е.",Буря,Повесть,1946,30000,0,0,1,0,"Москва; Ленинград","м; м"
"Всеволожский И.","Зелёная стрела. Сухопутные приключения юного моряка",Повесть,1946,5000,0,1,0,1,Симферополь,м
"Всеволожский И.","Пещера капитана Немо",Повесть,1946,30000,0,1,0,0,Ленинград,м
"Всеволожский И.","Три поединка 1",,1946,10000,0,1,0,0,Майкоп,м
