ФИО;Название;Жанр;Год издания;Тираж;Для младшего возраста;Для среднего возраста;Для старшего возраста;Примечания;Место издания;Пол
;;;;;;;;;;
Алексин А.;Отряд шагает в ногу;;1952;30000;0;1;0;x;"Москва; Ленинград";м
Алферов В.;Дружба ;;1952;15000;1;1;0;;Куйбышев;м
 Андреев Л.;Петька на даче;;1951;400000;1;0;0;;"Москва; Ленинград";м
Баныкин В.;Весной в половодье;;1951;30000;0;1;1;;"Москва; Ленинград";м
Батров А.;Наш друг Хосе;;1952;30000;0;1;1;x;"Москва; Ленинград";м
Беляев В.;Старая крепость;;1951;30000;0;1;1;x;Киев;м
Беляев В.;На берегах Днестра;;1952;75000;0;1;1;x;Барнаул;м
Беляев В.;Город у моря;;1952;150000;0;1;1;x;"Москва; Ленинград";м
Валевский А.;Зеленый остров;;1951;30000;1;1;0;;"Москва; Ленинград";м
Василенко И.;Волшебная шкатулка;;1951;15000;0;1;0;;Симферопль;м
Василенко И.;Звездочка;;1951;150000;0;1;0;;Москва ;м
Василенко И.;Звездочка;;1951;150000;0;1;0;;Горький;м
Василенко И.;Звездочка;;1951;15000;0;1;0;;Владивосток;м
Василенко И.;Звездочка;;1952;75000;0;1;0;;Краснодар;м
Василенко И.;Мышонок;;1951;300000;1;0;0;;"Москва; Ленинград";м
Василенко И.;Первый гудок;;1951;15000;1;0;0;;Ростов;м
Воронкова Л.;Алтайская повесть ;;1951;30000;0;1;0;;"Москва; Ленинград";ж
Воронкова Л.;Алтайская повесть ;;1951;300000;0;1;0;;"Москва; Ленинград";ж
Воронкова Л.;Алтайская повесть ;;1952;100000;0;1;0;;"Москва; Ленинград";ж
Воронкова Л.;Подружки идут в школу ;;1952;400000;1;0;0;;"Москва; Ленинград";ж
Воронкова Л.;Снег идёт;;1951;500000;1;0;0;;"Москва; Ленинград";ж
Воронкова Л.;Солнечный денек;;1951;400000;1;0;0;;"Москва; Ленинград";ж
Всеволожский И.;Уходим завтра в море;;1951;30000;0;1;0;x;"Москва; Ленинград";м
Гайдар А.;Горячий камень;;1952;300000;1;0;0;;"Москва; Ленинград";м
Гайдар А.;Горячий камень;;1951;30000;1;0;0;;Саратов;м
Гайдар А.;Дым в лесу;;1951;200000;1;0;0;;Москва;м
Гайдар А.;Дым в лесу;;1951;100000;1;0;0;;Москва;м
Гайдар А.;Р. В. С.;;1951;300000;1;0;0;;"Москва; Ленинград";м
Гайдар А.;Р. В. С.;;1952;300000;1;0;0;;"Москва; Ленинград";м
Гайдар А.;Р. В. С.;;1952;75000;1;0;0;;Калинин;м
Гайдар А.;Тимур и его команда;;1952;100000;0;1;0;;"Москва; Ленинград";м
Гайдар А.;Тимур и его команда;;1952;100000;0;1;0;;"Москва; Ленинград";м
Гайдар А.;Чук и Гек;;1951;30000;1;;0;;"Москва; Ленинград";м
Гайдар А.;Школа ;;1951;150000;0;1;1;;"Москва; Ленинград";м
Глебов Н.;Карабарчик;;1952;30000;0;1;0;;"Москва; Ленинград";м
Гарин-Михайловский Н.;Детство Тёмы;;1952;100000;1;1;0;x;"Москва; Ленинград";м
Губарев В.;Дружба ;;1951;20000;0;1;0;x;Омск;м
Губарев В.;Дружба ;;1952;15000;0;1;0;x;Тюмень;м
Джатиев Т.;Два друга;;1952;30000;0;1;0;x;"Москва; Ленинград";м
Дик И.;Огненный ручей;;1951;100000;1;0;0;x;"Москва; Ленинград";м
Дик И.;Огненный ручей;;1952;400000;1;0;0;x;"Москва; Ленинград";м
Доброленская Ю.;На солнечный простор;;1951;30000;0;1;0;;"Москва; Ленинград";ж
Дубов Н.;На краю земли;;1951;30000;0;1;0;;"Москва; Ленинград";м
Дубов Н.;На краю земли;;1951;400000;0;1;0;;"Москва; Ленинград";м
Дубов Н.;На краю земли;;1952;100000;0;1;0;;"Москва; Ленинград";м
Дубов Н.;Огни на реке;;1952;30000;0;1;0;;"Москва; Ленинград";м
Дубянская М.;У нас весна;;1952;30000;1;0;0;;"Москва; Ленинград";ж
Дугинец А.;Золотая чаша Байтемира;;1951;30000;0;1;1;;"Москва; Ленинград";м
Жариков Л.;Повесть о суровом друге;;1952;30000;0;1;1;;"Москва; Ленинград";м
Жданов Н.;Балтийская юность;;1952;45000;0;1;0;;"Москва; Ленинград";м
Жданов Н.;Морская соль ;;1951;400000;1;0;0;;"Москва; Ленинград";м
Жданов Н.;Морская соль ;;1952;75000;0;1;0;;Симферопль;м
Иванов А.;У синих гор;;1952;30000;0;1;0;;"Москва; Ленинград";м
Иванов А.;У синих гор;;1952;30000;0;1;0;;Иркутск;м
Карнаухова И.;Повесть о дружных;;1951;75000;0;1;0;;"Москва; Ленинград";ж
Карнаухова И.;Повесть о дружных;;1951;75000;0;1;0;;"Москва; Ленинград";ж
Карнаухова И.;Повесть о дружных;;1952;75000;1;0;0;;Курск;ж
Кассиль Лев и  Поляновский Макс;Друзья-пионеры;;1951;300000;1;0;0;;"Москва; Ленинград";м
Кассиль Лев и  Поляновский Макс;Улица младшего сына;;1951;100000;0;1;1;;"Москва; Ленинград";м
Кассиль Лев и  Поляновский Макс;Улица младшего сына;;1951;150000;0;1;1;;"Москва; Ленинград";м
Кассиль Лев и  Поляновский Макс;Улица младшего сына;;1951;30000;0;1;1;;Ленинград;м
Кассиль Лев и  Поляновский Макс;Улица младшего сына;;1951;25000;0;1;1;;Симферопль;м
Кассиль Лев и  Поляновский Макс;Улица младшего сына;;1951;25000;0;1;1;;Симферопль;м
Кассиль Лев и  Поляновский Макс;Улица младшего сына;;1951;25000;0;1;1;;Симферопль;м
Катаев В.;Белеет парус одинокий;;1951;75000;0;1;0;x;"Москва; Ленинград";м
Катаев В.;Сын полка;;1951;50000;0;1;0;x;Тула;м
Катаев В.;Сын полка;;1952;75000;0;1;0;x;Тула;м
