"Автор (Фамилия, И. О.)",Название,Год издания,Тираж. (целое число),«для младшего возраста»,«для среднего возраста»,«для старшего возраста», Примечания,Жанр,Город издания,Пол
"Августынюк, А.",Серебряный паровоз,1953,30000,0,1,1,×,Повесть,Москва; Ленинград,м
"Авдеенко, А.",Над Тиссой,1954,30000,0,0,1,×,Из пограничной хроники,Москва,м
"Алексин, А.",Тридцать один день ,1954,75000,0,1,0,,Повесть,Москва,м
"Анненков, Ю.",Правда путешествует без виз,1954,30000,0,0,1,,Повесть,Москва,м
"Антонов, С.",Зеленый дол,1954,30000,0,1,0,,Повесть,Москва,м
"Аръангельский, В.",У заветного камня,1953,30000,1,0,0,,Рассказы,Москва; Ленинград,м
"Атаров, Н.",Наш спутник,1954,30000,0,0,1,×,Рассказы,Москва,м
"Бабаевский, С.",Митино счастье,1953,30000,0,1,0,×,Рассказ,Москва,м
"Байдерин, В.",Тахиа-Таше,1953,10000,0,1,0,×,Повесть,Сталинабад,м
"Баныкин, В.",Весной в половодье,1954,200000,0,1,0,,Повесть,Москва,м
"Баныкин, В.",Весной в половодье,1953,75000,0,1,0,,Повесть,Куйбышев,м
"Батров, А.",Завтра - океан,1954,30000,0,1,0,,Повесть,Москва,м
"Батров, А.",Наш друг Хосе,1953,75000,0,1,1,,Рассказы,Таллин,м
"Белахова, М.",Драгоценный груз,1953,100000,0,1,0,,Рассказы,Москва; Ленинград,ж
"Беляев, В.",Старая крепость,1953,75000,0,1,0,,Трилогия,Москва,м
"Беляев, В.",Старая крепость,1954,100000,0,0,1,,Трилогия,Алма-Ата,м
"Бианки, В.",Нечаянные встречи,1953,50000,0,1,1,,Рассказы,Минск,м
"Блинов, А.",Гриша ,1953,30000,0,1,1,,Повесть,Киров,м
"Бляхин, П.",На рассвете,1954,100000,0,0,1,×,Повесть,Казань,м
"Богданов, Н.",О смелых и умелых,1952 ??,100000,1,0,0,,Рассказы о войне,Москва; Ленинград,м
"Богданов, Н.",О смелых и умелых,1954,300000,1,0,0,,Рассказы о войне,Москва; Ленинград,м
"Боровиков, Г.",Воронок,1954,30000,1,0,0,,Рассказы,Саратов,м
"Бражнин, И.",Страна желанная,1954,25000,0,1,0,,Повесть,Архангельск,м
"Брянцев, Г.",Следы на снегу,1954,30000,0,1,0,,Повесть,Москва,м
"Валентинов, И.",Рассказы об Африке,1953,100000,0,1,0,,Рассказы,Москва,м
"Варковицкая, Л.",Сказано - Сделано,1953,30000,1,1,0,,Повесть,Ленинград,ж
"Василенко, И.",В ногу,1954,30000,0,1,0,×,Рассказы,Москва,м
"Василенко, И.",Звездочка,1953,75000,0,1,0,,Повесть,Воронеж,м
"Василенко, И.",Звездочка,1953,75000,0,1,1,,Повесть,Смоленск,м
"Василенко, И.",Звездочка,1954,75000,0,1,0,,Повесть,Йошкар-Ола,м
"Василенко, И.",Повести и рассказы,1954,100000,0,1,0,,Повесть; Рассказы,Москва,м
"Васильев, Арк.","Смелло, товарищи, в ногу",1954,30000,0,0,1,×,Повесть,Москва,м
"Великанов, А.",Алмаз и гранит,1954,30000,0,1,0,,Рассказы,Иваново,м
"Великанов, А.",На озере,1954,15000,0,1,1,×,Рассказы,Горький,м
"Великанов, А.",Случай на старой мельнице,1953,20000,0,1,0,×,Рассказы,Горький,м
