Автор,Пол,Название,"Год издания",Тираж,"Место издания","Для младшего возраста","Для среднего возраста","Для старшего возраста",Примечания
"Абрамов, В.",М,"Детские странствия",1956,30000,Москва,1,1,0,
"Азбукин, Б.",М,"Пять колодезей",1957,30000,Москва,0,1,0,
"Александровский, В.",М,"Когда нам семнадцать…",1957,30000,Москва,0,0,1,
"Алексин, А.",М,"Саша и Шура",1956,30000,Москва,1,0,0,
"Алексин, А; Дубинская, Т.","М; Ж","У нас во дворе",1956,30000,Москва,0,1,0,
"Алфёров, В.",М,Дружба,1957,15000,Москва,0,1,0,
"Антонов, С.",М,"Дальний путешественник",1956,30000,Москва,1,1,0,
"Арамилев, И.",М,Мишутка,1956,3000000,Москва,1,0,0,
"Аристова, И.",Ж,"Трудный вопрос",1957,15000,Куйбышев,0,0,1,
"Астафьев, В.",М,"Васюткино озеро",1956,30000,Пермь,1,0,0,
"Атаров, Н.",М,"Повесть о первой любви",1955,30000,Москва,0,0,1,
"Багиров, Г.",М,"Маленький герой",1955,1000,Баку,1,0,0,х
"Багиров, Г.",М,"Непослушная Дануте",1956,5000,Вильнюс,1,0,0,х
"Багиров, Г.",М,"Ошибка Гасана",1955,1000,Баку,1,0,0,х
"Бакинский, В.",М,"Ученические годы Андрея Шабанова",1957,75000,Москва,0,1,0,
"Бараташвили, Б.",М,"Весёлые друзья",1957,75000,Смоленск,1,0,0,
"Баруздин, С.",М,"Ласточкин младший и Ласточкин старший",1957,90000,Москва,0,1,0,
"Батров, А.",М,"Настоящие друзья",1955,50000,Одесса,0,1,0,х
"Беганская, Я.",Ж,"Далеко на Севере",1955,8250,Магадан,0,1,0,
"Белоусов, В.",М,Пути-дороги,1956,75000,Киев,0,0,1,
"Беляев, В.",М,"Голос Тараса",1956,100000,Москва,1,1,0,
"Беляев, В.",М,"Первое оружие",1955,80000,Киев,0,1,0,
"Беляев, В.",М,Рукавичка,1955,180000,Львов,1,0,0,
"Белянинов, А.",М,"О твоих товарищах",1956,15000,Свердловск,1,0,0,
"Бершадский, Р.",М,"Путь к подвигу",1956,30000,Москва,0,0,1,
"Бирюков-Раменский, Н.",М,"На тропе жизни",1955,30000,Москва,0,0,1,
"Боголюбов, К.",М,"Алёшина находка",1955,30000,Свердловск,1,1,0,
"Богушевич, Ю.",М,Побратимы,1955,20000,Минск,1,1,0,
"Богушевич, Ю.",М,Побратимы,1957,25000,Минск,1,1,0,
"Большаков, Л; Лукерченко, М.",М,"Большой день Андрейки Иванова",1955,30000,Чкалов,0,1,0,
"Большинцов, М.",М,"Мальчик с Нарвской заставы",1956,200000,Москва,1,0,0,
"Большинцов, М.",М,"Мальчик с Нарвской заставы",1957,300000,Москва,1,0,0,
"Бондаренко, И.",М,"В осаждённом городе",1957,30000,Москва,0,1,0,
"Бондарин, С.",М,"Ваня Золушкин",1957,30000,Москва,0,1,0,
"Боровиков, Г.",М,"Серёжино лето",1955,30000,Саратов,0,1,0,
"Бременер, М.",М,"Случай со Степным",1955,30000,Москва,1,1,0,
