Автор,Название,Жанр,Год издания,Тираж,Для мл. возраста,Для сред. возраста,Для старш. возраста,Примечания,Город,Пол автора
"Агишев, Р.",Сын тайги,Повесть,1961,15000,,1,1,х,Сахалинск,м
"Азбукин, Б.",Севастопольские ночи,Повесть,1961,50000,,1,1,,Симферополь,м
"Аксенова, А.","Где вы, друзья?",Повесть,1963,65000,,1,,,Москва,ж
"Акулинин, В.","О том, как Лось решил помочь Коню",Басни,1961,25000,,1,1,,Владимир,м
"Александрова, А. ; Туберовский М.",Серебряный дутар,Повесть,1961,25000,,1,,,Ленинград,ж; м
"Александровский, В.",Если рядом друг,Рассказы,1963,100000,,1,,,Сахалинск,м
"Александровский, В.",Когда нам семнадцать..,Повесть,1962,55000,,1,,,Сахалинск,м
"Александровский, В.",Море - счастье моё,Повесть,1961,60000,,1,,,Москва,м
"Александровский, В.",Море - счастье моё,Повесть,1961,50000,,1,,,Хабаровск,м
"Алексин, А. ",Веселые повести,Повесть,1961,50000,1,1,,,Иваново,м
"Алексин, А. ",Необычайные похождения Севы Котлова,Повесть,1963,200000,,1,,,Москва,м
"Аленник, Э.",Журавленко и мы,Повесть,1961,115000,1,1,,,Ленинград,ж
"Аленник, Э. ; Фанорская, К.",Малая зимовка,Повесть,1963,30000,1,1,,,Ленинград,ж; ж
"Алматинская, А.",Клятва Солнцу,Повесть,1961,15000,1,1,,,Ташкент,ж
"Алматинская, А.",Клятва Солнцу,Повесть,1961,15000,1,1,,,Ташкент,ж
"Альтов, Г.",Легенды о звездных капитанах,Рассказы,1961,115000,,1,1,,Москва,м
"Альтов, Г.",Легенды о звездных капитанах,Рассказы,1962,150000,,1,1,,Москва,м
"Анисимов, П.",Маринка и козел,Рассказы,1963,50000,1,1,,,Тюмень,м
"Аношкин, М.",Семкина Находка,Повесть,1962,100000,,1,,,Челябинск,м
"Аношкин, М.",Семкина Находка,Повесть,1962,100000,,1,,,Челябинск,м
"Антипов, Г.",Ортис - десятая планета,Фантастико-приключенческая повесть,1963,30000,,1,,,Красноярск,м
"Ардаматский, В",Безумство храбрых,Повесть,1962,215000,,,1,,Москва,м
"Ардаматский, В",Безумство храбрых,Повесть,1963,200000,,,1,,Москва,м
"Ардаматский, В","Он сделал все, что мог. ""Я 11-17"". Ответная операция.",Повести,1961,100000,,,1,,Москва,м
"Ардаматский, В","Он сделал все, что мог. ""Я 11-17"". Ответная операция.",Повести,1962,100000,,,1,,Москва,м
"Аронов, А. ",Цирк приехал!,Повесть,1963,65000,,1,,,Москва,м
"Артищев, М.",Димка из 10-го,Повесть,1962,30000,,1,1,,Оренбург,м
"Артыков, Б.",Каникулы,Повесть,1963,10000,,1,,,Душанбе,м
"Артюхова, Н.",Светлава,Повесть,1961,100000,,1,,,Москва,ж
"Асанов, Н. ",Украденная душа,Повесть,1961,215000,,,1,,Москва,м
"Бабушкин, В.",Хромой волк,Рассказы,1963,50000,,1,,,Саратов,м
"Бажов, П. ",Таюткино зеркальце ,Сказки,1962,100000,1,1,,,Свердловск,м
"Баздырев, А. ",Илька приехал в Крутояр,Повесть,1961,30000,,1,,,Барнаул,м
"Байдерин, В.",Веселые слонята,Рассказы,1963,90000,1,1,,,Алма-ата,м
"Балашов, В.","Команда ""Бури""",Повесть,1963,30000,,1,,,Куйбышев,м
"Баныкин, В.",Бедовый мальчишка,Повесть,1961,75000,,1,,х,Москва,м
"Баранова, М. ; Велтистов, Е. ","Ляпка, Борька и ракета",Повесть,1962,115000,,1,,,Москва,ж;м
"Баруздин, С.",Новые дворики,Повесть,1961,115000,,1,,,Москва,м
"Баруздин, С.",Новые дворики,Повесть,1963,10000,,1,,,Душанбе,м
"Баруздин, С.",Новые дворики. Только не завтра. Верить и помнить,Повесть,1963,100000,,1,,школа-труд-коммунизм,Москва,м
"Баруздин, С.",Только не завтра,Повесть,1962,115000,,1,,,Москва,м
"Батров, А. ","Барк ""Жемчужный""",Рассказы,1963,90000,,1,,,Москва,м
"Батров, А. ",Мальчик и чайка,Рассказы,1961,115000,,1,,,Москва,м
"Батров, А. ",Мальчик и чайка,Рассказы,1962,150000,,1,,,Москва,м
"Батров, А. ",Матросская королева,Рассказы,1963,15000,,1,1,,Одесса,м
"Батров, А. ",Много солнца,Новеллы,1962,6500,,1,,,Одесса,м
"Безано, А.; Зверев, М.",Медвежий цирк,Рассказы,1962,30000,1,1,,,Новосибирск,м
"Бейлина, Н.","Калитка, отворись!",Повесть,1962,65000,,1,1,,Москва,ж
"Белахова, М.",Две повести,Повесть,1962,115000,,1,1,,Москва,ж
"Белахова, М.",Дочь,Повесть,1961,100000,,,1,,Москва,ж
"Белоусов, А.",Камень нерушимый,Повесть,1962,50000,,1,1,,Пермь,м
"Белый, Л.",Девочка едет домой,Рассказы,1961,15000,,1,,,Иркутск,м
"Белых, Г. ; Пантелеев, А.",Республика Шкид,Повесть,1961,115000,,1,,,Ленинград,м
"Беляев, А.",Пешком по морю,Рассказы,1963,65000,,1,,,Москва,м
"Беляев, В.",Старая крепость,Трилогия,1963,75000,,1,1,,Москва,м
"Бианки, В.",Рассказы,Рассказы,1963,300000,,1,,,Ленинград,м
"Бляхин, П.",Красные дьяволята,Повесть,1960,90000,,1,,,Свердловск,м
"Бляхин, П.",Красные дьяволята,Повесть,1962,100000,,1,,,Липецк,м
"Боголюбов, К.",Человек без имени,Повесть,1962,15000,,1,1,,Свердловск,м
"Богушевич, Ю. ",Дерево дружбы,Повесть,1961,50000,,1,1,,Минск,м
"Болдырев, В.",Гибель синего орла,Повесть,1962,100000,,1,1,,Москва,м
"Болдырев, В.",Гибель синего орла,Повесть,1963,100000,,1,1,,Москва,м
