ФИО,Название,Жанр,"Год издания",Тираж,"Для младшего возраста","Для среднего возраста","Для старшего возраста",Примечания,"Место издания",Пол
"Абрамов, В.","Детские и юношеские странствия",Повесть,1964,100,1,1,,,Москва,м
"Азбукин, Б.","Ленькин салют","Повесть и рассказ",1964,65,,1,,,Москва,м
"Азбукин, Б.","Ленькин салют. Выстрел в лесу. Пять колодезей.","Повести и рассказ",1964,30,,1,,,Симферополь,м
"Аксенова, А.","Ясные звезды",Рассказы,1965,100,1,,,,Мурманск,ж
"Александров, Ю.","Кудеяров Стан",Повесть,1965,15,,1,1,,Воронеж,м
"Александрова, А.; Туберовский, М.","Зеленая пиала",Рассказы,1965,100,1,1,,,Ленинград,ж;м
"Александрова, В.",Мануш-Вартуш,"Повести и рассказы",1966,100,1,,,,Москва,ж
"Александрова, Н.","С добрым утром, Ярушка!","Повести в письмах",1965,30,1,,,,Москва,ж
"Алексеев, С.","Как ребята делили небо",Рассказы,1965,100,1,,,,Москва,м
"Алексеев, С.","Как это было",Рассказы,1965,100,1,,,,Москва,м
"Алексеев, С.","Ленинская десятина",Рассказы,1964,100,1,,,,Москва,м
"Алексеев, С.","Наш колхоз стоит на горке",Рассказы,1966,150,1,1,,,Москва,м
"Алексеев, С.","Удивительный день",Рассказы,1965,65,1,1,,,Москва,м
"Алексеев, С.","Упрямая льдина",Рассказы,1964,100,1,,,,Москва,м
"Алексин, А.","В стране вечных каникул",Повесть-рассказ,1966,150,1,,,,Москва,м
"Алексин, А.","Коля пишет Оле, Оля пишет Коле",Повесть,1965,150,1,1,,,Москва,м
"Алексин, А.","Пять веселых повестей",,1964,100,1,,,,Москва,м
"Алексин, А.","Саша и Шура",Повесть,1966,50,,,1,,Москва,м
"Алексин, А.; Воронков, К.","Мы пишем из Артека",,1965,150,1,,,,Москва,м;м
"Алешковский, Ю.","Два билета на электричку",Рассказы,1964,100,,1,,,Москва,м
"Алтаев, А.","К вершинам искусства",Роман,1964,30,,1,,,Москва,ж
"Алферов, В.",Дружба,"Повесть в новеллах",1965,50,,1,,,Куйбышев,м
"Андреев, В.; Чапарин, Б.","Восьмая весна",Рассказы,1965,50,,,,,Москва,м;м
