ФИО,Название  ,Жанр,Год издания,Тираж,Для младшего возраста,Для среднего возраста,Для старшего возраста,Примечания,Место издания,Пол
"Абрамов, А.; Абрамов, С.",Селеста - 7000,Роман,1971,100,,1,1,,Москва,м;м
"Абрамов, Л.; Шибаева, Л.","Пароль поиска - ""клаятва""",Повесть,1971,30,,,,,Ростов-на-Дону,м;ж
"Абрамян, Г.",Кто взял фальшивую ноту?,Повесть,1971,100,1,,,,Москва,м
"Авдеенко, А.","Жигули вы мои, Жигули",Повесть,1971,75,,,1,,Москва,м
"Аксенова, А.",Красная рябина,Повести,1970,50,,1,,,Москва,ж
"Александровский, В.",Рядовой Кошкин,Рассказы,1971,30,,,,,Хабаровск,м
"Александровский, В.",Человек с чемоданом,Рассказы,1970,150,1,,,,Москва,м
"Алексеев, В.",Седьмое желание,Повесть и рассказы,1971,75,,1,1,,Москва,м
"Алексин, А.",Веселые повести,Повести,1971,150,1,,,,Москва,м
"Алексин, А.",Встретимся завтра...,Повести,1971,100,,,,,Москва,м
"Алексин, А.",Узнаете? АЛик Деткин!,Повести,1970,100,1,,,,Москва,м
"Алешковский, Ю.","Кыш, Двапортфеля и целая неделя",Повесть,1970,100,1,,,,Москва,м
"Алферов, В.",Дружба,Повесть,1970,100,,1,,,Москва,м
"Алферов, В.",Дружба,Повесть,1971,50,,1,,,Куйбышев,м
"Альтов, Г.",Создан для бури,Рассказы,1970,100,,,1,,Москва,м
"Амлинский, В.",Музыка на вокзале,Повести и рассказы,1970,75,,,1,,Москва,м
"Андреев, Е.",Овечий ручей,Повесть,1970,50,,1,,,Москва,м
"Андрианов, Ф.",Если ты вышел в дорогу,Повесть,1971,50,,1,1,,Саранск,м
"Аракчеев , Ю.",Рассказ о Зеленой Стране,Рассказ,1971,200,,,,,Москва,м
"Ардаматский, В.",Безумство храбрых,Повести,1971,75,,,1,,Москва,м
"Аронов, А.","Браво, Аракс!",Повесть,1971,100,,,,,Москва,м
"Арсеньев, В.",Встречи в тайге,Рассказы,1970,100,1,,,,Москва,м
"Артамонов, С.","Бунт на корабле, или повесть о давнем лете",Повесть,1971,100,1,,,,Москва,м
"Артюхова, Н.",Светлана,Повести,1971,75,,,1,,Москва,ж
"Астафьев, В.",Конь с розовой гривой,Рассказ,1970,100,1,,,,Москва,м
"Бадигин, К.",Повести,Повести,1970,75,,1,1,,Москва,м
"Бадигин, К.",Повести,Повести,1971,75,,1,1,,Москва,м
"Бажов, П.",Зеленая кобылка,Повесть,1970,300,1,,,,Москва,м
"Балашов, В.","Живи, Ирбис!",Рассказы,1971,100,,,,,Куйбышев,м
"Барабаш, В.",Про Аленку,Рассказ,1971,105,,,,,Ташкент,м
"Барабаш, В.",Славка Масленок - тяжелый человек,Повесть,1970,15,1,,,,Ташкент,м
"Баруздин, С.",Повторение пройденного,Роман,1970,100,,1,,,Москва,м
"Баруздин, С.","Там, где шумят Михайловские рощи",,1971,75,,1,1,,Ленинград,м
"Батров, А.",Одесские девчонки,Новеллы,1971,15,,,,,Одесса,м
"Бахревский, В.",Мальчик с Веселого,Повести и рассказы,1971,75,,1,,,Москва,м
"Белахова, М.",Повести и рассказы,Повести и рассказы,1971,75,,,,,Москва,ж
"Беляев, В.",Старая крепость,Трилогия,1971,100,,,,,Москва,м
"Белянинов, А.",Одинокий колодец,Повести и рассказы,1971,100,,,,,Алма-Ата,м
"Бехтерев, Л.",Когла мужает юность,Повесть,1971,100,,1,,,Москва,м
"Бикушев, Г.",Самый счастливый ковшик,Повесть,1971,50,,,1,,Казань,м
"Блинов, Г.",Что же это?,Рассказы,1970,100,1,,,,Новосибирск,м
"Бляхин, П.",Красные дьяволята,Повесть,1971,150,,,,,Челябинск,м
"Богданов, Н. ",Бессмертный горнист,,1971,150,1,,,,Москва,м
"Богушев, Ю.",Повесть и рассказы,Повесть и Рассказы ,1970,100,,,,,Минск,м
"Бондаренко, И.","Шире шагай, Димка!",Повести,1971,50,,,,,Ленинград,м
"Брегова, Д.",Твоя собственная рапира,Повесть,1971,50,,,1,,Москва,м
"Бременер, М.",Тебе посвящается...,Повесть и Рассказы ,1970,100,,,1,,Москва,м
"Брянцев, Г.",Конец осиного гнезда,Повести,1970,300,,,1,,Москва,м
"Брянцева, Л.",так-то лучше,,1970,300,,,,,Москва,ж
"Букин, Н.",Хозяйка по имени Соня,Рассказы,1971,300,1,,,,Москва,м
"Булычев, К.",Последняя война,Роман,1970,75,,1,1,,Москва,м
"Бытовой, С.",Река твоих отцов,Повесть,1970,75,,1,,,Ленинград,м
"Вакуловская, Л.",Хозяйка Птичьей скалы,Рассказы,1971,50,,1,,,Магадан,ж
"Василенко, И.",Артемка,Повести,1970,100,,1,,,Москва,м
"Василенко, И.",Звездочка,Повесть,1970,150,,1,,,Москва,м
"Васильев, И.",Первая весна,Повесть,1971,75,,,1,,Москва,м
"Васильев, П.",Парень в кепке,Повести и рассказы,1971,75,,1,1,,Ленинград,м
"Васюкова, Г.",С Маринкой не играю,Рассказы,1971,150,1,,,,Калининград,ж
"Ватагин, М.",Витамин Б ,Рассказ,1970,11,1,,,,Фрунзе,м
