author, title,genre,year,printrun,kid,junior,teen,exclude,location,sex
"Абдулин, А.","Не забывай меня,солнце",Повесть,1973,50000,0,1,1,0,Москва,м
"Абожин, Ю.","В черном логове",Повесть,1973,75000,0,0,1,0,Хабаровск,м
"Абрамов, А.;Абрамов,С.","Все дозволено",Фантаст.роман,1973,100000,0,1,1,1,Москва,м
"Абрамов, Ф.","Из рассказов Олены Даниловы",Рассказы,1972,100000,1,0,0,0,Ленинград,м
"Абрамян, Г.",Страдивариус,Расказ,1972,300000,1,0,0,0,Москва,м
"Абрамян, Г.","Эй,Антонио!",Рассказы,1972,100000,1,0,0,0,Москва,м
"Аксенова, А.","Рассказы Андрюши Мыльника",Рассказы,1973,300000,1,0,0,0,Москва,ж
"Аланов, В.",Чижик,Рассказы,1972,10000,,,,1,Рига,м
"Албек, Л.","Счастливая находка",,1972,100000,1,0,0,1,Москва,м
"Александров, В.","белые крылья",Повесть,1972,65000,,,,1,Москва,м
"Александровский, В.","Друг мой Омголон",Повесть,1973,45000,0,0,1,0,Хабаровск,м
"Александровский, В.",Юлька,Повесть,1973,45000,0,0,1,0,Москва,м
"Алексеев, М.",Карюха,Повесть,1973,100000,0,1,0,0,Москва,м
"Алексеев, М.","Мишкино детство",Повесть,1973,100000,1,0,0,0,Москва,м
"Алексеев, Н.",Перепелка,Рассказы,1973,100000,1,0,0,0,Новосибирск,м
"Алексеев, О.","Нгорячие гильзы",Повесть,1972,100000,1,0,0,0,Москва,м
"Алексеев, С.","Закончат поход другие",Рассказы,1973,100000,,,,1,Москва,м
"Алексеев, С.","Небывалое бывает",Рассказы,1973,200000,1,0,0,0,Москва,м
"Алексеев, С.","Они защищали Москву",Рассказы,1973,450000,1,0,0,0,Москва,м
"Алексеев, С.","Пять поклонов сталинградцам",Рассказы,1973,100000,1,0,0,0,Москва,м
"Алексеев, С.",Снегирь,Рассказы,1973,1800000,1,0,0,0,Москва,м
"Алексеев, С.","Сын великана",Избр.произведения,1973,200000,1,0,0,0,Москва,м
"Алексин, А.","Про нашу семью","Повести и рассказы",1972,75000,1,0,0,0,Москва,м
"Алексин, А.","Солнечный рисунок",Рассказы,1972,150000,1,0,0,0,Москва,м
"Алексин, А.;Воронков,К","Человек с красным галстуком",,1972,100000,1,0,0,1,Москва,м
"Алтаев, Ал.",Повести,Повести,1972,75000,0,1,1,0,Москва,м
Алтыншаш, "Аккоян-белая гончая",Рассказ,1972,125000,,,,1,Алма-Ата,м
"Амлинский, В.","Среди людей","Рассказы и очерки",1973,100000,0,0,1,0,Москва,м
"Андреевская, В.;Сабунаев,Д.","Львенок Цезарь",,1972,150000,1,0,0,1,Ленинград,ж;м
"Анисимова, А.","На короткой волне",Повесть,1973,100000,,,,1,Москва,ж
"Анненков, Ю.","Штурманок прокладывает курс",Роман,1972,100000,0,1,1,0,Москва,м
"Антипин, А.","Первый увал",Повесть,1973,50000,0,1,1,0,Иркутск,м
"Антонова, Л.",Заслон,Роман,1973,65000,0,0,1,0,Хабаровск,ж
"Антонова, Т.","Аленкины друзья",Рассказы,1972,200000,,,,1,Челябинск,ж
"Анциферов, В.","Город Солнца","Приключен. Повесть",1972,30000,1,0,0,0,Йошкар-Ола,м
"Аргунова, Н.","Не бойся,это я!",Рассказы,1973,100000,1,0,0,0,Москва,ж
"Аренштейн, А.","Ласточки грядущей весны",Повесть,1973,75000,0,1,1,0,Москва,ж
"Арро, В.","Бананы и лимоны",Повесть,1972,100000,1,0,0,0,Ленинград,м
"Арро, В.","Вот моя деревня",Повесть,1973,100000,1,0,0,0,Ленинград,м
"Арро, В.","Встань пораньше",Рассказ,1973,300000,1,0,0,0,Ленинград,м
"Артюшенко, С.","Шутка с питоном",Рассказы,1972,65000,1,0,0,0,Киев,м
"Астафьев, В.","Дядя Кузя-куриный начальник",,1972,600000,1,0,0,1,Москва,м
"Астафьев, В.","Конь с розовой гривой",Рассказы,1972,150000,1,0,0,0,Москва,м
"Асянов, Ф.","Сын лесника",Повесть,1972,75000,0,1,0,0,Москва,м
"Ахунов, Г.","За горой Артыш",Повести,1973,100000,0,1,1,0,Казань,м
"Бабич, И.","Мои знакомые звери","Рассказы и повести",1973,65000,1,0,0,0,Киев,ж
"Баблоян, Р.","Трехколесный велосипед",Рассказы,1972,10000,1,1,0,0,Ереван,м
"Бадаев, Б.","Неподдающийся Генка",Повесть,1973,100000,1,0,0,0,Москва,м
"Бадеев, Н.","Принимаю бой",Рассказы,1973,75000,0,1,0,0,Москва,м
"Бадигин, К.","Чужие паруса",Повесть,1973,75000,0,1,1,0,Архангельск,м
"Бадоев, К.",Арсамаг,Рассказы,1972,100000,1,0,0,0,Москва,м
"Байдерин, В.",Лёська,Рассказы,1972,100000,1,0,0,0,Казань,м
"Балановский, Р.","Я-инспектор манежа",Повесть,1972,100000,0,1,1,0,Ленинград,м
"Балл, Г.","Аленкины дорожки",Повесть,1973,300000,1,0,0,0,Москва,м
"Бальбуров, А.","Белый месяц","Рассказы и повести",1973,75000,0,1,1,0,Москва,м
"Бальбуров, А.",Чау-чау,Повесть,1972,50000,1,1,0,0,Улан-Удэ,м
"Баннов, Г.","Ребята из Девятнадцатой",Повесть,1973,10000,,,,1,Уфа,м
"Баныкин, В.","Весной в половодье",Повести,1973,100000,0,1,0,0,Москва,м
"Баныкин, В.","Рассказы о Чапаеве",Рассказы,1972,100000,1,0,0,0,Москва,м
"Барабанов, Н.","Служил во полку мальчишка",Повесть,1972,50000,,,,1,Тула,м
"Барабаш, В.","Колумбы в красных галстуках","Рассказы и повести",1973,45000,0,1,0,0,Ташкент,м
"Баранов, М.","Родная кровинка",Рассказы,1973,30000,0,1,0,0,Улан-Удэ,м
"Барков, А.","Денис Давыдов",,1973,300000,1,0,0,1,Москва,м
"Баруздин, С.","Большая Светлана",Рассказы,1973,150000,1,0,0,0,Москва,м
"Баруздин, С.","Любитель фотографии",Рассказщы,1973,150000,1,0,0,0,Москва,м
"Баруздин, С.","Рави и Шаши",Повесть,1973,1800000,1,0,0,0,Москва,м
"Баруздин, С.","Страна,где мы живем",,1972,100000,1,0,0,0,Москва,м
"Баруздин, С.","Тринадцать лет","Повести и рассказы",1972,100000,0,1,0,0,Москва,м
"Баруздин, С.",Человеки,Рассказ,1972,100000,1,0,0,0,Москва,м
"Басина, М.","Мы идем по Ленинграду",Рассказ,1973,200000,1,0,0,0,Ленинград,ж
"Баталов, В.",Шатун,Повесть,1972,75000,0,0,1,0,Москва,м
"Батров, А.","Три бескозырки",Рассказ,1973,30000,,,,1,Одесса,м
"Батырбаев, Т.",Кукушонок,Повесть,1972,100000,0,1,1,0,Йошкар-Ола,м
"Бахишев, Ф.","Бег времени",Рассказы,1973,5000,0,1,1,0,Махачкала,м
"Бахревский, В.","Дорогое солнце",Рассказы,1972,100000,0,1,0,0,Москва,м
"Башмаков, В.","За Синь-хребтом,в медвежьем царстве,или Приключения Петьки Луковкина в Уссурийской тайге",Повесть,1972,30000,,,,1,Владивосток,м
"Бедзик, Д.","Студеные Воды",Повесть,1973,100000,0,0,1,0,Москва,м
"Белахова, М.",Разлад,Повесть,1973,300000,,,,1,Москва,ж
