author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex
"Авдеев, В.","Крылатый связист",Рассказ,1974,750000,1,0,0,,Москва,м
"Агафонов, А.","Повесть о Вите Черевичкине",Повесть,1974,30000,0,1,0,,Ростов-на-Дону,м
"Азбукин, Б.","Ленькин салют",Повесть,1975,100000,1,1,0,,Москва,м
"Азов, Д.","Расти, березка!",Рассказ,1975,100000,1,1,0,,Москва,м
"Александровский, В.","Иришкин петушок",Рассказ,1974,50000,1,0,0,,Хабаровск,м
"Алексеев, М.",Карюха,Повесть,1974,100000,0,1,1,,Москва,м
"Алексин, А.","Действующие лица и исполнители",Повесть,1975,100000,0,0,1,,Москва,м
"Алексин, А.","Как ваше здоровье?",Рассказ,1975,300000,1,0,0,,Москва,м
"Алексин, А.","Позавчера и послезавтра",Повесть,1974,100000,0,1,0,,Москва,м
"Алешковский, Ю.","Кыш и я в Крыму",Повесть,1975,150000,1,0,0,,Москва,м
"Алтайский, К.","Циолковский рассказывает",Рассказ,1974,100000,0,1,1,,Москва,м
"Амлинский, В.","Музыка на вокзале","Повесть; Рассказ",1974,100000,0,0,1,,Москва,м
"Андреев-Кривич, С.","Может собственных Платонов",Повесть,1974,100000,0,0,1,,Москва,м
"Андрианов, Ф.","Вижу зеленый!",Повесть,1975,30000,0,0,1,,Саранск,м
"Андрианов, Ф.","Экипаж корабля ""Люкос-5""",Повесть,1974,100000,0,0,1,,Саранск,м
"Антонов, С.",Алёнка,Повесть,1975,150000,0,0,1,,Москва,м
"Арро, В.","Веселая дорога",Повесть,1975,150000,1,0,0,,Ленинград,м
"Артеменко, Л.","Мужчина в доме",Повесть,1975,30000,0,0,1,,Воронеж,м
"Архангельский, В.","Рассказы о Фрунзе",Рассказ,1975,200000,1,0,0,,Москва,м
"Астафьев, В.",Перевал,Повесть,1975,100000,0,1,0,,Москва,м
"Атаров, Н.","Повесть о первой любви",Повесть,1975,100000,0,0,1,,Москва,м
"Ахмедов, Р.","Пропавшая река",Рассказ,1975,50000,1,0,0,,Уфа,м
"Бадигин, К.","Секрет государственной важности",Повесть,1974,100000,0,1,1,,Москва,м
"Байдерин, В.","Клад под старой липой",Рассказ,1975,200000,0,0,1,,Казань,м
"Байдерин, В.",Лёська,Рассказ,1975,150000,1,0,0,,Москва,м
"Баныкин, В.","Счастливое лето",Повесть,1975,75000,0,1,0,,Москва,м
"Баныкин, В.","Там, где живут березы",Рассказ,1974,150000,1,0,0,,Москва,м
"Баруздин, С.","Ее зовут Елкой","Повесть; Рассказ",1975,200000,0,1,0,,Москва,м
"Баруздин, С.","Повторение пройденного ",Роман,1975,100000,0,1,0,,Ижевск,м
"Батров, А.","В одесской гавани",Рассказ,1974,75000,0,1,0,,Москва,м
"Баюканский, А.","Про Севку, каскадеров и ""железную бабу""",Повесть,1974,50000,1,0,0,,Воронеж,м
"Блинов, А.",Слесаренок,Рассказ,1974,150000,1,0,0,,Москва,м
"Блинов, Г.","Пятые приходят на помощь",Повесть,1975,75000,1,1,0,,Кемерово,м
"Боборико, М.","А у нас во дворе",Повесть,1974,100000,1,0,0,,Минск,ж
"Богданов, Н.","База верхолаза",Рассказ,1974,750000,1,0,0,,Москва,м
"Богданов, Н.","Когда я был вожатым",Повесть,1974,100000,0,1,0,,Москва,м
"Богданов, Н.","Самый храбрый",Рассказ,1974,300000,1,0,0,,Москва,м
"Богданов, Н.","Улыбка Ильича",Рассказ,1974,600000,1,0,0,,Москва,м
"Бондарчик, С.","Нейлоновые куртки",Повесть,1975,150000,0,1,0,,Москва,м
"Борискин, Н.","Иду на таран",Рассказ,1974,100000,0,0,1,,Москва,м
"Бочарников, В.",Коряжонок,"Повесть; Рассказ",1975,150000,1,0,0,,Москва,м
"Булычева, А.","Трубачи с улицы Солнечной",Повесть,1974,30000,0,1,0,,Киев,ж
"Василенко, И.",Артемка,Повесть,1975,100000,0,1,0,,Москва,м
"Василенко, И.",Звездочка,Повесть,1974,100000,0,1,0,,Москва,м
"Василенко, И.","Солнечные часы","Повесть; Рассказ",1974,300000,1,1,0,,Ростов-на-Дону,м
"Васильев, П.","Задача с двумя неизвестными","Повесть; Рассказ",1975,100000,0,1,1,,Ленинград,м
"Вахман, В.","В четыре утра…",Повесть,1975,100000,0,1,1,,Ленинград,м
"Великанов, А.","Формула дружбы",Рассказ,1975,65000,1,0,0,,Ярославль,м
"Великанов, В.","По улицам слона водили…",Повесть,1975,100000,1,0,0,,Москва,м
"Верейская, Е.",Ласточка,Рассказ,1975,150000,1,0,0,,Ленинград,ж
"Верейская, Е.",Таня-революционерка,Рассказ,1974,1500000,1,0,0,,Москва,ж
"Верейская, Е.",Таня-революционерка,Рассказ,1975,500000,1,0,0,,Москва,ж
"Вересов, А.",Ключ-город,Повесть,1974,75000,0,1,1,,Ленинград,м
"Веретенов, В.",Шурка-республиканец,Повесть,1975,50000,0,1,0,,Хабаровск,м
"Викторова, Э.","Хлеб растет в деревне",Рассказ,1975,150000,0,1,0,,Мурманск,ж
"Волк, И.","Айвелюк - кусочек Луны",Рассказ,1974,750000,1,0,0,,Москва,ж
"Волков, В.",Тимка-новосел,Повесть,1974,150000,1,0,0,,Ленинград,м
"Вольф, С.","Завтра утром, за чаем",Повесть,1974,75000,0,1,1,,Ленинград,м
"Вольф, С.","Мы поедем на рыжем коне",Рассказ,1975,150000,1,0,0,,Москва,м
"Воробьев, Е.","Капля крови",Повесть,1975,150000,0,0,1,,Москва,м
"Воробьева, И.","Волшебное лекарство",Рассказ,1975,100000,1,0,0,,Саранск,ж
"Воскобойников, В.","Когда я снова приду в школу…",Повесть,1974,150000,1,0,0,,Ленинград,м
"Воскобойников, В.","Тетрадь в красной обложке",Повесть,1975,150000,1,0,0,,Ленинград,м
"Высоцкая, Г.","Санькина тайна",Повесть,1975,15000,0,1,0,,Сыктывкар,ж
"Гайдар, А.","Голубая чашка",Рассказ,1974,110000,1,0,0,,Горький,м
"Гайдар, А.","Голубая чашка",Рассказ,1975,300000,1,0,0,,Москва,м
"Гайдар, А.","Дальние страны",Повесть,1974,100000,1,0,0,,Казань,м
"Гайдар, А.","Мои товарищи","Повесть; Рассказ",1974,100000,1,0,0,,Москва,м
"Гайдар, А.",Р.В.С.,Рассказ,1974,100000,1,0,0,,Москва,м
"Гайдар, А.","Судьба барабанщика",Повесть,1974,150000,0,1,0,,Хабаровск,м
"Гайдар, А.","Судьба барабанщика",Повесть,1975,100000,0,1,0,,Москва,м
"Гайдар, А.","Тимур и его команда",Повесть,1974,100000,1,0,0,,Ташкент,м
"Гайдар, А.","Тимур и его команда",Повесть,1975,450000,1,0,0,,Москва,м
"Гайдар, А.","Тимур и его команда",Повесть,1974,100000,1,0,0,,Куйбышев,м
"Гайдар, А.",Школа,Повесть,1974,500000,0,0,1,,Москва,м
"Гайдар, А.",Школа,Повесть,1974,100000,0,0,1,,Красноярск,м
"Гайдар, А.",Школа,Повесть,1975,10000,0,0,1,,Горький,м
"Гайдар, А.",Школа,Повесть,1975,200000,0,0,1,,Махачкала,м
"Галахова, Г.","Легкий кораблик - капустный листок",Повесть,1975,150000,1,0,0,,Ленинград,ж
"Георгиевская, С.","Повести о любви",Повесть,1975,100000,0,0,1,,Москва,ж
"Герман, В.","Веселые знакомства",Рассказ,1974,75000,1,0,0,,Киев,ж
"Глебов, А.","Горячее солнце","Повесть; Рассказ",1974,150000,1,0,0,,Москва,м
"Глинка, М.","Васильевский остров","Повесть; Рассказ",1974,75000,0,1,1,,Ленинград,м
"Годунова, М.","Фиолетовый змей",Рассказ,1975,300000,1,0,0,,Москва,ж
"Голубев, Ф.","В лесной сторожке",Рассказ,1975,30000,1,1,0,,Воронеж,м
"Голубева, А.","Мальчик из Уржума",Повесть,1974,100000,0,1,0,,Москва,ж
"Голубов, С.","Снимем, товарищи, шапки!",Повесть,1974,100000,0,1,1,,Москва,м
"Голышкин, В.","Оля и оса",Рассказ,1974,200000,1,0,0,,Москва,м
"Голышкин, В.","Улица становится нашей",Рассказ,1974,100000,0,1,0,,Москва,м
"Горбунов, Д.","Егорка Богатырев",Повесть,1974,100000,0,1,1,,Ярославль,м
"Горышин, Г.","О чем свистнул скворец",Рассказ,1975,100000,0,1,1,,Ленинград,м
"Горький, М.","Дед Архип и Ленька",Рассказ,1975,750000,1,0,0,,Москва,м
"Горький, М.",Детство,Повесть,1975,100000,0,1,0,,Москва,м
"Горький, М.",Детство,Повесть,1975,100000,0,1,0,,Воронеж,м
"Горький, М.",Детство,Повесть,1974,250000,0,1,0,,Минск,м
"Горький, М.",Детство,Повесть,1974,100000,0,1,0,,Нальчик,м
"Григорьева, Л.","Крестьянский сын",Повесть,1975,100000,0,1,1,,Москва,ж
