author_std,n,nolang,nas,langs,default,enforce
Абу-БакарА,8,2,0,даргинский,даргинский,
АгаковЛ,3,0,1,чувашский,чувашский,
Айбек,5,0,2,узбекский,узбекский,
АйниС,8,1,1,таджикский,таджикский,
АйтматовЧ,23,2,13,киргизский,киргизский,no
АлексееваА,2,0,1,норвежский,норвежский,
АлечковичМ,3,0,0,сербохорватский;сербский,сербский,
АлиеваФ,7,0,2,аварский,аварский,
АлимбаевМ,2,0,1,казахский,казахский,
АлимовА,3,0,2,таджикский,таджикский,
АлишА,16,1,1,татарский,татарский,
АлланазаровА,3,0,1,туркменский,туркменский,
АмирМ,5,0,1,татарский,татарский,
АнарбаевС,2,0,1,узбекский,узбекский,
АндерсенГХ,270,46,101,датский,датский,yes
АнкоЮ,2,1,0,эскимосский,эскимосский,
АппаковаД,8,0,7,татарский,татарский,
АсбьернсенПК,2,0,1,норвежский,норвежский,
Аткай,4,0,1,кумыкский,кумыкский,
АтниловД,3,0,1,татский,татский,
АтянинФ,7,0,2,мордовский,мордовский,
АхметА,3,0,1,татарский,татарский,
АхундовСС,6,1,0,азербайджанский,азербайджанский,
АхундоваА,7,0,6,азербайджанский,азербайджанский,
АхуновГ,2,0,1,татарский,татарский,
БаалХабырыыс,4,0,1,якутский,якутский,
БагмутИА,14,0,2,украинский,украинский,
БадмаевЦ,14,1,1,бурятский,бурятский,
БадоевК,2,0,1,осетинский,осетинский,
БайбуринГГ,2,0,1,башкирский,башкирский,
БайдыевС,2,0,1,калмыцкий,калмыцкий,
БаймурадовА,4,1,1,туркменский,туркменский,
БайрамовН,5,0,2,туркменский,туркменский,
БайронДГ,15,6,5,английский,английский,yes
БалашБ,4,1,1,немецкий,немецкий,
БалданжабонЖ,2,0,1,бурятский,бурятский,
БалкароваФ,2,0,1,кабардино-черкесский,кабардино-черкесский,
БаллашБ,6,0,2,немецкий,немецкий,
БальзакО,32,1,7,французский,французский,yes
БарриДМ,4,0,1,английский,английский,yes
БасиевМ,5,1,0,осетинский,осетинский,
БассетС,3,2,0,английский,английский,
БаталовВЯ,5,1,0,коми-пермяцкий,коми-пермяцкий,
БаумвольР,17,0,16,идиш,идиш,
БашировГ,3,0,1,татарский,татарский,
БейшеналиевШ,14,0,3,киргизский,киргизский,
БектеновК,3,0,1,киргизский,киргизский,
БелецкийПА,2,0,1,грузинский,грузинский,
БелоглазоваРВ,4,0,3,бурятский,бурятский,
БеранжеП,4,0,3,французский,французский,yes
БергБенгт,7,0,2,шведский;немецкий,шведский,
Бернт—Ли.,3,0,2,норвежский,норвежский,yes
БесаевТУ,4,0,2,осетинский,осетинский,
БесковЭ,3,0,1,шведский,шведский,yes
БехлероваX,3,0,2,польский,польский,yes
БжехваЯ,4,0,1,польский,польский,yes
БикколШ,2,0,1,башкирский,башкирский,
БикчеитаевА,2,0,1,башкирский,башкирский,
БикчентаевА,19,0,9,башкирский,башкирский,
БиссетД,6,0,1,английский,английский,yes
Бичер-СтоуГ,37,6,14,английский,английский,yes
БлагининаЕА,122,1,120,белорусский,белорусский,no
БлайтонЭ,6,0,3,английский,английский,yes
БобинскаяЕФ,7,0,3,польский,польский,
БолквадзеМИ,2,0,1,грузинский,грузинский,
БондАР,12,0,5,английский;немецкий,английский,yes
БорисовА,3,0,2,мордовский,мордовский,
БорутаК,3,1,0,литовский,литовский,
БосевА,9,1,2,болгарский,болгарский,
Брет-ГартФ,4,1,2,английский,английский,yes
БрехтБ,3,0,1,немецкий,немецкий,yes
БритаевС,7,0,5,осетинский,осетинский,
БрудныйДЛ,2,0,1,киргизский,киргизский,
БрыжинскийИ,2,1,0,мордовский,мордовский,
БудрисРИ,2,0,1,литовский,литовский,
БуковЕ,3,0,1,молдавский,молдавский,
БуковЕН,14,0,1,молдавский,молдавский,
БулльЯ,2,0,1,норвежский,норвежский,yes
БуссенарЛА,20,0,3,французский,французский,yes
БушВ,17,10,5,немецкий,немецкий,yes
БыковВ,9,0,4,белорусский,белорусский,
БычкоВВ,8,0,1,украинский,украинский,
БядуляЗ,9,1,1,белорусский,белорусский,
ВаждаевВМ,30,0,21,казахский;африканские;карельский;латышский;армянский;молдавский;немецкий;болгарский,,no
ВайнилайтисМ,3,1,0,литовский,литовский,
ВанагЮП,8,0,1,латышский,латышский,
ВангелиСС,12,1,0,молдавский,молдавский,
ВасилевскаяВ,11,0,4,польский,польский,
ВасилевскаяГО,6,1,1,белорусский,белорусский,
ВасильевС,3,0,2,якутский,якутский,
ВасильевСА,9,0,8,якутский,якутский,
ВасильченкоСВ,2,1,0,украинский,украинский,
ВасинКК,9,0,1,марийский,марийский,
ВедзижевАА,4,0,2,ингушский,ингушский,
ВежиновП,3,0,1,болгарский,болгарский,
ВейнландВФ,3,0,2,немецкий,немецкий,yes
ВелиевСВ,5,1,2,азербайджанский,азербайджанский,
ВергаД,2,0,1,итальянский,итальянский,
ВернЖ,204,43,59,французский,французский,yes
ВернетФ,3,1,0,английский,английский,
ВиардВИ,6,1,1,мордовский,мордовский,
ВивьеК,4,0,1,французский,французский,yes
ВильдеЭ,1,0,0,эстонский,эстонский,
ВикторовВИ,18,0,17,английский,,no
ВиниченкоВ,4,0,3,украинский,украинский,
ВладкоВ,3,0,2,украинский,украинский,
ВовчокМ,5,0,3,украинский,украинский,
ВойничЭЛ,38,0,10,английский,английский,yes
ВольскийАВ,9,4,2,белорусский,белорусский,
ВольскийВ,4,0,1,белорусский,белорусский,
ВорисгоферС,5,2,2,немецкий,немецкий,yes
ВороныйМ,5,1,2,украинский,украинский,
ВоронькоПН,31,1,4,украинский,украинский,
ВургунС,3,0,1,азербайджанский,азербайджанский,
ВялиX,3,0,1,эстонский,эстонский,
ВяткинГА,4,0,3,алтайский,,
ГагенбекК,2,1,0,немецкий,немецкий,
ГалиМ,6,0,2,башкирский,башкирский,
ГалкинА,3,0,2,чувашский,чувашский,
ГамзатовР,17,0,3,аварский,аварский,
ГанзелкаИ,3,1,1,чешский,чешский,yes
Гарин-МихайловскийНГ,44,0,41,корейский,,no
ГармааД,2,0,1,монгольский,монгольский,yes
ГарничА,3,0,2,осетинский,осетинский,
ГарфАЛ,19,0,14,алтайский;монгольский;эскимосский,,no
ГаузнерК,2,1,0,немецкий,немецкий,
ГаузнерЯ,2,1,0,немецкий,немецкий,
ГауфВ,41,6,8,немецкий,немецкий,yes
ГафуриМ,6,0,0,татарский;башкирский,,
ГашекЯ,4,0,1,чешский,чешский,yes
ГейеА,9,2,2,немецкий,немецкий,yes
ГейнеГ,5,0,4,немецкий,немецкий,yes
ГелинаАМ,5,0,4,английский,,
ГенриО,7,1,5,английский,английский,yes
ГерманМ,2,0,1,молдавский,молдавский,
ГессеН,2,0,1,итальянский,,
ГетеИВ,26,2,2,немецкий,немецкий,yes
ГеттуевМ,4,1,0,балкарский,балкарский,
