author_std,wdname,qid,result,gender,sex,birth,death,birth_year,death_year,author
АбакаровА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абакаров, Ахмедхан"
АбакировМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абакиров, М."
АбалаковВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абалаков, В."
АбасовЭ,"Абасов, Эйюб Джебраил оглы",Q4054338,1,m,male,NA,NA,1905,1957,"Абасов, Эйюб"
АбатуровК,"Абатуров, Константин Иванович",Q4054347,1,m,male,NA,NA,1911,2001,"Абатуров, К."
АбашидзеГ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абашидзе, Г."
АбашидзеИВ,"Абашидзе, Ираклий Виссарионович ;Абашидзе, Ираклий Висарионович",Q560280,1,-,male,NA,NA,1909,1992,"Абашидзе, И. В."
АбашкинВД,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абашкин, В. Д."
АббасзадеГ,"Аббасзаде, Гусейн",Q4054389,1,m,male,NA,NA,1922,2007,"Аббасзаде, Г."
АббеА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Аббе, А."
АбгарианиА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Абгариани, А."
АбдашевЮН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абдашев, Ю. Н."
АбдирашевЖ,"Абдирашев, Жараскан",Q12543524,1,m,male,NA,NA,1948,2001,"Абдирашев, Жараскан"
АбдукаххарС,NA,NA,NA,-,NA,NA,NA,NA,NA,"Абдукаххар, С."
АбдуллаевА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абдуллаев, А."
АбдуллаевШ,"Абдуллаев, Шахмардан Гасан-Гусейнович",Q109487057,1,m,male,NA,NA,1911,1996,"Абдуллаев, Ш."
АбдуллинАX,NA,NA,NA,m,NA,1930,NA,NA,NA,"Абдуллин, А. X."
АбдуллинАХ,NA,NA,NA,m,NA,1930,NA,NA,NA,"Абдуллин, Азат"
АбдуловаВВ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Абдулова, В. В."
АбдураззакА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Абдураззак, А."
АбдурахимовМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абдурахимов, М."
АбдурашидР,NA,NA,NA,-,NA,NA,NA,NA,NA,"Абдурашид, Раззак"
АбдыкадыроваС,"Абдыкадырова, Субайылда",Q25597804,1,f,female,NA,NA,1935,2010,"Абдыкадырова, С."
АбесгаузБ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Абесгауз, Б."
АбиЯС,NA,NA,NA,-,NA,NA,NA,NA,NA,"Аби, Я. С."
АбиджанА,"Абиджан, Анвар",Q4065020,1,-,male,NA,NA,1947,2020,"Абиджан, А."
АбидуевБ,"Абидуев, Бавасан Доржиевич",Q4054728,1,m,male,NA,NA,1909,1940,"Абидуев, Бавасан"
АбитовXЯ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абитов, X. Я."
АбожинЮ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абожин, Юрий"
АбрагамиЮ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Абрагами, Ю."
АбрамовАИ,"Абрамов, Александр Иванович",Q4054891,1,m,male,NA,NA,1900,1985,"Абрамов, А. И.; Абрамов, Александр"
АбрамовАН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абрамов, А.; Абрамов, А. Н."
АбрамовВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абрамов, В."
АбрамовГМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абрамов, Г. М.; Абрамов, Герман"
АбрамовИС,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абрамов, И. С."
АбрамовК,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абрамов, Кузьма"
АбрамовЛ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абрамов, Леонид"
АбрамовМА,NA,NA,NA,m,NA,1927,NA,NA,NA,"Абрамов, М. А.; Абрамов, Михаил"
АбрамовСА,"Абрамов, Сергей Александрович",Q4054949,1,m,male,NA,NA,1944,NA,"Абрамов, С. А.; Абрамов, Сергей"
АбрамовСИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абрамов, С."
АбрамовФА,"Абрамов, Федор Александрович",Q468277,1,m,male,NA,NA,1920,1983,"Абрамов, Ф. А.; Абрамов, Федор"
АбрамовЯВ,"Абрамов, Яков Васильевич",Q4054957,1,m,male,NA,NA,1858,1906,"Абрамов, Я. В."
Абрамова-КалицкаяВП,NA,NA,NA,f,NA,NA,NA,NA,NA,"Абрамова-Калицкая, В. П.; Абрамова, В. П. [Калицкая]"
АбрамоваАС,NA,NA,NA,f,NA,NA,NA,NA,NA,"Абрамова, А. С."
АбрамовичАФ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Абрамович, А. Ф."
АбрамсонВЕ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Абрамсон, В. Е."
АбрамянГВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абрамян, Г.; Абрамян, Г. В.; Абрамян, Григорий"
АброскинИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Аброскин, И."
АбсалямовА,"Абсалямов, Абдурахман Сафич ;Абсалямов, Абдурахман Сафиевич",Q4055119,1,m,male,NA,NA,1911,1979,"Абсалямов, А.; Абсалямов, Абдурахман"
Абу-БакарА,"Абу-Бакар, Ахмедхан Абакарович",Q4055144,1,-,male,NA,NA,1931,1991,"Абу-Бакар, А.; Абу-Бакар, Ахмедхан"
АбуковК,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абуков, Камал"
АбульгасанА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Абульгасан, Алекпер-Заде Алибаба оглы"
АбчукВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Абчук, Владимир"
АбчукВА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Абчук, В. А."
АвакянЭ,"Авакян, Эдуард Самвелович",Q3165231,1,-,male,NA,NA,1927,2010,"Авакян, Э."
АвалианиГ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Авалиани, Г."
АванесовР,NA,NA,NA,m,NA,NA,NA,NA,NA,"Аванесов, Рафаил"
АватковаИИ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Аваткова, И. И."
АвгустынюкА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Августынюк, А."
АвдеевАГ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Авдеев, А. Г."
АвдеевВФ,"Авдеев, Виктор Федорович ;Авдеев, Виктор Фёдорович",Q4055508,1,m,male,NA,NA,1909,1983,"Авдеев, В. Ф.; Авдеев, Виктор"
АвдеевДП,NA,NA,NA,m,NA,NA,NA,NA,NA,"Авдеев, Д. П."
АвдеевЛГ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Авдеев, Л. Г."
АвдеевС,NA,NA,NA,m,NA,NA,NA,NA,NA,"Авдеев, С."
АвдеевЮФ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Авдеев, Ю. Ф."
АвдееваА,NA,NA,NA,f,NA,NA,NA,NA,NA,"Авдеева, А."
АвдееваКД,NA,NA,NA,f,NA,NA,NA,NA,NA,"Авдеева, К.; Авдеева, К. Д."
АвдеенкоА,"Авдеенко, Александр Остапович",Q4055544,1,m,male,NA,NA,1908,1996,"Авдеенко, А.; Авдеенко, Александр"
АвдиенкоЕП,NA,NA,NA,m,NA,NA,NA,NA,NA,"Авдиенко, Е.; Авдиенко, Е. П.; Авдиенко, Евг.; Авдиенко, Евгений"
АвенариусВП,"Авенариус, Василий Петрович",Q4055616,1,m,male,NA,NA,1839,1923,"Авенариус, В. П."
АвербахА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Авербах, Ал."
АвербухОК,NA,NA,NA,-,NA,NA,NA,NA,NA,"Авербух, О. К."
АвербухОК,NA,NA,NA,m,NA,NA,NA,NA,NA,"Авербух, Овсей"
АверенковЮ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Аверенков, Юрий"
АверинВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Аверин, В.; Аверин, Вс."
АверченкоАТ,"Аверченко, Аркадий Тимофеевич",Q602217,1,-,male,NA,NA,1881,1925,"Аверченко, А. Т."
АверченкоВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Аверченко, Виталий"
АвижюсЙ,"Авижюс, Йонас",Q4055889,1,m,male,NA,NA,1922,1999,"Авижюс, И.; Авижюс, Йонас"
АвиловМ,"Авилов, Михаил Александрович",Q30199662,1,m,male,NA,NA,1907,1974,"Авилов, М."
Авилова,"Авилова, Лидия Алексеевна",Q4055905,1,f,female,NA,NA,1864,1943,Авилова
АвраменкоАИ,"Авраменко, Александр Иванович",Q4056018,1,-,male,NA,NA,1934,1974,"Авраменко, А. И."
АвраменкоИК,"Авраменко, Илья Корнильевич",Q2589706,1,-,male,NA,NA,1907,1973,"Авраменко, И.; Авраменко, И. К."
АврутинАЮ,"Аврутин, Анатолий Юрьевич",Q4056072,1,m,male,NA,NA,1948,NA,"Аврутин, А. Ю."
АвсеенкоИ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Авсеенко, И."
АвсюкевичВ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Авсюкевич, В."
АвсюкевичВД,NA,NA,NA,-,NA,NA,NA,NA,NA,"Авсюкевич, В. Д."
АвтократовН,"Автократов, Николай Васильевич",Q4056257,1,m,male,NA,NA,1894,1961,"Автократов, Н."
АвтономовВМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Автономов, В. М.; Автономов, Владимир"
АгаковЛ,"Агаков, Леонид Яковлевич",Q4056570,1,m,male,NA,NA,1910,1977,"Агаков, Л.Я.; Агаков, Леонид"
АганбегянАГ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Аганбегян, А. Г."
АгапкинаА,NA,NA,NA,f,NA,NA,NA,NA,NA,"Агапкина, А."
АгаповВД,"Агапов, Виктор Данилович",Q4056628,1,m,male,NA,NA,1939,2009,"Агапов, В. Д.; Агапов, Виктор"
АгаповСВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Агапов, С. В."
