author,n,match,gender,titles,ntit,birth,death,prefix1,prefix2
"Абакаров, Ахмедхан",3,АбакаровА,m,"Золотые руки; Брошка (Рассказ]. Пер. П. Щекотова; Култум (Рассказ). Пер. Ю. Арбата; Нур-Эддин. Золотые руки (Пьеса-сказка в 3-х д., 6-ти карт.)",4,,,АбакаровА,NA
"Абакиров, М.",1,АбакировМ,m,"Сказки моей бабушки",1,,,АбакировМ,NA
"Абалаков, В.",1,АбалаковВ,m,"Самодельное оборудование спортивных площадок пионерских лагерей",1,,,АбалаковВ,NA
"Абасов, Эйюб",6,АбасовЭ,m,"Праздничный вечер; Нефть говорит; Пионер и старик; Мать; Маленький рикша; Пионерка Наиля",6,,,АбасовЭ,NA
"Абатуров, К.",1,АбатуровК,m,Пушинка,1,,,АбатуровК,NA
"Абашидзе, Г.",1,АбашидзеГ,m,"Ласточка в Рустави",1,,,АбашидзеГ,NA
"Абашидзе, И. В.",1,АбашидзеИВ,-,"Ищу заветный след",1,,,АбашидзеИ,АбашидзеИВ
"Абашкин, В. Д.",1,АбашкинВД,m,Монтажники-высотники,1,,,АбашкинВ,АбашкинВД
"Аббас, Сиххат",2,СиххатА,m,"Цыплята; Птицы",2,,,АббасС,NA
"Аббасзаде, Г.",10,АббасзадеГ,m,"Белые палатки; Каждый день в ином наряде; Порванные страницы; Не помогло! — Обидчивая Наргиз; Фуражка; Забор; Рыбаки; Все знают; Кто же нарисовал?— Тарлан и садовник; Лужа",10,,,АббасзадеГ,NA
"Аббе, А.",7,АббеА,-,"Как сделать проекционный фонарь и эпидиоскоп; Самодельные гальванические элементы; Самодельные электрические аккумуляторы; Электрический трамвай",4,,,АббеА,NA
"Абгариани, А.",1,АбгарианиА,-,"Юный автомобилист",1,,,АбгарианиА,NA
"Абдашев, Ю. Н.",1,АбдашевЮН,m,"Зеленый меридиан",1,,,АбдашевЮ,АбдашевЮН
"Абдирашев, Жараскан",1,АбдирашевЖ,m,"Что это?",1,,,АбдирашевЖ,NA
"Абдукаххар, С.",7,АбдукаххарС,-,"Валид-жан-шутник; О том, как с задачей вышла незадача; Валиджан-шут-ник; Валиджан и саженцы; Подарок Валиджана; Для ученья надобно терпенье; Нежданная встреча; Откуда взялась шишка на лбу",8,,,АбдукаххарС,NA
"Абдуллаев, А.",1,АбдуллаевА,m,"Энергия атомного ядра",1,,,АбдуллаевА,NA
"Абдуллаев, С.",1,АбдуллаевС,m,"Подарок школьникам",,,,,
"Абдуллаев, Ш.",1,АбдуллаевШ,m,"Волшебное зеркало",1,,,АбдуллаевП,NA
"Абдуллин, А. X.",1,АбдуллинАX,m,"Белое молоко",1,1930,,АбдуллинА,АбдуллинАX
"Абдуллин, Азат",1,АбдуллинАХ,m,"Не забывай меня, солнце",1,1930,,АбдуллинА,NA
"Абдулова, В. В.",1,АбдуловаВВ,f,"Листья банана",1,,,АбдуловаВ,АбдуловаВВ
"Абдураззак, А.",1,АбдураззакА,-,"Девочка и тюльпан",1,,,АбдураззакА,NA
"Абдурахимов, М.",1,АбдурахимовМ,m,"Дутар мудрого бахши",1,,,АбдурахимовМ,NA
"Абдурашид, Раззак",4,АбдурашидР,-,"Бабушка-сказка; Сказка о большом лесе и маленьком зайце; Сказка про старый дом, волка и пятерых друзей; Мать-земля: (Старинная легенда)",4,,,АбдурашидР,NA
"Абдыкадырова, С.",1,АбдыкадыроваС,f,"Зеленый мир",1,,,АбдыкадыроваС,NA
"Абесгауз, Б.",1,АбесгаузБ,-,"Памятка кружку ЮДМ (юных друзей МОПР)",1,,,АбесгаузБ,NA
"Аби, Я. С.",1,АбиЯС,-,"Путешествие для примера всем пионерам",1,,,АбиЯ,АбиЯС
"Абиджан, А.",1,АбиджанА,-,"Аламазон и его пехота",1,,,АбиджанА,NA
