orig_lang,n,iso,gost,fullname
NOLANG,1059,NOLANG,NOLANG,NOLANG
абазин.,1,abq,аба,абазинский
абх.,1,abk,абх,абхазский
абхаз.,18,abk,абх,абхазский
абхазск.,1,abk,абх,абхазский
авар.,34,ava,ава,аварский
аварского.,1,ava,ава,аварский
"адыг,",2,ady,ады,адыгейский
адыг.,34,ady,ады,адыгейский
адыгейск.,11,ady,ады,адыгейский
адыгейского,2,ady,ады,адыгейский
азер-байдж.,10,aze,азе,азербайджанский
азерб.,35,aze,азе,азербайджанский
азербайдж.,53,aze,азе,азербайджанский
азербайджан.,1,aze,азе,азербайджанский
азербайджанск.,6,aze,азе,азербайджанский
азербайджанского,21,aze,азе,азербайджанский
азербайджанского.,2,aze,азе,азербайджанский
ал-бан.,1,sqi,алб,албанский
алб.,1,sqi,алб,албанский
албан.,4,sqi,алб,албанский
албанск.,1,sqi,алб,албанский
алжир.,1,,,
алт.,15,alt,алт,алтайский
алтайск.,7,alt,алт,алтайский
алтайских.,1,alt,алт,алтайский
амер.,2,eng,анг,английский
америк.,1,eng,анг,английский
американск.,1,eng,анг,английский
амур.,4,eng,анг,английский
амхар.,1,amh,амх,амхарский
амхарского,1,amh,амх,амхарский
анг.,1,eng,анг,английский
"англ,",82,eng,анг,английский
"англ-,",1,eng,анг,английский
англ.,877,eng,анг,английский
английск.,17,eng,анг,английский
английских.,1,eng,анг,английский
английского,26,eng,анг,английский
"английского,",2,eng,анг,английский
английского.,3,eng,анг,английский
английской.,3,eng,анг,английский
ар-мянск.,1,hye,арм,армянский
"араб,",4,ara,ара,арабский
араб.,20,ara,ара,арабский
арабск.,15,ara,ара,арабский
арабского,5,ara,ара,арабский
арм.,123,hye,арм,армянский
армян.,1,hye,арм,армянский
армянск.,9,hye,арм,армянский
армянского,28,hye,арм,армянский
армянского.,7,hye,арм,армянский
афр.,2,,,африканские
африк.,1,,,африканские
африканск.,2,,,африканские
байкал.,2,,,
байкальск.,2,,,
балк.,3,krc,као,балкарский
"балкар,",2,krc,као,балкарский
балкар.,21,krc,као,балкарский
балкарск.,1,krc,као,балкарский
басни.,1,,,
башк.,89,bak,баш,башкирский
"башкир,",5,bak,баш,башкирский
башкир.,29,bak,баш,башкирский
башкирск.,7,bak,баш,башкирский
башкирского,2,bak,баш,башкирский
"белорус,",22,bel,бел,белорусский
белорус.,282,bel,бел,белорусский
белорусок.,1,bel,бел,белорусский
белорусск.,11,bel,бел,белорусский
белорусского,15,bel,бел,белорусский
белорусского.,9,bel,бел,белорусский
бенгали.,1,ben,бен,бенгальский
