author_std,fullname,qid,gender,birth_year,death_year,author
АбакаровА,NA,NA,m,NA,NA,"Абакаров, Ахмедхан"
АбакировМ,NA,NA,m,NA,NA,"Абакиров, М."
АбалаковВ,NA,NA,m,NA,NA,"Абалаков, В."
АбасовЭ,"Абасов, Эйюб Джебраил оглы",Q4054338,m,1905,1957,"Абасов, Эйюб"
АбатуровК,"Абатуров, Константин Иванович",Q4054347,m,1911,2001,"Абатуров, К."
АбашидзеГ,NA,NA,m,NA,NA,"Абашидзе, Г."
АбашидзеИВ,"Абашидзе, Ираклий Виссарионович ;Абашидзе, Ираклий Висарионович",Q560280,m,1909,1992,"Абашидзе, И. В."
АбашкинВД,NA,NA,m,NA,NA,"Абашкин, В. Д."
АббасзадеГ,"Аббасзаде, Гусейн",Q4054389,m,1922,2007,"Аббасзаде, Г."
АббеА,NA,NA,NA,NA,NA,"Аббе, А."
АбгарианиА,NA,NA,NA,NA,NA,"Абгариани, А."
АбдашевЮН,NA,NA,m,NA,NA,"Абдашев, Ю. Н."
АбдирашевЖ,"Абдирашев, Жараскан",Q12543524,m,1948,2001,"Абдирашев, Жараскан"
АбдукаххарС,NA,NA,NA,NA,NA,"Абдукаххар, С."
АбдуллаевА,NA,NA,m,NA,NA,"Абдуллаев, А."
АбдуллаевШ,"Абдуллаев, Шахмардан Гасан-Гусейнович",Q109487057,m,1911,1996,"Абдуллаев, Ш."
АбдуллинАX,NA,NA,m,1930,NA,"Абдуллин, А. X."
АбдуллинАХ,NA,NA,m,1930,NA,"Абдуллин, Азат"
АбдуловаВВ,NA,NA,f,NA,NA,"Абдулова, В. В."
АбдураззакА,NA,NA,NA,NA,NA,"Абдураззак, А."
АбдурахимовМ,NA,NA,m,NA,NA,"Абдурахимов, М."
АбдурашидР,NA,NA,NA,NA,NA,"Абдурашид, Раззак"
АбдыкадыроваС,"Абдыкадырова, Субайылда",Q25597804,f,1935,2010,"Абдыкадырова, С."
АбесгаузБ,NA,NA,NA,NA,NA,"Абесгауз, Б."
АбиЯС,NA,NA,NA,NA,NA,"Аби, Я. С."
АбиджанА,"Абиджан, Анвар",Q4065020,m,1947,2020,"Абиджан, А."
АбидуевБ,"Абидуев, Бавасан Доржиевич",Q4054728,m,1909,1940,"Абидуев, Бавасан"
АбитовХЯ,NA,NA,m,NA,NA,"Абитов, X. Я."
АбожинЮ,NA,NA,m,NA,NA,"Абожин, Юрий"
АбрагамиЮ,NA,NA,NA,NA,NA,"Абрагами, Ю."
АбрамовАИ,"Абрамов, Александр Иванович",Q4054891,m,1900,1985,"Абрамов, А. И.; Абрамов, Александр"
АбрамовАН,NA,NA,m,NA,NA,"Абрамов, А.; Абрамов, А. Н."
АбрамовВ,NA,NA,m,NA,NA,"Абрамов, В."
АбрамовГМ,NA,NA,m,NA,NA,"Абрамов, Г. М.; Абрамов, Герман"
АбрамовИС,NA,NA,m,NA,NA,"Абрамов, И. С."
АбрамовК,NA,NA,m,NA,NA,"Абрамов, Кузьма"
АбрамовЛ,NA,NA,m,NA,NA,"Абрамов, Леонид"
АбрамовМА,NA,NA,m,1927,NA,"Абрамов, М. А.; Абрамов, Михаил"
АбрамовСА,"Абрамов, Сергей Александрович",Q4054949,m,1944,NA,"Абрамов, С. А.; Абрамов, Сергей"
АбрамовСИ,NA,NA,m,NA,NA,"Абрамов, С."
АбрамовФА,"Абрамов, Федор Александрович",Q468277,m,1920,1983,"Абрамов, Ф. А.; Абрамов, Федор"
АбрамовЯВ,"Абрамов, Яков Васильевич",Q4054957,m,1858,1906,"Абрамов, Я. В."
Абрамова-КалицкаяВП,NA,NA,f,NA,NA,"Абрамова-Калицкая, В. П.; Абрамова, В. П. [Калицкая]"
АбрамоваАС,NA,NA,f,NA,NA,"Абрамова, А. С."
АбрамовичАФ,NA,NA,NA,NA,NA,"Абрамович, А. Ф."
АбрамсонВЕ,NA,NA,NA,NA,NA,"Абрамсон, В. Е."
АбрамянГВ,NA,NA,m,NA,NA,"Абрамян, Г.; Абрамян, Г. В.; Абрамян, Григорий"
АброскинИ,NA,NA,m,NA,NA,"Аброскин, И."
АбсалямовА,"Абсалямов, Абдурахман Сафич ;Абсалямов, Абдурахман Сафиевич",Q4055119,m,1911,1979,"Абсалямов, А.; Абсалямов, Абдурахман"
Абу-БакарА,"Абу-Бакар, Ахмедхан Абакарович",Q4055144,m,1931,1991,"Абу-Бакар, А.; Абу-Бакар, Ахмедхан"
АбуковК,NA,NA,m,NA,NA,"Абуков, Камал"
АбульгасанА,NA,NA,NA,NA,NA,"Абульгасан, Алекпер-Заде Алибаба оглы"
АбчукВ,NA,NA,m,NA,NA,"Абчук, Владимир"
АбчукВА,NA,NA,NA,NA,NA,"Абчук, В. А."
АвакянЭ,"Авакян, Эдуард Самвелович",Q3165231,m,1927,2010,"Авакян, Э."
АвалианиГ,NA,NA,NA,NA,NA,"Авалиани, Г."
АванесовР,NA,NA,m,NA,NA,"Аванесов, Рафаил"
АватковаИИ,NA,NA,f,NA,NA,"Аваткова, И. И."
АвгустынюкА,NA,NA,NA,NA,NA,"Августынюк, А."
АвдеевАГ,NA,NA,m,NA,NA,"Авдеев, А. Г."
АвдеевВФ,"Авдеев, Виктор Федорович ;Авдеев, Виктор Фёдорович",Q4055508,m,1909,1983,"Авдеев, В. Ф.; Авдеев, Виктор"
АвдеевДП,NA,NA,m,NA,NA,"Авдеев, Д. П."
АвдеевЛГ,NA,NA,m,NA,NA,"Авдеев, Л. Г."
АвдеевС,NA,NA,m,NA,NA,"Авдеев, С."
АвдеевЮФ,NA,NA,m,NA,NA,"Авдеев, Ю. Ф."
АвдееваА,NA,NA,f,NA,NA,"Авдеева, А."
АвдееваКД,NA,NA,f,NA,NA,"Авдеева, К.; Авдеева, К. Д."
АвдеенкоА,"Авдеенко, Александр Остапович",Q4055544,m,1908,1996,"Авдеенко, А.; Авдеенко, Александр"
АвдиенкоЕП,NA,NA,m,NA,NA,"Авдиенко, Е.; Авдиенко, Е. П.; Авдиенко, Евг.; Авдиенко, Евгений"
АвенариусВП,"Авенариус, Василий Петрович",Q4055616,m,1839,1923,"Авенариус, В. П."
АвербахА,NA,NA,NA,NA,NA,"Авербах, Ал."
АвербухОК,NA,NA,m,NA,NA,"Авербух, Овсей; Авербух, О. К."
АверенковЮ,NA,NA,m,NA,NA,"Аверенков, Юрий"
АверинВ,NA,NA,m,NA,NA,"Аверин, В.; Аверин, Вс."
АверченкоАТ,"Аверченко, Аркадий Тимофеевич",Q602217,m,1881,1925,"Аверченко, А. Т."
АверченкоВ,NA,NA,m,NA,NA,"Аверченко, Виталий"
АвижюсЙ,"Авижюс, Йонас",Q4055889,m,1922,1999,"Авижюс, И.; Авижюс, Йонас"
АвиловМ,"Авилов, Михаил Александрович",Q30199662,m,1907,1974,"Авилов, М."
Авилова,"Авилова, Лидия Алексеевна",Q4055905,f,1864,1943,Авилова
АвраменкоАИ,"Авраменко, Александр Иванович",Q4056018,m,1934,1974,"Авраменко, А. И."
АвраменкоИК,"Авраменко, Илья Корнильевич",Q2589706,m,1907,1973,"Авраменко, И.; Авраменко, И. К."
АврутинАЮ,"Аврутин, Анатолий Юрьевич",Q4056072,m,1948,NA,"Аврутин, А. Ю."
АвсеенкоИ,NA,NA,NA,NA,NA,"Авсеенко, И."
АвсюкевичВД,NA,NA,NA,NA,NA,"Авсюкевич, В. Д."
АвтократовН,"Автократов, Николай Васильевич",Q4056257,m,1894,1961,"Автократов, Н."
АвтономовВМ,NA,NA,m,NA,NA,"Автономов, В. М.; Автономов, Владимир"
АгаковЛ,"Агаков, Леонид Яковлевич",Q4056570,m,1910,1977,"Агаков, Л.Я.; Агаков, Леонид"
АганбегянАГ,NA,NA,NA,NA,NA,"Аганбегян, А. Г."
АгапкинаА,NA,NA,f,NA,NA,"Агапкина, А."
АгаповВД,"Агапов, Виктор Данилович",Q4056628,m,1939,2009,"Агапов, В. Д.; Агапов, Виктор"
АгаповСВ,NA,NA,m,NA,NA,"Агапов, С. В."
АгарвалС,NA,NA,NA,NA,NA,"Агарвал, Сатья Пракош"
АгарковБ,NA,NA,m,NA,NA,"Агарков, Борис"
АгасарянФ,NA,NA,NA,NA,NA,"Агасарян, Ф."
АгасовГ,NA,NA,m,NA,NA,"Агасов, Г."
АгатовВИ,"Агатов, Владимир Исидорович",Q4056697,m,1901,1966,"Агатов, В. И."
АгафоновАФ,NA,NA,m,1927,1995,"Агафонов, А. Ф.; Агафонов, Аркадий"
АгафошинНП,NA,NA,m,NA,NA,"Агафошин, Н. П."
АгашинаМК,"Агашина, Маргарита Константиновна",Q4056776,f,1924,1999,"Агашина, М.; Агашина, М. К.; Агашина, Маргарита"
АгаянГ,"Агаян, Газарос Степанович",Q426811,m,1840,1911,"Агаян, Г."
АгейкинГ,"Агейкин, Григорий Петрович",Q25687458,m,1924,2007,"Агейкин, Григорий"
АгзамМ,NA,NA,NA,NA,NA,"Агзам, М.; Агзам, Миразиз"
АгирреМ,"Агирре, Мирта",Q9033592,f,1912,1980,"Агирре, М."
АгишС,"Агиш, Сагит Ишмухаметович",Q4056954,m,1904,1973,"Агиш, Сагит"
АгишевР,"Агишев, Рустам Константинович",Q4056955,m,1913,1976,"Агишев, Рустам"
АгладзеА,NA,NA,NA,NA,NA,"Агладзе, А."
АгнивцевНЯ,"Агнивцев, Николай Яковлевич",Q4056993,m,1888,1932,"Агнивцев, Н. Я."
АграновскийАА,"Аграновский, Анатолий Абрамович",Q4057031,m,1922,1984,"Аграновский, А. А.; Аграновский, Анатолий"
АграновскийВА,"Аграновский, Валерий Абрамович",Q4057033,m,1929,2000,"Аграновский, В. А.; Аграновский, Валерий"
АдалисА,"Адалис, Аделина Ефимовна",Q4057234,f,1900,1969,"Адалис, А."
Адалло,NA,NA,NA,NA,NA,Адалло
АдаменкоПЯ,NA,NA,NA,NA,NA,"Адаменко, П. Я."
АдамескуАА,NA,NA,NA,NA,NA,"Адамеску, А. А."
АдамовА,NA,NA,m,NA,NA,"Адамов, А.; Адамов, Адам"
АдамовГБ,"Адамов, Григорий Борисович",Q941438,m,1886,1945,"Адамов, Г.; Адамов, Г. Б.; Адамов, Григорий"
АдамовичАМ,"Адамович, Алесь М ;Адамович, Александр Михайлович",Q52488,m,1927,1994,"Адамович, А. М."
АдамовичЕ,NA,NA,NA,NA,NA,"Адамович, Е."
АдамовичПА,"Адамович, Пётр А",Q11817234,m,1961,NA,"Адамович, П. А."
АдамсЕ,NA,NA,NA,NA,NA,"Адамс, Е."
