vol,author,year,citation
1918-1931,"Старцев И. И.",1933,"Старцев И. И. Детская литература: Библиография 1918—1931. М., ОГИЗ—«Молодая гвардия», 1933."
1932-1939,"Старцев И. И.",1941,"Старцев И. И. Детская литература: Библиография 1932—1939 гг. М.; Л., Издательство детской литературы, 1941."
1940-1945,"Старцев И. И.",1948,"Старцев И. И. Детская литература: Библиография (1940—1945). М.; Л., Государственное издательство детской литературы Мин-ва Просвещения РСФСР, 1948."
1946-1948,"Старцев И. И.",1950,"Старцев И. И. Детская литература: Библиография (1946—1948). М.; Л., Государственное издательство детской литературы Мин-ва Просвещения РСФСР, 1950."
1949-1950,"Старцев И. И.",1952,"Старцев И. И. Детская литература: Библиография (1949—1950). М.; Л., Государственное издательство детской литературы Мин-ва Просвещения РСФСР, 1952."
1951-1952,"Старцев И. И.",1954,"Старцев И. И. Детская литература: Библиография (1951—1952). М., Государственное издательство детской литературы Мин-ва Просвещения РСФСР, 1954."
1953-1954,"Старцев И. И.",1958,"Старцев И. И. Детская литература: Библиография. 1953—1954. М., Государственное издательство детской литературы Мин-ва Просвещения РСФСР, 1958."
1955-1957,"Старцев И. И.",1959,"Старцев И. И. Детская литература: Библиография. 1955—1957. М., Государственное издательство детской литературы Мин-ва Просвещения РСФСР, 1959."
1958-1960,"Старцев И. И.",1961,"Старцев И. И. Детская литература: Библиография. 1958—1960. М., Государственное издательство детской литературы Мин-ва Просвещения РСФСР, 1961."
1961-1963,"Старцев И. И.",1966,"Старцев И. И. Детская литература: Библиография. 1961—1963. М., Издательство «Детская литература», 1966."
1964-1966,"Старцев И. И.",1970,"Старцев И. И. Детская литература: Библиография. 1964—1966. М., Издательство «Детская литература», 1970."
1967-1969,"Шиперович Б. Я.",1973,"Шиперович Б. Я. Детская литература: Библиография. 1967—1969. М., «Детская литература», 1973."
1970-1971,"Шиперович Б. Я.",1981,"Шиперович Б. Я. Детская литература: Библиография. 1970—1971. М., «Детская литература», 1981."
1972-1973,"Завьялова В. П., Каминская Т. Б., Латышева В. И.",1984,"Завьялова В. П., Каминская Т. Б., Латышева В. И. Детская литература: Библиографический указатель. 1972—1973. М., «Детская литература», 1984."
1974-1975,"Завьялова В. П., Каминская Т. Б., Латышева В. И.",1985,"Завьялова В. П., Каминская Т. Б., Латышева В. И. Детская литература: Библиографический указатель. 1974—1975. М., «Детская литература», 1985."
1976-1978,"Завьялова В. П., Каминская Т. Б., Латышева В. И.",1987,"Завьялова В. П., Каминская Т. Б., Латышева В. И. Детская литература: Библиографический указатель. 1976—1978. М., «Детская литература», 1987."
1979-1981,"Завьялова В. П., Каминская Т. Б., Латышева В. И.",1988,"Завьялова В. П., Каминская Т. Б., Латышева В. И. Детская литература: Библиографический указатель. 1979—1981. М., «Детская литература», 1988."
1982-1984,"Завьялова В. П., Каминская Т. Б., Латышева В. И.",1989,"Завьялова В. П., Каминская Т. Б., Латышева В. И. Детская литература: Библиографический указатель. 1982—1984. М., «Детская литература», 1989."
