author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex,lastname,ntitle
"Абрамов, В.",Детские и юношеские странствия,Повесть,1964-01-01,100000,TRUE,TRUE,NA,NA,Москва,м,Абрамов,детские и юношеские странствия
"Абрамов, В.",Детские странствия,NA,1956-01-01,30000,TRUE,TRUE,FALSE,NA,Москва,м,Абрамов,детские странствия
"Абрамов, Л.; Шибаева, Л.","Пароль поиска - ""клаятва""",Повесть,1971-01-01,30,NA,NA,NA,NA,Ростов-на-Дону,м;ж,Абрамов,пароль поиска клаятва
"Абрамов, А.; Абрамов, С.",Селеста - 7000,Роман,1971-01-01,100,NA,TRUE,TRUE,NA,Москва,м;м,Абрамов,селеста 7000
"Абрамян, Г.",Кто взял фальшивую ноту?,Повесть,1971-01-01,100,TRUE,NA,NA,NA,Москва,м,Абрамян,кто взял фальшивую ноту
Августынюк А.,Находчивый машинист,Рассказы,1948-01-01,30000,FALSE,TRUE,FALSE,FALSE,Москва; Ленинград,м,Августынюк,находчивый машинист
"Августынюк, А.",Серебряный паровоз,Повесть,1953-01-01,30000,FALSE,TRUE,TRUE,TRUE,Москва; Ленинград,м,Августынюк,серебряный паровоз
Авдеенко А.,Дневник моего друга,NA,1946-01-01,30000,FALSE,TRUE,FALSE,TRUE,Москва; Ленинград,м,Авдеенко,дневник моего друга
"Авдеенко, А.","Жигули вы мои, Жигули",Повесть,1971-01-01,75,NA,NA,TRUE,NA,Москва,м,Авдеенко,жигули вы мои жигули
"Авдеенко, А.",Над Тиссой,Из пограничной хроники,1954-01-01,30000,FALSE,FALSE,TRUE,TRUE,Москва,м,Авдеенко,над тиссой
Авербах Ал. и Гинсбург Л.,Обед в кармане,NA,1933-01-01,10000,NA,TRUE,NA,NA,М.-Л.,м,Авербах,обед в кармане
"Агишев, Р.",Сын тайги,Повесть,1961-01-01,15000,FALSE,TRUE,TRUE,TRUE,Сахалинск,м,Агишев,сын тайги
Адамов Г.,Изгнание владыки,NA,1946-01-01,30000,FALSE,FALSE,TRUE,FALSE,Москва; Ленинград,м,Адамов,изгнание владыки
Адамов Г.,Тайна двух океанов,NA,1946-01-01,15000,FALSE,TRUE,FALSE,TRUE,Л.,м,Адамов,тайна двух океанов
"Ажаев, В.",Далеко от Москвы,Роман,1950-01-01,50000,FALSE,TRUE,FALSE,FALSE,Mосква; Ленинград,м,Ажаев,далеко от москвы
"Азбукин, Б.",Ленькин салют,Повесть и рассказ,1964-01-01,65000,NA,TRUE,NA,NA,Москва,м,Азбукин,ленькин салют
"Азбукин, Б.",Ленькин салют. Выстрел в лесу. Пять колодезей.,Повести и рассказ,1964-01-01,30000,NA,TRUE,NA,NA,Симферополь,м,Азбукин,ленькин салют выстрел в лесу пять колодезей
"Азбукин, Б.",Пять колодезей,NA,1957-01-01,30000,FALSE,TRUE,FALSE,NA,Москва,м,Азбукин,пять колодезей
"Азбукин, Б.",Севастопольские ночи,Повесть,1961-01-01,50000,FALSE,TRUE,TRUE,FALSE,Симферополь,м,Азбукин,севастопольские ночи
"Аксаков, С. Т.",Детские годы Багрова-внука,NA,1949-01-01,15000,FALSE,TRUE,FALSE,FALSE,Воронеж,м,Аксаков,детские годы багрова внука
