А. С.	4451, 6961.
Абрамова Е.	66, 2365, 9207, 10842.
Аверин В.	6507.
Агнит.	2880, 3788, 4758, 8707, 9542, 9645.
Агрансиий Г. А.	158.
Адамович А.	3879.
Адамович М.	3858.
Адливанкин С.	56, 65, 775, 1571, 1630, 5197, 9444.
Азнаш.	8484.
Аксельрод М.	599, 3106, 4250, 4373, 6700, 6704, 6710, 8511, 9021, 10691.
Алеко Н.	2191.
Александров А. Н.	3703.
Александрова Т.	2245.
Алексеев Г.	200, 201, 202, 203.
Алексеевская Л.	5075, 5076.
Алфеевский В.	281, 282, 2113, 3780, 8827, 10340.
Альтман Н.	497, 499, 1252, 1526.
Алякринский П. А.	535, 551, 576, 682, 683, 1373, 1582, 1633, 1926, 2074, 2100, 2110, 2359, 2372, 2374, 2379, 2380, 2600, 2853, 2923, 2992, 4086, 4245, 4493, 5002, 5135, 5755, 5778, 5779, 5780, 5781, 5782, 5783, 5784, 5785, 5786, 5787, 5788, 5789, 5790, 5791, 5792, 5793, 6017, 6170, 6241, 6570, 6591, 6934, 7408, 8295, 8304, 8440, 10896, 10963.
Ананов А.	89.
Андерс А.	10522.
Андреев В. И.	5866, 8115, 8127.
Андрианов Н.	417, 418, 419, 420, 421, 422.
Андриолли М.	5079.
Андронов А. Ф.	432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 530, 1673, 2007, 3071, 4071, 5112, 5129, 5179, 5501, 5640, 5677, 5678, 5679, 6687, 6942, 7035, 7043, 7044, 7056, 9896.
Анненков Ю.	1526, 2590, 3134, 10313.
Антипенко В.	923.
Антонов Ф.	2948.
Антоновский Б.	823, 9300, 9894.
Апостоли В. А.	68, 388, 1045, 9199.
Арнгольд З.	7773.
Артамонов В.	4371.
Артемьев В.	20, 734, 1960, 1571, 5664, 6573, 6592, 6677, 8486, 10242.
Аскинази М.	1996.
Астапов И.	6793, 8507.
Астапович З.	10501.
Астафьева Е.	514, 515, 4541, 9618, 10437.
Афанасьев А. Ф.	3155, 3159, 5866.
Афанасьев Н. К.	1648, 9895.
Афанасьев П. С.	458, 6420.
Афанасьева Е.	1517, 3476, 3651, 3973, 4634.
Ахметьев В.	571, 6061, 8335, 10795.
Б. К.	4588.
Б. С.	582.
Бадюль В.	4392.
Бажанов Д. А.	1185, 1186, 1187, 7527.
Байар Э.	5850.
Баксанский Я.	7766.
Барабошина О.	2219, 10100.
Баранов А.	7051.
Баранский А.	670, 1585, 2121, 2202, 2340, 2351, 2364, 3047, 3737, 4031, 4327, 4467, 4837, 4838, 5215, 5801, 6276, 6283, 6578, 6655, 6808, 6809, 8256, 10929.
Бартрам Н. Д.	5952, 7921.
Барутчев А.	9955.
Басманов П.	286, 516, 760, 2184, 3038, 3678, 5059, 6154, 6264.
Баюскин В.	743, 748, 749, 1104, 2208, 3125, 6285, 6340, 8460, 8941, 10906.
Белинович.	3044.
Белкин В. П.	5527, 9367, 9507, 10342, 10357.
Белосельский Г. Я.	2935, 6508.
Белуха Е. Д.	1508, 2261, 2903, 4360, 5440, 5667, 7602, 8716, 8902, 10032, 10485, 10489.
Бельзен Я.	2614, 10069.
Беляьв В.	9925, 9928.
Белянин П.	2679, 3664.
Бем Е. М.	249, 8672.
Беннет.	1606, 1616, 1620, 1621, 1621-а, 1623.
Бенуа А.	3134.
Берг В. Н.	833, 3498.
Березина А.	876.
Берендгоф Б.	884.
Берч. Р.	895.
Бершадский Г. С.	1096, 6867, 9554, 10442.
Бесков Е.	907, 9427.
Бехтеев В.	280, 1359, 1383, 1843, 1939, 2028, 2031, 2134, 2136, 2476, 2914, 2919, 2920, 3010, 3503, 3551, 5341, 5753, 6158, 6833, 6898, 7963, 8111, 8243, 9913, 10055, 10460, 10361, 10636, 10731, 10951.
Бибиков Г.	655, 829, 2088, 3290, 6038.
Бигос С.	2225, 4602, 6887, 7484, 8037, 8197, 8477, 8979.
Бипли.	2040.
Блэк А.	1059, 1060, 1061, 1062, 7951.
Богатов Н.	5692.
Богданова Е.	1430.
Богданович В.	1784.
Боголюбский А. И.	8268.
Божерянов А.	1803.
Боим С.	747-а, 1000, 3548, 4504, 5072, 5663, 6348, 6806, 7523, 7547, 7549, 7867, 8258, 86.38, 10446, 10799.
Бондаренко П.	2866.
Бонн О. (Бонч-Осмоловская О.).	63, 427, 1172, 1173, 1174.
Бордйченко В.	2378, 4443, 5679-а, 6028, 8942.
Борискович В.	7069, 10537.
Бориссв А.	1181, 1182, 3565, 4351, 4361, 5456, 5464, 5870, 8957, 9358, 10413.
Борисов И.	10029.
Борисова М.	10184.
Боровская А.	329, 483, 684, 720, 1192, 2056, 2139, 2516, 2530, 2535, 3049, 4533, 6933, 8172, 8705, 10176, 10954.
Бочков Ф.	1151, 2133, 4955, 7984, 8039, 8947.
