1-7	Аббе А.
8	Абесгауз Б.
9	Аби Я. С.
10	Абрагами Ю. и Лапин К.
11-14	АБРАМОВ А.
15	Абрамов А. и Голицын В.
16	АБРАМОВ И. С.
17-18	АБРАМОВ Я. В.
19-23	АБРАМОВА В. П. (Калицкая).
24-36	АВЕНАРИУС В. П.
37-38	АВЕРИН В.
39	АВЕРЧЕНКО А. Т.
40	АВИЛОВ М.
41-42	АВИЛОВА.
43	АВСЮНЕВИЧ В.
44	АГАПКИНА А.
45-74	АГНИВЦЕВ Н. Я.
75-77	АДАМОВИЧ Е.
78-80	АДАМОВИЧ П. А.
81	АДОЛЬФ Н.
82-85	АДУЕВ Н.
86-87	АЗАРОВ К. и МАЗУРКЕВИЧ В.
93	АЙБИНДЕРГ.
95-96	АКОДУС Я. И.
97	АКСАГОРСКАЯ.
98-99	АКСАКОВ С. Т.
99а	АКСЕЛЬРОД А.
100-103	АКТАН Г. А. (Гильгендорф)
104	АКУЛОВ Ф.
105-146	АКУЛЬШИН Р. М.
137а	АКУЛЬШИН Р. М.
149	АЛАЗЕ.
150	АЛАМПИЕВ П.
151-183	АЛБЫЧЕВ П. В.
184-185	АЛБЫЧЕВ П. и БАРАНОВ С.
186	АЛБЫЧЕВ П. и ЧИКИН А.
187-188	АЛДОШИН Н.
189	АЛЕКСАНДРОВ.
190	АЛЕКСАНДРОВ А.
191-192	АЛЕКСАНДРОВ В.
193	АЛЕКСАНДРОВ В., КОТОВ И., МУШКИН М.
194-196	АЛЕКСАНДРОВ Я. А.
197	АЛЕКСАНДРОВА Е.
198	АЛЕКСАНДРОВА З.
199	АЛЕКСЕЕВ В.
200-203	АЛЕКСЕЕВ Г.
204	АЛЕКСЕЕВ М. А.
205	АЛЕКСЕЕВ Х. А.
206-207	АЛЕКСЕЕВА А.
208	АЛЕКСЕЕВСКИЙ Н.
209	АЛЕЛЕККОВ Л.
211-212	АЛЁШИН В.
214-270	АЛТАЕВ А.
271-277	АЛТАЕВ А. и ФЕЛИЧЕ А.
278	АЛТАУЗЕН Д.
279-280	АЛТАУЗЕН Д. и КОВЫНЕВ Б.
281-282	АЛФЕЕВСКИЙ и ЛЕБЕДЕВА.
283-287	АЛФЕРОВ А. С.
288	АЛЫМОВ В.
300	АЛЬДИМ Н.
300а	АЛЬМЕДИНГЕН Т. А.
301-302	АЛЬМЕДИНГЕН Т. А.
303	АЛЬФРЕД Г.
305-308	д’АМИЧИС.
309-313	АМОСОВ Н. К.
314	АМЫЛЬСКИЙ Н.
315-317	АНАНЬИН В. И.
318	АНДЕРВУД В.
