Абрамсон М.	195
Авалиани Е. и Запенин И.	1119
Аверин В.	1196, 1197
Агин А.	845
Агин и Орловский.	1782
Адан.	3748
Адливанкин С.	2276
Аксельрод М.	806
Александров А.	94
Александрова Т.	799, 2052
Алфеевский В.	1636, 2205, 2277, 3316, 3585
Альминов Б.	3621
Альтман Н.	1417, 2196
Алякринский П.	196, 440, 500, 721, 792, 794, 869, 908, 1032, 1313, 1316, 1577, 1595, 3515, 3531, 3730, 3905, 4070, 4178
Амелунг.	4154
Андреев В.	2953, 2975
Андреев Н.	1847, 2740
Анненков Ю.	3934
Арцеулов К.	139, 1419, 3343, 3407, 4037
Аусберг Э. В.	1941, 2967
Афанасьев А.	1233
Афанасьева Е.	551, 1175, 1323, 3378, 3401, 3835
Афанасьева О.	381
Ахматов Ч.	3485
Бакланов А.	1993
Барабошин С.	608, 3026, 3079
Баранов К.	1747
Баринов В.	3548
Барт В. С.	56, 765, 1119, 2346, 2409
Басманов П.	307
Башилов М.	958
Безин И.	2354
Бекетов И.	1119, 3107, 3950
Беленькая И. Ф.	3486
Белуха Е. Д.	906, 909
Беляев В.	1391, 3031, 3226, 4159
Бем Е.	3259
Бенуа А.	2943
Беннет и Невилль.	558
Берендгоф Г.	3376, 3377
Беренштейн Ш.	1754
Бехтеев В.	881, 1068, 1173, 1495, 1720, 2029, 3368, 3623, 3700, 4176
Бибиков Г.	1366
Бигос С.	695
Бирюков В.	222, 356, 953, 987, 1043, 1259, 1263, 1953, 1954, 2394, 2497, 3519, 3604, 3709, 4168
Блэк А.	293, 508, 1277
Бобров Б.	160, 2798
Боголюбский.	3117
Богословский Д.	945
Бойм С.	925, 1119, 1624, 1579, 2051, 2380, 2458, 2610, 2871, 3904, 3909
Бойх М С. и Суханов Б.	275, 3092
Бондаревич А.	119, 2269, 2306, 2999
Бончковский.	1794
Бонч-Осмоловская О.	3137
Бордиченко В.	754, 1351, 4103
Бордиченко В. и Покровский Б.	57
Борисин М. Ф.	3874
Бормотов А.	280, 409, 1510, 2366, 2368, 2828, 2836, 4120
Боровская А.	244, 259, 358, 602, 1047, 1119, 3094, 3378, 3524, 4005
Бочков Ф. Н.	24, 298, 954, 4059
Браун (Физ).	3864
Брансом П.	3282
Брей А.	45, 170, 171, 256, 433, 790, 1194, 1199, 1275, 1282, 1295, 1336, 1352, 1627, 1635, 1950, 2072, 2195, 2197, 2201, 2204, 2294, 2315, 3435, 2468, 2542, 2714, 2715, 3049, 3139, 3316, 3615, 3699, 3762, 3898, 4104
Брокк.	1852, 3204
Брумберг З. и Б.	1432
