Авалиани Е.	12, 2065, 2066
Аверин Вс.	1418
Агеев Е. И.	1410
Александров А.	63
Александрова Т.	2659
Алексеев В.	693
Алфеевский В.	1622
Альвэм-Коррэа.	2471
Альменов Б.	43, 182, 1271, 1272
Альтман Н.	154
Алюхин С. С.	1258, 1259, 2660
Алякринский П.	99, 357, 436, 580, 581, 635, 673, 676, 757, 797, 809, 811, 936, 1016, 1032, 1035, 1208, 1424, 1567, 1669, 1939, 2026, 2527, 2679, 2700
Амосова-Бунак О.	305, 1585, 2526
Ананьев Т.	2055
Андреас А.	2022
Андреев М. А.	708
Андроников И.	2047, 2048
Анненков Ю.	2612, 2614, 2617, 2636 2637
Арнольд В. С.	1611, 2072
Арцеулов К.	3, 584, 707, 778, 1208, 1371, 1652, 1703, 2153, 2187, 2240 2276, 2678, 2769, 2772
Афанасьева Е. А.	221, 626, 671—674, 1001, 1189, 1208, 1674, 1855, 2164 2176
Ахматов А.	1985
Багровников В.	1308
Баранов К.	2536
Барт В.	1275
Барто Р.	1091
Басов В.	2618
Башилов М.	573, 574
Баюскин В.	90, 674, 1584, 2652
Бедросов Р.	2052
Бек И. Ф.	222, 673, 674, 1251, 2203
Бекетов И.	2627
Белов А.	2057
Белов М.	2418
Беляев В.	882, 2133
Беляева Ю.	328, 1968
Бем Е.	2011, 2156
Бендик.	742
Бенуа А.	1935, 1957
Берман К. Н.	674
Бесперстов Д.	1868
Бехтеев В.	102, 214, 760, 1659, 1678, 1970, 2342, 2356, 2402, 2777, 2778, 2781
Бибиков В.	206
Билибин И.	1356, 2533
Биль А.	937, 1208, 1706
Бирюков В. Д.	779, 781, 783, 1397, 1510, 1623, 2159, 2160, 2221
Благонадеждин Ф.	2412
Бланк Б.	1192, 1242, 1244, 1922
Блуменфельд Ж.	2008
Блэк А.	180, 795
Бойм С.	532, 912, 1063, 1162
Боклевский Г. М.	519
Бомаш В.	496, 1842
Бондаренко Г.	541, 868, 871, 1533
Бондарович А.	62
Бордиченко В.	467, 468
Бормотов А.	242, 863, 1576
Боровская А.	147, 191, 308, 673, 674, 1189, 1208, 1542, 1543
Бочкарев В.	1090
Бояринцев В.	243
Брей А.	217, 258, 267, 268, 818, 1038, 1042, 1069, 1189, 1415, 1434, 1674, 1997, 2075, 2157, 2355, 2369, 2479
Брилинг Е.	345, 764
Брискин В.	296, 1106, 2573
Брумберг В. С.	671
Бруни Л.	161, 2183
Брутян Г.	1998, 2401
Брюлин И.	384, 431, 462, 1292, 1799, 1888, 2483
Бубнов А.	1235, 1637
Бугельский Ю. А.	502, 671—674, 761, 827—832, 924, 1177, 1558, 1567 1809, 1911, 2009, 2202, 2457, 2465, 2718
Будогосский Э.	1369, 2068, 2232 2294
Булатов А.	1204
Булаховский П.	2287
Булгаков В.	324, 1831
Буравлев В.	6, 2766, 2767
Бургункер Е.	2241
Бусырев П.	1067, 1531
Бутров В.	203
Быков А. П.	1673, 1702, 2274
Быльев Н.	279, 1234
Вадбольский И. И.	281
Вакидин В.	312
Ваксер М.	2244
Вакуров И.	1661
Вальк Г.	1208, 1676, 2071
Васильев А.	1208
Васильев Б.	240
Васильев В.	145, 1538
Васильев Г.	857
Васильев П.	676, 1208
Васнецов Ю.	287, 288, 361, 362, 629, 630, 676, 770, 774, 1027, 1065, 1066, 1117, 1122, 1290, 1414, 1448, 1452, 1807, 2014, 2038, 2204, 2375
Ватагин В.	190, 791, 861, 862, 1078, 1086, 1787, 1788, 2178, 2179, 2367, 2368
Вебер.	473
Великанова Р.	799
Вентцель А.	360
Верейский О.	323, 479, 481—483, 507, 1107, 1698
Вермель.	1156
Верхаланцева А.	2076
Веселов Г.	529
Винокуров Б.	449, 798, 949, 1043, 1208, 2200, 2639, 2654, 2680
Бикман Э.	226, 228
