Абалаков В.	1
Абгариани А.	2
Абрамов А. и Долгушин Ю.	5
Абрамов А. Н.	3
Абрамов А. Н.	4
Абрамов А. Н. и Куличенко В. Ф.	6
Аверин Вс.	7
Авраменко.	8
Агатов В. И.	9
Агладзе А.	10
Агладзе А.	11
Адалис А.	12
Адаменко П. Я.	13
Адамов Г. Б.	14
Адамян Н.	15
Адамян Н. и Ручинин Г. В.	16
Аксаков С. Т.	20—23
Аксаков С. Т.	24, 25
Аксаков С. Т.	26
Акулинии В. И.	27
Александров А.	30
Александрова З. Н.	31
Александрова З. Н.	32
Александрова З. Н.	33, 34
Александрова З. Н.	35
Александрова З. Н.	36
Александрова З. Н.	37, 38
Александрова З. Н.	39
Александрова З. Н. и Гроздова Е. И.	41
Александрова З. Н.	40
Алигер М.	42
Алиш А.	43
Алтаев А.	44
Алферов-Волжанин В. Г.	45
Андерсен Г.-Х.	47
Андерсен Г.-Х.	48
Андерсен Г.-Х.	49, 50
Андерсен Г.-Х.	51
Андерсен Г.-Х.	52, 53
Андерсен Г.-Х.	54, 55
Андерсен Г.-Х.	56
Андерсен Г.-Х.	57, 58
Андреев В.	59
Андреев Л.	60
Андреева Е.	61
Арбат Ю.	62
Арбат Ю.	63
Арманд Д.	64—66
Арманд Д.	67
Арнольд В. С. и Зюзин Л. К.	68
Арсеньев В. К.	69
Арсеньев В. К.	70
Арский А.	71
Арский А.	72
Артемов А.	73
Артюхова Н.	74
Артюхова Н.	75
Арцишевский В. и Яковлев В.	76
Асеев Н. Н.	77
Бабаев Н.	79, 80
Бабаев Н.	81
Бабат Г.	82
Багрицкий Э.	84
Бадигин К. С.	85, 86
Баев К. Л. и Шишаков В. А.	87
Бажанов С. А.	88
Бажов П.	89
Бажов П.	90
Бажов П.	91
Бажов П.	92
Бажов П. и Корольков С.	93
Байдуков Г.	94
Байдуков Г.	95
Байдуков Г.	96
Баканов Н.	97
Балахонова А.	98
Балаш Б.	99
Балаш Б.	100
Балаш Б.	101
Балаш Б.	102
Бану Ц.	104
Бану Ц.	105
Бану Ц.	106
Баранов С. С.	107
Баранова А.	108
Баранова А.	109
Баранова А.	110
Баранова А.	111
Баранова А.	112
Баранова А.	113
Баранова А.	114, 115
Баранова А. и Бровкина В.	116
Бармин А. Г.	118
Барто А. Л.	119
Барто А. Л.	120
Барто А. Л.	121
Барто А. Л.	122—125
Барто А. Л.	126
Барто А. Л.	127, 128
Барто А. Л.	129
Барто А. Л.	130, 131
Барто А. Л.	132
Барто А. Л.	133
Барто А. Л.	134
Барто А. Л.	135
Барто А. Л.	136
Барто А. Л.	137
Барто А. Л.	138
Барто А. Л.	139
Барто А. Л.	140
Барто А. Л.	141—143
Барто А. Л.	144
Барто А. Л.	145
Барто А. Л.	146
Барто А. Л. и Зеленая Р.	149
Барто А. Л. и Зеленая Р.	150
Барто А. Л. и П. А.	147
Барто А., Гернет Н., Трутнева Е.	146
Басилашвили И. С.	151
Басилашвили И. С.	152
Басилашвили И. С.	153
Батманов В. А.	156
Батурин И.	157
Башилов Я. и Кандахчан Е.	159
Бежицкий К.	160
Бек А.	161
Бек А.	162
Белинович Н.	163
Белоусов А.	164
Белышев  И. П.	168, 169
Белышев И. П.	165
Белышев И. П.	166, 167
Белышев И. П.	170
Белышев И. П.	171
Беляев А. Р.	172
Беляев В. П.	173
Беляев С.	174
Беляев С.	175
Белякова Е.	176, 177
Белякова Е.	178
Белякова Е.	179
Бем О.	180
Бендер А. Р.	181
Бендецкин А.	182
Беранже П.-Ж.	183
Березко Г.	187
Берман Л.	188
Бескурников А.	189
Бианки В.	190
Бианки В.	191
Бианки В.	192
Бианки В.	193
Бианки В.	194, 195
Бианки В.	196
Бианки В.	197
Бианки В.	199
Бианки В.	200
Бианки В.	201
Бианки В.	202
Бианки В.	203
Бианки В.	204
Бианки В.	205
Бианкн В.	198
Бибиков В.	206
Билибин А. Ф. и Хаританович Э.	208, 209
Бирюков А. П.	211
Бирюков М. П. и Целиков Р. Н.	212
Бирюков Н.	213
Бичер-Стоу Г.	214
Благинина Е. А.	215
Благинина Е. А.	216
Благинина Е. А.	217
Благинина Е. А.	218
Благинина Е. А.	219
Благинина Е. А.	220
Благинина Е. А.	221
Благинина Е. А.	223
Благинина Е. А.	222
Благосклонов К. Н.	224
Блох Г.	225
Блох Г.	226
Блох Г.	227
Блох Г.	228
Бобров Н. С.	229
Бобров Н. С.	230
Богданов Н.	231
Богданов Н.	233
Богданов Н. В.	232
Богданович Т. А.	234
Богданович Т. А.	235
Богданович Т. А.	236, 237
Богомазов С.	238
Богуславская З., Волкова А., Дымшиц П.	239
Болгаров Н.	246
Болотовский К.	890, 891
Бондин А. П.	247
Борзенко С.	248
Борисов Т. М.	249, 250
Боронина Е.	251
Боронина Е.	252
Бояджиев Г.	253
Бояджиев Г.	254
Брагин М.	255
Бражнин И.	256
Брежнев Г.	257
Брей А.	258
Брем А. Э.	259
Бродская Д. Л.	260
Брук М.	261
Бублейников Ф.	262
Будницкий Г. М.	265
Буков Е.	272
Бунимович Д.	273
Буравлев В.	274
Бурин А.	275
Буш В.	276
Быков Б. и Давиденков Н.	277
Быльев Н.	279
Бядуля З.	280
В обработке А. Толстого.	2039—2041
В обработке А. Толстого.	2049
Вадбольский И. И.	281
Вадбольский И. И.	282
Вайло Е. М. и Вайсерман К. Н.	283
Вайсман М.	284
Вакуленко В. И.	285
Валеев Р.	286
Василевская В.	289—202
Василевская В.	293
Василевская В.	294 295
Василенко И. Д.	296
Василенко И. Д.	297
Василенко И. Д.	298
Василенко И. Д.	299
Василенко И. Д.	300
Василенко И. Д.	301
Василенко И. Д.	302
Васильев С. А.	303
Вашенцев С.	304
Введенский А. И.	306—308
Введенский А. И.	309
Введенский А. И.	310
Введенский А. И.	311
Введенский А. И.	312
Вейтков Ф. Л.	316
Веприцкая Л.	319
Веприцкая Л.	320
Веприцкая Л.	321
Верейская Е.	322
Верейская Е.	323
Вересаев В.	324
Веретенников Н.	325—327
Верзилин Н. М.	328
Верн Ж.	330
Верн Ж.	331
Верн Ж.	332
Верн Ж.	334
Верн Ж.	335, 336
Верн Ж.	337
Верн Ж.	333
Винокуров И. и Улицкая О.	342
Вирта Н.	343
Владимиров А.	345
Владимиров Ю.	346
Владимиров Ю.	347
Владыкина Н. и Рацкая Ц.	348
Владычина Г.	349
Вовченко В.	350
Водовозова Е. Н.	352
