Стром С. А.	1417
Абидуев Бавасан.	1
Абрамов А.	2
Августынюк А.	3
Августынюк А. и Вахман В.	4
Ажаев В.	5
Айни Садриддин.	7
Аксаков С. Т.	8—9
Аксаков С. Т.	10—11
Александров Н.	12
Александров Н.	13
Александрова В.	14
Александрова З.	15—16
Александрова З.	17
Александрова З.	18
Александрова М.	19
Алексин А.	20
Алексин А. и Баруздин С.	21
Алексин А. П., Браиловская С. М.	22
Альманах.	408
Ананян Вахтанг.	26
Андерсен Г.-Х.	27—28
Андерсен Г.-Х.	29
Андерсен Г.-Х.	30
Андерсен Г.-Х.	31—33
Андерсен Г.-Х.	34
Андерсен Г.-Х.	35
Андреев Л.	36
Андроников И.	37
Анисимова А.	39
Анисимова А.	40
Анисимова А. П.	38
Антипин С.	41
Арко С.	42
Арсеньев В.	43—44
Артюхова Н.	45
Артюхова Н.	46
Артюхова Н.	47
Артюхова Н.	48
Архангельский В.	49
Астрамиров С.	50
Багмут И.	51
Багрицкий Э.	52
Бажов П.	53
Бажов П.	54—55
Бажов П.	56—58
Байдебура П.	59—60
Бальзак О.	62
Барабанов В.	63
Баранова А.	64
Бармин А.	65
Барто А. Л.	66
Барто А. Л.	67
Барто А. Л.	68
Барто А. Л.	70—71
Барто А. Л.	69
Барто А. Л.	72
Барто А. Л.	73—75
Барто А. Л.	76
Барто А. Л.	77
Барто А. Л.	78—79
Баруздин С.	80
Барышникова А. К. (Куприяниха) и Королькова А. Н.	81
Бацылев Е. Г.	82
Бегалин С.	84
Белахова М.	85
Беленькая Д.	86
Белецкий П. А.	87
Белецкий П. А.	88
Белинский В. Г.	89
Белинский В. Г.	90
Белинский В. Г.	91
Белкин Ф.	92—93
Белышев И.	94
Беляев В.	95
Беляков И.	96
Беляков И.	97, 98
Беляков Н. Д.	99
Беляков Н. Д.	100
Беляков Н. Д.	102
Беляков Н. Д.	103
Берг Л. С.	104
Берман Л.	105
Беспалов В.	106
Беспалов В.	107
Бианки В.	112
Бианки В.	113
Бианки В.	114—115
Бианки В.	116—117
Бианки В.	118
Бианки В.	119
Бианки В.	120
Бианки В.	121—122
Биан-ки В.	108—111
Бинкис Казне.	123
Бирюков Н.	124
Бирюкова М.	125
Бичер-Стоу Г.	126—133
Благинина Е.	134
Благинина Е.	135
Благов А.	136
Богаткова Л.	137
Богданов Н.	138
Боголюбов С. и Богословский Н.	139
Болынинцов М.	148
Бондин А. П.	149
Борисов Т.	150
Борисов Т.	151
Боровиков Г.	152—153
Борян Г.	154
Брандт Л.	155
Браусевич Л.	156
Бритаев С.	157
Броннер Б. В. и Кокосов Л. В.	158
Бублейников Ф. Д.	159
Буков Е.	161
Булатов М.	162
Быков Б. Б.	163
Быков Б. Б.	164
Быковокая Е. Н.	165
Вазов И.	167
Валесина Л.	168
Вальсюниене В.	169
Василевская В.	170
Василенко И. Д.	171
Василенко И. Д.	172
Василенко И. Д.	174—181
Василенко И. Д.	182—183
Василенко И.Д.	173
Венгров Н. и Эфрос М.	185
Верзилин Н.	186 
Верн Ж.	188
Верн Ж.	187
Верн Ж.	189—193
Верн Ж.	194
Верн Ж.	195
Вигдорова Ф.	196—198
Винокуров И. и Флорич Ф.	200
Вовчок М.	200а
Воеводин В., Костров Н.	201
Воинов А.	202
Войнич Э.	203
Волков А.	206
Волков В.	207
Воронкова Л. Ф.	211
Воронкова Л. Ф.	212
Воронкова Л. Ф.	213
Воронкова Л. Ф.	214
Воронкова Л. Ф.	215
Воронцов-Вельяминов Б. А.	216
Воронцов-Вельяминов Б. А.	217
Воронько П.	220
Воронько П. К.	218—219
Всеволожский И.	222
Выгодская Э.	225
Выгодская Э.	226
Высотская О.	227
Высотская О.	228
Высотская О.	229
Высотская О.	230
Высотская О.	231
Высотская О.	232
Высотская О.	233
Вышеславский Л.	234
Гаврилов П.	235
Гаврилов П.	236
Газукина А.	237
Гайдаенко И.	238
Гайдар А.	239
Гайдар А.	240—242
Гайдар А.	243—245
Гайдар А.	246
Гайдар А.	248
Гайдар А.	247
Гайдар А.	249
Гайдар А.	250—252
Гайдар А.	253—254
Гайдар А.	255—257
Гайдар А.	258—259
Гамзатов Расул.	260
Ганейзер Г.	261
Гарин Г.	263—264
Гарин Н. Г.	262
Гарин Н. Г.	265
Гарнич А.	266
Гаршин В. М.	267—268
Гензель В. А.	269
Георгиевская С.	270
Георгиевская С.	271
Георгиевская С.	272
Георгиевская С.	273
Герман Ю.	274—275
Герцен А. И.	276
Герцен А. И.	277
Гете И. В.	278
Глебов Н.	281
Глебов Н. А.	279
Глебов Н. А.	280
Глотов В.	283
Глущенко И. Е.	284
Гоголь Н. В.	285
Гоголь Н. В.	286
Гоголь Н. В.	287
Гоголь Н. В.	288
Гоголь Н. В.	289
Гоголь Н. В.	290—292
Голубев В.	293
Голубева А.	294—298
Голубева А.	299—303
Голубов С.	304
Гончаров И. А.	305
Гор Г.	306—307
Гор Г. и Лешкевич В.	308
Гора Г.	309—310
Горбов Е.	311
Горбовцев М.	312
Горький М.	315—316
Горький М.	317
Горький М.	319
Горький М.	318
Горький М.	320
Горький М.	321—322
Горький М.	323
Горький М.	324
Горький М.	325
Горький М.	326
Горький М.	328
Горький М.	327
Гофф И.	334
Граши А.	335
Грибоедов А. С.	336—337
Грива Ж.	338
Грива Ж.	339
Григорович Д. В.	340—341
Григорьев А.	342
Григорьев Н. Ф.	343
Григорьев С. Т.	344
Григорьев С. Т.	345
Гримм В. К. и Гримм Я.	346
Гримм В. К. и Гримм Я.	347—348
Гринберг И.	349
Грусланов В. и Лободин М.	350—350а
Грюнберг О.	351
Губарев В.	352—355
Губарев В.	356
Гукасян О.	357
Гумер Тариф.	358
Гумилевский Л.	359
Гуро И.	360
Гурьян В.	361
Гюго В.	364—365
Гюго В.	366—367
Гюго В.	368
Гюго В.	369
Дементьев В.	371
Депман И.	376
Дефо Д.	386
Дехтерева Л.	387
Дижур Б.	388
Дик И. И.	389
Дик И. И.	390
Диковский С.	392—393
Дильбази М.	394
