Абегян М.	23
Алейников А.	712, 861, 862, 1132, 1133, 1416
Александров А.	401
Александров С.	161
Александрова А.	553
Алексеев Б.	1460
Алексеев В.	13
Алексеев М.	1416
Алфеевский В.	17, 328, 514, 1127, 1128, 1142, 1292, 1417, 1488, 1567, 1593, 1693
Альменов Б.	1674
Алюхин С. С.	429, 885, 1404, 1692, 1707—1708а
Алякринский П.	1236
Андреев В.	959, 1527
Андреев К.	272
Андриевский Л.	843
Анненков Г.	1707
Антощенко В. О.	512
Аланович В.	670
Апинис А.	813
Аргутинский Е.	423
Аржекаев Б.	641
Арутчьян С.	832
Арутюнян Р.	322
Архангельская И.	48, 615, 1230, 1413, 1414, 1478, 1637, 1639, 1641, 1643, 1646
Архипов Ж.	331, 473, 821—823, 861, 862, 1635
Арцеулов К.	108, 250, 251, 282, 514, 781, 842, 1654
Астапов И.	1635
Атаян А.	907
Афанасьева Е.	83, 145, 147, 148, 510, 636, 861, 1143, 1145
Базилевич А.	59а, 843
Балакин С. В.	493, 1207
Балашов Х. С.	1366
Бальчевский П.	551
Барабаш Г.	995
Барабошин А.	1867
Баранов А.	1524
Баранов К.	566
Барановский А.	394
Басманов П.	1563
Басов В.	408—410
Баюскин В.	64, 197, 1785
Бек И. Ф.	151, 510, 511
Бекарян А.	1602
Бекетов И.	150, 679, 927, 1831
Белов М.	959, 1527
Белоусов П.	1046
Бельдюсов Ю.	1176, 1474
Бельский М.	1923
Бельцова А.	139
Белышев В.	861, 1416, 1539—1542, 1908
Беляев Л.	1040
Беляев М.	1182
Береговой А.	299, 1185
Берендгоф Б.	589, 861, 1157
Берлин Е.	573
Бершадер А.	158
Бибиков Б.	1416
Бибиков В.	60, 545, 695, 861
Билль А.	1070, 1463, 1766
Бланк Б.	843
Бобров Б.	661, 785
Богаевская О.	344, 1178
Богаткин В.	98—100, 514, 545, 643, 1346, 1417, 1519, 1546, 1547, 1587, 1588, 1618—1621
Богаткина В.	845
Богдеско И.	1005, 1006
Богомольный Н.	114
Бойко Л.	1433
Бойм С. С.	511, 746, 1415, 1681
Боклевский П. М.	364
Болдин В.	172, 855, 878, 957, 1118, 1494, 1511, 1515, 1549, 1584, 1586, 1713, 1718, 1858
Большаков М.	107, 261
Бондаренко Г.	843
Бондаренко Т.	338
Бордзиловский В.	1085
Борисов А.	768
Борисов И.	1636
Борисова М.	1065
Борисова Н.	1262
Борисова-Мусатова М.	151, 152, 162, 210—212, 220, 221, 313, 420—422, 514, 644, 712, 747, 837, 862, 1101, 1188, 1193, 1346, 1353, 1416, 1677
Боровская А. В.	511
Боровский А.	861
Боровской Д.	1416
Бородин А.	1559
Бородин Г.	1513
Бородин М. В.	511
Ботин А. П.	1461
Браславский И.	1307, 1427, 1683, 1684
Брей А.	86—89, 959
Бриллинг Е. Н.	511
Брихничев Ю. К.	759, 760, 1167
Бродский С.	177, 824, 899, 1416
Брок Ч.	897
Бруни И.	91—93, 509, 514, 712, 757, 861, 862, 1593, 1737, 1760
Брюлин И.	1299, 1544
Бубнов А.	351, 360, 361
Бугельский Ю. А.	510, 511
Буланов А.	1740
Булгаков Б.	340, 341, 1574
Бундин В.	1113
Бургункер Е. О.	964, 1401, 1504, 1830
Бурковский Н.	616
Буров К.	1328
Бусырев П.	1169
Бутрова М.	1324
Быков Ф.	925, 926, 959, 1527
Валукин М.	1329
Вальк Г.	913, 1036, 1094, 1095, 1198, 1417
Вальтер И. В.	1003, 1181, 1528, 1887а 
Венециан А.	351, 360
Варзар И.	362, 1178
Варламов А. Г.	510
Васильев А. С.	143
Васильев Б.	880
Васильев Б.	1615, 1710
Васильев В.	158, 159, 327, 795, 812, 1706
Васильев П.	512
Васильев Ю.	256, 379, 530, 955, 1187, 1874
Васильченко Г.	843
Васин А.	5, 68, 82, 433, 514, 862, 1155, 1244, 1434, 1544, 1600
Васнецов Ю.	480, 639, 640, 862, 945, 1035, 1279, 1332, 1447, 1599, 1652, 1735, 1736
Веденеев С.	1265, 1874
Ведерников Е.	296, 297, 1099
Венедиктов А.	356, 1069
Верейский О.	162, 263, 758, 862, 1028, 1033, 1246, 1341, 1416, 1458, 1459, 1746
Веселов Г.	920
Ветрогонский В.	321, 553, 561, 616, 1151
Визин Э.	501, 928, 1429, 1853
Виноградов В. К.	35
Виноградова М.	1907
Винокур В.	473, 1307, 1416
Винокуров Б.	160, 240, 274, 514, 861, 1290, 1417, 1596
Витинг Н.	662, 1416
Витолинь М.	723
Вихарев С.	553
Владимиров К.	1040
Власов В. Д.	74, 75, 320, 321, 357, 553, 1114, 1350, 1493, 1594, 1860 
Войшвилло Е.	697
Волков А.	1616
Волович В.	158, 538
Волошенко А.	1747
Волынский Р.	843
Волянская Е. (Волянская-Уханова Е.).	12, 455, 629, 729, 861
Воробьев Б.	340, 341
Воробьева Н. Д.	511
Ворогушин Ю.	1330, 1820
Воронецкий Б.	74, 75, 622, 623, 770, 935, 1005, 1006
Воротников Ф.	1714
Высоцкий В.	32—34, 258, 514, 557—559, 1096, 1174, 1415, 1416, 1544
Вялков Б.	962
Вяткин И.	376, 672, 886, 947, 1365, 1849
Гаврилов Е.	1329
Газданов Ц.	175, 520, 853, 1623
Гапоненко Т.	1818
Гаркуша Г.	1722а
Гаспарян Н. А.	1316
Гельберг С.	510
Гембицкая Н. Я.	10, 13, 432—434, 476, 510, 572, 573, 840, 919, 921, 960, 1232
Георгиев Б.	697
Георгиева Е.	36, 510, 551
Герасимов А. М.	510, 1046
Герасимов С. В.	351, 1378, 1379
Герман Н.	1416
Гернштейн С.	1152
Гетманский М.	456, 778, 1911
Гилева Е.	116, 158, 159, 1247, 1706, 1768
Гинзбург Л. Г.	163
Гинзбург Э.	496, 1808
Гинц С. И.	1412
Глебов Ф.	50, 1078, 1115, 1717
Глухов М.	20, 257, 771
Глуховцев А. Е.	803, 1015, 1034, 1387
Говоров В. Н.	215, 217, 1864
Годин И.	10, 13, 28, 52, 237, 542, 861, 1166, 1416
Годына С.	1416
Голованов Л.	1467
Головин В. А.	1443, 1667, 1725, 1726
Головин Н. В.	16, 377, 599, 1397а, 1695
Голуб С.	1185, 1345
Голубев А. В.	406, 703, 1909
Голубков Ю. Д.	505
Голяховская А.	219, 482, 725, 950, 1055, 1416
Голяховский Е.	959, 1527
Гомеров В. К.	707, 859, 948
Гончаров А.	65, 330, 1855, 1876
Гончаров Г.	1876
Горалек И.	741
Горбунов И.	799
Горлов Д.	404, 667, 668, 1011
Городский Л.	1416
Горохов М.	1439
Горшман М.	13, 514
Горяев В.	77, 84—86, 721, 756, 1196, 1415, 1416
Горячев В.	15, 204, 473, 671, 738, 1206, 1417, 1571
Грабовецкий Э.	1065
Гранвиль Ж.	515, 516, 1495
Гречкин П. Ф.	29, 329, 1400, 1543, 1846
Григорьев П.	21, 736, 1059, 1419, 1603 
Григорьев С.	512
Григорьев С.	789, 790, 1164
Григорьева Л.	123
Григорьянц П. П.	335—337
Гринева Е.	1161
Гринштейн И. Х.	761, 1242, 1431, 1688, 1830, 1843, 1904
Гринштейн Н.	761
Гришин А.	726
Губин А. Е.	163а, 203, 590, 591, 593, 1213, 1226, 1352
Гунькин Г.	616
Давыдова А. А.	11, 78, 323, 510, 972, 1480
Дайц И.	843, 846
Данченко А.	114
Датько Л.	1198
Дейнека З.	1206
Дейно Н.	658
Деменева М. И.	450
Демидова О.	10, 48, 614
Демушкина В.	952
Дерегус Б.	356
Дерегус М.	1322, 1323
Дехтерев Б.	405, 407—411, 417, 420—422, 1286—1288, 1389—1392, 1396, 1413, 1414, 1424
Джанаев А.	1012, 1763
Джолос Л.	628, 843, 1333
Добровольский В. П.	8, 46, 931, 982, 1122, 1160, 1163
Доброклонский В.	699, 1743
Добрынин П.	862, 1079—1084
Довгаль А.	843, 1627
Дольский В.	785, 1622
Домбровский П. К.	47, 701
Дорэ Г.	1509
Дружинин В. Н.	428, 1215
Дубинский Д.	162, 312, 313, 461, 1115, 1417
Дудник С.	1046
Елисеев А.	498, 499
Елисеевнин А.	1677
Елисеевнина Л. В.	510, 511
Елкин В.	1359, 1360, 1415
Енсен Я.	1271
Епифанов Г.	458, 1350
Еремина Т.	185, 186, 509, 862, 1673
Еремян В.	989
Ермолаев А.	306, 507, 509, 861, 862, 1016, 1023, 1033, 1036, 1079—1084, 1096, 1415, 1416, 1926
Ермолов В.	10, 13, 18, 25, 470, 471, 514, 1415, 1416, 1489
Есьман Б.	531
Ефименко Р.	1592
Жамагорцян А.	1676
Жуков А.	564
Жуков Б.	475, 1249, 1564
Жуков Н.	862, 1328, 1508
Журов А.	896, 1463
Завьялова Г.	1340
Заказнов Б.	959, 1527
Закарян А.	1490
Закржевская С. М.	291, 314, 954, 1704
Засорин П.	303
Зверев М.	657
Звонарева Т.	914, 915
Звонцов В. М.	807—811, 1576
Зегер А.	207, 346, 1554, 1610
Зенькович В. В.	120, 881, 1169, 1751, 1854
Зобнин П.	1687
Зотов О.	473, 509, 676, 861, 1416
Зубковский Г.	1722а
Зусман Л.	27, 101, 249, 283, 284, 306, 350, 355, 361, 363, 365, 366, 369, 371, 483, 539, 540, 821—823, 861, 925, 926, 1057, 1079—1084, 1115, 1146, 1172, 1173, 1338, 1339, 1413—1416, 1418, 1463, 1593, 1685, 1737, 1855
Иванов Л.	621
Иванов М.	543
Изаксон А.	319
Ильинский И.	10, 13, 106, 442, 671, 749, 764, 805, 821—823, 861—863, 1351, 1416, 1550—1553, 1593
Иовлев А.	1784
Иогансон Б.	1046
Исмайлов И.	54, 986
Казанцев А. В.	511
Казанцев А.	463, 1556
Казимов Д.	1
Калита Н.	509, 861, 862, 1166, 1416, 1824, 1894
Каменский В. В.	996, 1862, 1863
Каменский М.	1708а
Камшилова Е. В.	1156, 1243, 1666, 1669, 1671
Каневский А.	1077, 1839, 1840
Каплан И.	106, 166
Каплан Л.	1253
Каплан Н.	1763
Карандашов В.	961
Карасик А.	345, 553, 1181, 1405, 1500, 1880
Кардовский Д.	1811
Карпенко М.	443, 585, 1032, 1516
Касиян В. И.	684
Катковский А.	167, 649, 1808
Кауров А.	1749
Кашай А.	1267
Кашина Н.	733
Кащеев К.	264—266, 283, 342, 560, 562, 686, 980, 1115, 1355
Келейников А.	126, 700, 862, 1573
Келерман В.	671
Кеша И. (Кеша-Проскуряков И. П.).	1188, 1197
Кибрик Е.	162, 339, 351, 360, 368—370, 512, 861
Кизевальтер В. С.	510, 511, 1049
Кин Я.	332, 444, 673, 924
Кирпичёв П.	852, 1774
Кирсанов Н. И.	255, 256, 380, 431, 1165, 1187
Киселев В.	1208
Киселев Ю.	401, 555, 943, 1357, 1647, 1648, 1747
Китаев А. И.	510
Клементьева К.	408—411, 861, 1106, 1169, 1914, 1915
Кликушин Н.	660
Климентовская Л.	1691
Клюжев В.	102, 168, 257, 1008, 1358, 1397, 1482
Клячко М.	821—823, 1468
Кнорринг Н.	267—271, 720
Князев А. Д.	121, 1103, 1104
Ковалев В.	875, 1087, 1449
Коваленко Б.	862, 959
Коваленко Е.	59а
Коведяева Т.	340, 341, 665, 1206, 1416
Коган Е.	1325
Коган Я.	745
Козаков Н. В.	743
Козлов А.	1038
Козулина Т.	1416
Кокорин А.	514, 645, 728, 1635
Кокулина Е.	1428
Колесников В.	13, 70, 462, 712, 1166, 1865
Колозян Б.	1597
Колосс М. Ф.	275
Колонков И. Т.	183, 214, 618, 704, 877, 1097, 1403, 1517, 1518, 1678, 1819, 1875
Кольчицкий Н.	10, 649, 971, 1807
Комаров А. Н.	1572, 1573
Комаров Е.	712
Комиссаров М.	1707
Конашевич В.	30, 31, 507, 509, 862, 959, 978, 1030, 1033, 1096, 1098, 1283—1285, 1834, 1839, 1840
Кондратьев А.	318, 545, 712, 862, 1108, 1416, 1479, 1680
Кондрашкин В.	912
Конев Е. А.	687, 967
Коновалов В.	145, 289, 512, 521, 522, 596, 1096, 1415
Коновалов И. Я.	1908а
Константинов В.	151, 1427
Константинов Ф.	1463, 1598, 1855
Константиновский А. И.	350, 352, 362, 363, 484, 553, 935
Кораблинов В.	495, 873, 1293, 1578, 1733
Коржев Г.	294
Коровин О.	159, 253, 538, 724, 941, 1486
Коровина А.	709, 861, 862, 1830
Коростышевский Л.	553, 690, 737, 1148, 1754, 1922
Короткий А.	154, 155, 514, 852, 861, 862, 977, 1166, 1464, 1505, 1506, 1757, 1758
Костров Н.	553, 604, 1315, 1772
Кострова А.	697, 1644, 1645
Косцюшка В.	500
Котляров Г.	1248, 1460, 1783
Котляров Л.	69, 1306
Котовщиков И. П.	460, 936, 1195
Коцубей Т.	1908
Кочергин Н. М.	173, 190, 285, 286, 324, 400, 511, 553, 600, 601, 679, 722, 774—776, 862, 958, 1399, 1440—1442, 1456, 1754, 1831, 1877
Коэметс А.	1803
Кравченко Н.	950, 1593
Красковский С.	1131
Крегер В.	139
Кривов Н.	1174, 1420
Кричевский И. Д.	1230
Кроненберг А.	141, 1611
Крылов П.	1216, 1498
Ксенофонтов Т. И.	697, 1873
Кудрин А.	298, 1604
Кужеленко О.	656
Кузанян Н.	1144
Кузанян П.	360, 607—610, 1379
Кузин П. Д.	944
Кузнецов И.	402, 473, 514, 650, 671, 679, 680, 782, 783, 793, 862, 959, 1278, 1502, 1520, 1527, 1637, 1829, 1831
Кузнецов К.	480, 650, 671, 782, 783, 793, 1424, 1448
Кузнецов Н. П.	1638
Кузнецова Т.	942
Кузьмин Н.	454, 491, 1376, 1866
Кукрыниксы	352, 408—411, 415, 425, 512, 1077, 1483, 1818
Кукс М.	1507, 1649, 1650
Кулаков С. В.	951, 1523
Куликов Н.	334—337, 395, 553, 1302, 1682
Куллес Т.	1767
Куприянов С.	13, 157, 192, 559, 579, 580, 1300, 1402, 1403, 1575
Курдов В.	127, 128, 130, 135, 136, 138
Курдюмов В.	1900
Кусков И.	541, 705, 706, 861, 862, 1177, 1683, 1684
Кустов В.	305
Кустов Н.	3, 517, 553, 1405, 1716
Кустодиев Б.	372
Кучеров Е. В.	908
Лаврентьев Н.	572, 573
Лаврентьева Е.	825—827, 918
Лавров П.	616
Ладягин В.	112, 202, 300—302, 307—309, 351, 355, 360, 514, 651, 747, 834, 1115, 1194, 1198, 1240, 1353, 1415, 1416, 1561, 1593, 1739, 1817
Лазаревская В.	10, 13, 1291, 1307, 1868, 1908
Лапаев С.	46, 931
Лапин Е.	1427, 1807
