Абасов Э.	1
Абрамов А.	2
Августынюк А.	3
Агаян Г.	4
Аграновский А.	5
Айбек.	6
Акопенко Л. Е.	7
Аксаков С.	8 
Александрова З.	9
Александрова З.	10
Александрова З.	11
Александрова З.	12
Александрова З.	13
Алексин А.	14
Алексин А. и Баруздин С.	15
Алимджан Х.	17
Алтаев А.	18
Алферов В.	20
Альманах.	553
Альманах.	1722 а.
Амир Мирсай.	22
Амир Мирсай.	21
Ананян В.	23
Ананян В.	24
Ананян В.	25, 26
Ангелина П.	27
Ангелов Цветан.	28
Андерсен Г.-Х.	29
Андерсен Г.-Х.	30
Андерсен Г.-Х.	31
Андреев А.	32—35
Андреев Л. Н.	36
Андреев Н. В.	37
Андрущенко А. И.	38
Анисимов С.	39
Антипин С.	40
Аппакова Д.	41
Арамилев И.	42
Арамилев И.	43
Ардаматский В.	44
Ариевич А. М.	45
Арсеньев В. К.	46
Арсеньев В. К.	47
Артюхова Н.	48
Арутюнян С.	49
Архангельский В.	50
Асанов Н. и Ларионова К.	52
Ассман А.	53
Ахундов Сулейман Сани.	54
Бабаевский С. П.	55
Багмут И.	56—59
Багмут И.	59 а.
Бадигин К.	60
Бажов П.	61, 62
Бажов П.	63
Бажов П.	64
Байрон Д. Г.	65
Баклановская М.	1927
Бальзак О.	66
Бальзак О.	67
Баныкин В.	68, 69
Баныкин В.	70
Барабанов В.	71
Барабошкина А. и Боголюбова Н.	72
Баранова А. В. и Куличенко В. Ф.	73
Бармин А.	74, 75
Бармин А.	76
Барто А.	77
Барто А.	78
Барто А.	79—81
Барто А.	82
Барто А.	83
Барто А.	84
Барто А.	85
Барто А.	86
Барто А.	87—89
Барто А.	90
Барто А.	91
Баруздин С.	92, 93
Баруздин С.	94
Баруздин С.	95, 96
Басалаев И.	97
Батров А.	98—100
Бать Л. и Дейч А.	101
Бахницкий С.	102
Бацылев Е. Г.	103
Бачинская Н.	104 
Баян О.	105
Бегалин С.	106
Бедный Д.	107
Белахова М.	108
Беленькая Д. С.	109
Белинович Н.	110
Белов П.	111
Беляев В.	112
Беляев В.	113
Беляев В.	116
Беляев В.	114—115
Беляк И.	117
Беляков А. П.	118
Беляков И.	119
Берг Л. С.	120
Березницкий Е.	121
Бесаев Тазрет.	122
Беспощадный П.	123
Бжозовская М. П.	1930
Бианки А.	124, 125
Бианки В.	127
Бианки В.	128, 129
Бианки В.	130—132
Бианки В.	133
Бианки В.	134
Бианки В.	135—137
Бианки В.	138
Бианки В.	139
Бианки В.	126
Бинкис К.	140 
Бирзниек-Упит Э.	141
Бирзниек-Упит Э.	142
Бирюков Н.	143
Бичер-Стоу Гарриет.	144
Благинина Е.	145
Благинина Е.	146
Благинина Е.	147, 148
Благинина Е.	149
Блок Г.	150
Бобышева В.	1931
Богаткова Л.	151
Богаткова Л.	152
Богатырев В.	153
Богданов Н.	154
Богданов Н.	155
Боголюбов С. и Богословский Н.	156, 157
Бойко Г.	160
Болынинцов М., Чиаурели М.	162
Большинцов М.	161
Бондаренко П.	163
Бондаренко П.	163 а.
Бондин А.	165
Бондин А.	166
Бондин А. П.	164
Борисов В.	167
Борисов Н.	168
Боровиков Г.	169
Боровиков Г.	170
Борян Г.	171
Бохан К.	172
Братья Лю.	173
Бритаев С.	174
Бритаев С.	175
Бродицкая Ю., Головань И.	176
Брянцев Г.	177
Буков Е.	178
Буков Е.	179
Бунимович Д.	182
Буяновский Д. С.	183
Бычко В.	185, 186
Бычко В.	187
Вавилина А. П.	188
Вазов И.	189
Валевский А.	190
Валентинов И.	191
Ваншенкин К.	192
Варданян В.	193
Васенев Н.	194
Васенев Н.	195
Василенко И.	196
Василенко И.	197—201
Василенко И.	202
Василенко И.	203
Василенко И.	204, 205
Василенко И.	206
Васильев А.	207
Васильев Н.	208
Васина-Гроссман В.	209
Васютин Н.	210
Васютин Н.	211
Васютин Н.	212
Вахов А.	213
Великанов В.	215
Великанов В.	216
Великанов В.	217
Вельковская К. С. и Байбекова Ф. И.	1933
Венгров Н. и Эфрос М.	220, 221
Верзилин Н.	222
Верзилин Н.	223
Верзилин Н.	224
Верзилин Н.	225
Верзилин Н.	226
Верн Ж.	228, 229
Верн Ж.	227
Верн Ж.	230—232
Верн Ж.	233—235
Ветлина В.	237
Ветров Д.	238
Вигдорова Ф.	240—242
Винниченко П. и Декало В.	243, 244
Винокуров И.	245
Винокуров И.	246
Винокуров И.	247
Висягин Н. и Никольская Ю.	248
Вишневский В.	249
Водопьянов М.	250
Водопьянов М.	251
Войнич Э.	253
Волгина Т.	254
Волк И.	258
Волкодаев П.	259
Волобуева И.	260
Воробьев В.	262
Воробьев Е.	263
Воронкова Л.	264—266
Воронкова Л.	267, 268
Воронкова Л.	269
Воронкова Л.	270—272
Воронцов-Вельяминов Б. А.	273
Воронько П.	274
Воронько П.	275
Воронько П.	276
Воротникова Н. М.	277
Всеволожский И.	282
Вургун Самед.	284
Выгодская Э.	285, 286
Высотская О.	288
Вышеславский Л.	289
Гаврилов П.	290, 291
Гаевский О. К.	292
Гаевский О. К.	293
Гайдар А.	294, 295
Гайдар А.	296, 297
Гайдар А.	298, 299
Гайдар А.	306
Гайдар А.	307—310
Гайдар А.	311
Гайдар А.	312—314
Гайдар А.	315
Гайдук.	316
Гальцов А. П.	317
Ганейзер Г.	318
Ганейзер Г.	319
Гансовский С.	320, 321
Гарибян Р.	322
Гарин Н.	325
Гарин-Михайловский Н. Г.	323
Гарин-Михайловский Н. Г.	324
Гаршин В. М.	326, 327
Гауф В.	328
Гейне Г.	330
Георгиевская С.	331
Георгиевская С.	332
Герман Ю.	334—337
Гернет В.	338
