Лукеш Я.	1435а
Юхнин В.	1487а
Абрамов А. и Хлебников П.	1915
Абсалямов А.	1352
Августынюк А.	1
Авдеенко А.	2
Авсюк А.	1878
Агашина М.	3
Агашина М.	1704
Аграновский А.	1732
Адамов А.	1671
Адамов Г.	4
Ажаев В.	5
Азаров В.	1679
Аитов Б.	1682
Айбек.	1353
Айни С.	1354
Аким Я.	6
Аким Я.	1671
Аким Я.	1675
Аким Я.	1694
Аким Я.	1704
Аким Я.	1750
Аксаков С. Т.	2088
Аксаков С. Т.	1101
Аксаков С. Т.	1102
Аксаков С. Т.	1103
Аксаков С. Т.	1104
Алейников М.	1098
Алейников М.	1099
Алейников М.	1100
Александрова А.	1750
Александрова В.	1764
Александрова З.	1664
Александрова З.	1669
Александрова З.	7
Александрова З.	8
Александрова З.	9
Александрова З.	10
Александрова З.	11
Александрова З.	12
Александрова З.	13
Александрова З.	14
Александрова З.	15
Александрова З.	16
Александрова З.	17
Александровский Б.	1689
Алексеев В.	18
Алексеев Е.	19
Алексеев Н.	20
Алексеев С.	2107
Алексеева О. В.	2108
Алексин А.	21
Алексин А.	1669
Алексин А.	1683
Алексин А.	1704
Алексин А.	1713
Алексин А.	1730
Алексин А.	1759
Алексин А.	1762
Алексин А.	21
Алексин А.	1669
Алексин А.	1683
Алексин А.	1704
Алексин А.	1713
Аленник Э.	22
Аленник Э.	1684
Алигер М.	1671
Алигер М.	1759
Алтаев Ал.	23
Алтынсарин И.	1355
Алферов В.	1667
Алферов В.	1916
Алымов С.	1725
Альтман Л.	1878
Альтшуллер М. А.	1917
Альтшуллер М. А.	1918
Аманов В. и Постников С.	1919
Амири Ч.	1675
Амусина Р.	1679
Амусина Р.	1685
Амусина Р.	1750
Ананян В.	1669
Ананян В.	1687
Ананян В.	1731
Ананян В.	1356
Ананян В.	1357
Ананян В.	1358
Ананян В.	1359
Ангелина П.	1765
Андерсен Г.-Х.	1543
Андерсен Г.-Х.	1544
Андерсен Г.-Х.	1545
Андерсен Г.-Х.	1546
Андерсен Г.-Х.	1547
Андреев Л. Н.	1734
Андреева Е.	1679
Андроников И.	1140
Анисимова А.	24
Анненков Ю.	25
Анохин П.	1671
Анохин П.	1675
Антоневич М.	1677
Антонов С.	26
Антонов С.	27
Антонов С.	1669
Антонов С.	1706
Антонов С.	1707
Антонов С.	1745
Анужис В.	1766
Анциферов Н.	1140
Аплетин А.	2107
Аракс.	1360
Арамилев И.	1730
Арамилев И.	1733
Арамилев И.	1745
Арбенева Н. Н.	1714
Арбузова З., Дроздов Л. и Рунихин Ю.	1920
Ардаматский В.	1675
Ардаматский В.	1745
Арзамасцев А.	1658
Ария С.	1767
Арлазоров М.	1768
Аронов А.	1742
Арсентьева Е. И.	2111
Арсеньев В. К.	1733
Арсеньев В. К.	28
Арсеньев В. К.	29
Арсеньев В. К.	30
Арсеньев В. К.	31
Арсеньев В. К.	32
Артюхова Н.	33
Артюхова Н.	1669
Артюхова Н.	1704
Артюхова Н.	1707
Артюхова Н.	1727
Артюхова Н.	1759
Архангельский В.	34
Архангельский В.	35
Архангельский В.	1669
Архангельский В.	1694
Архангельский В.	1697
Архангельский В.	1727
Архангельский В.	1733
Архангельский В.	1769
Архангельский В.	1770
Архангельский В.	1771
Асанов Н.	1732
Асеев Н.	1740
Астафьев В.	1714
Атаров Н.	36
Атаров Н.	1745
Атнилов Д.	1361
Атнилов Д.	1675
Афанасьев А. Н.	2088
Бабаевский С.	37
Бабаевский С.	1663
Бабаевский С.	1669
Бабат Г.	1730
Бабков И.	1772
Бабков И.	1878
Бабушкин В.	1716
Багдай А.	1686
Багмут И.	1362
Багмут И.	1748
Бадигин К.	1773
Бажан М.	1740
Бажов П	1754
Бажов П	1760
Бажов П	2108
Бажов П	38
Бажов П	39
Бажов П	40
Бажов П	41
Базилевич Н.	1878
Байдебура П.	1363
Байдебура П.	1748
Байдерин В.	42
Байдерин В.	1697
Байдерин В.	1774
Бакланов Г.	1732
Балабанова Н.	1730
Балабанович Е.	338
Балашов В.	1716
Балтер Б.	1718
Балтрунас А.	1364
Бальдыш Г. М.	1732
Бальзак О.	1690
Баныкин В.	1667
Баныкин В.	1669
Баныкин В.	1687
Баныкин В.	43
Баныкин В.	44
Баныкин В.	45
Барабошкина А. и Боголюбова Н.	1921
Баранов Е.	1714
Баранов С.	1716
Баранова А.	1775
Баранова А.	1913
Бараташвили М.	1365
Баратынский Е. А.	1723
Барашкова В. и Гольдштейн Д.	2161
Барашкова В. Ф.	2145
Барбюс А.	1690
Бармин А.	46
Бармин А.	1733
Бармин А.	1760
Бармин А.	2096
Барнашева И.	47
Барто А.	1665
Барто А.	1669
Барто А.	1671
Барто А.	1675
Барто А.	1688
Барто А.	1694
Барто А.	1696
Барто А.	1704
Барто А.	1709
Барто А.	1713
Барто А.	1722
Барто А.	1730
Барто А.	1740
Барто А.	1742
Барто А.	1750
Барто А.	1757
Барто А.	1759
Барто А.	1762
Барто А.	2107
Барто А.	2108
Барто А.	48
Барто А.	49
Барто А.	50
Барто А.	51
Барто А.	52
Барто А.	53
Барто А.	54
Барто А.	55
Барто А.	56
Барто А. и Барто П.	57
Барто А. и Барто П.	58
Барто А. и Барто П.	59
Барто А. и Барто П.	60
Баруздин С.	61
Баруздин С.	62
Баруздин С.	1694
Баруздин С.	1696
Баруздин С.	1704
Баруздин С.	1713
Баруздин С.	1722
Баруздин С.	1742
Баруздин С.	1759
Барыбин С.	63
Барыбин С.	64
Барыбин С.	1705
Батманов В.	1657
Батманов В.	1658
Батманов В.	1661
Батров А	1709
Батров А	1751
Батров А	65
Батров А	66
Батров А	67
Бать Л.	1493
Бать Л. и Дейч А.	68
Батюшков К. Н.	1723
Баумволь Р.	1696
Баширов Г.	1513
Башмаков П.	69
Башмаков П.	1667
Баян О.	1878
Бегалин С.	1731
Бедарев О.	1704
Бедзик Д.	1731
Бедзик Д.	1748
Бедный Д.	1740
Бекетова Е.	1570
Белахова М.	70
Белахова М.	1776
Белевич А.	1366
Белинович Н.	1632
Белинович Н.	1655
Белинский В. Г.	1105
Белинский В. Г.	2108
Белинский В. Г., Чернышевский Н. Г, Добролюбов Н. А.	2080
Белицкий М.	1548
Белкин Ф.	1675
Белкин Ф.	1713
Белов П.	1679
Белов П.	1878
Белоголовая Ю.	1692
Белоус Н. Х. и Кляровский В. М.	1922
Белоусов И. А.	2088
Белый Л.	1693
Беляев В.	71
Беляев В.	72
Беляев В.	73
Беляев В.	74
Беляков И	75
Беляков И	76
Беляков И	1677
Беляков Н.	1697
Белянинов А.	1660
Белянинов А.	1662
Бергер Г.	1668
Березко Г.	1745
Берлин Р.	1716
Бершадский В.	1696
Бершадский В.	1751
Беспалов В.	77
Беспалов В.	78
Беспалов В.	1667
Беспальцев Ф.	9
Бехер И. Р.	1668
Бианки А.	1923
Бианки В.	1669
Бианки В.	1694
Бианки В.	1696
Бианки В.	1697
Бианки В.	1704
Бианки В.	1707
Бианки В.	1713
Бианки В.	1727
Бианки В.	1733
Бианки В.	1733
Бианки В.	1760
Бианки В.	2108
Бианки В.	79
Бианки В.	80
Бианки В.	81
Бианки В.	82
Бианки В.	83
Бианки В.	84
Бианки В.	85
Бианки В.	86
Бианки В.	87
Бианки В.	88
Бианки В.	89
Бианки В.	90
Бианки В.	91
Бианки В.	92
Бианки В.	93
Бианки В.	94
Бианки В.	95
Бианки В.	96
Бианки В.	97
Бианки В.	98
Биишева З.	1730
Биллеке Э.	668
Биндусов В.	99
Бирзниек-Упит Э.	1367
Бирзниек-Упит Э.	1700
Бичер-Стоу Г.	1550
Бичер-Стоу Г.	1551
Благинина Е.	100
Благинина Е.	101
Благинина Е.	1671
Благинина Е.	1694
Благинина Е.	1696
Благинина Е.	1704
Благинина Е.	1713
Благинина Е.	1742
Благинина Е.	1759
Благинина Е.	1760
Благов А.	102
Благой Д. Д.	1140
Блауман Р.	1700
Близнаков А.	1675
Блинов А.	103
Блинова Е.	2082
Блок А. А.	1702
Блок А. А.	1704
Блок А. А.	1760
Блок А. А.	2088
Бляхин П	104
Бобинская Е.	1711
Бобинская Е.	1712
Бобров Н.	105
Боброва З.	1716
Богаткова Л.	1722
Богаткова Л.	1742
Богатырев В.	1715
Богданов Н.	106
Богданов Н.	107
Богданов Н.	1696
Богданов Н.	1727
Богданович М.	1666
Богданович Т	2096
Боголюбов К.	1657
Боголюбова Н.	1921
Богомазов С.	108
Богомазов С.	1671
Богомазов С.	1722
Богомазов С. и Колосова С.	108
Богоров В.	1878
Богословский Н.	1718
Богоявленский Г. П.	2151
Богушевич Ф.	1665
Богушевская Е.	1711
Богушевская Е.	1712
Бойко А.	1677
Бойко А.	1716
Бойко Гр.	1675
Бойко Гр.	1704
Бойко Гр.	1722
Бойко Гр.	1742
Бойко Гр.	1750
Бойко Гр.	1368
Бойко Гр.	1369
Бойко Гр.	1370
Бокаччо Д.	1717
Болгаров Н.	1777
Болдырев В.	1715
Болдырев В.	1778
Болотин С.	1760
Большинцов М., Чиаурели В.	1730
Бондин А.	1760
Боргунов И.	109
Боргунов И.	1662
Борисов Е.	1671
Боровиков Г.	110
Боровиков Г.	1716
Бородин А.	1742
Борченко А.	1753
Борщевская А.	2084
Борщевская А.	2088
Бохан К.	1693
Брагин В.	1697
Бражнин И.	111
Браиловская Г.	1671
Брайнина Б.	2081
Брайнина Б.	2084
Браччолини П.	1717
Брегова Д.	1745
Брегова Д.	1746
Бредель В.	1668
Брехт Б.	1668
Брилинг Е. Н.	1676
Бровка П.	1666
Бродский А.	112
Бродский И.	2096
Броневская Я.	1686
Броневская Я.	1711
Броневская Я.	1712
Броневский В.	1686
Бруннек В.	1668
Бруштейн А.	2107
Брыль Я.	1666
Брыль Я.	1371
Брыль Я.	1372
Брыль Я.	1373
Бубеннов М.	1745
Бублейников Ф.	1779
Бугельский Ю. А.	1676
Будная Л. В.	2113
Булавин М.	1879
Булатов М	1310
Булатов М	1314
Булатов М	1315
Булатов М	1318
Булатов М	1319
Булатов М	1321
Булатов М	1511
Булатов М	1514
Булатов М	1517
Булатов М	1524
Булатов М	1533
Булатов М	1585
Булатов М	1587
Булатов М	1588
Булатов М	1688
Булатов М	1713
Бутурлакин П.	1749
Буянов А.	1780
Быков Б.	1675
Былинин А.	114
Былинин А.	1714
Бычко В.	1374
Бычко В.	1671
Бычко В.	1675
Бычко В.	1750
Бядуля З.	1375
Бядуля З.	1666
Вааранди Д.	1376
Важдаев В.	1633
Важдаев В.	1634
Важдаев В.	1675
Вайнерт Э.	1668
Вайян-Кутюрье П.	1691
Валевский А.	1679
Валевский А.	1742
Валевский А.	1750
Валентинов И.	115
Валина Е.	1688
Валишевская Е. и Живова Е.	1711
Валишевская Е. и Живова Е.	1712
Вальдман В. С.	1561
Вальсюнене В.	1377
Ванаг Ю.	1378
Ванеева Л., Рыжова А.	2151
Ваншенкин К.	116
Ваншенкин К.	1694
Ваншенкин К.	1696
Ваншенкин К.	1718
Ваншенкин К.	1730
Варковицкая Л.	117
Варламова Т.	2151
Василевский И.	118
Василенко И.	211
Василенко И.	1669
Василенко И.	1683
Василенко И.	1721
Василенко И.	1727
Василенко И.	119
Василенко И.	120
Василенко И.	121
Василенко И.	122
Василенко И.	123
Василенко И.	124
Васильев Арк.	125
Васильев Арк.	126
Васильев Арк.	1718
Васильев Г.	1685
Васильев Н.	1717
Васильев С.	127
Васильева Л.	2114
Васильченко С	1739
Васина-Гроссман В.	1934
Васина-Гроссман В.	1935
Васютин Н.	1936
Вахит Х.	1379
Вахит Х.	1380
Вахит Х.	1675
Вахит Х.	1722
Вахит Х.	1730
Вахит Х.	1750
Вахман В.	1679
Вашенцев С.	1745
Вдовин Т.	128
Вдовин Т.	1752
Вдовин Т.	1753
Великанов А.	129
Великанов А.	130
Великанов В.	1671
Великанов В.	131
Великанов В.	132
Великанов В.	133
Великанов Е.	1658
Вельковская К. С.	2117
Велюгин А.	1666
Венгров Н.	1760
Венгров Н. и Эфрос М.	134
Веневитинов Д. В.	1723
Верейская Е.	135
Веретенников Н.	136
Вержбицкий Н.	2083
Верзилин Н	1781
Верзилин Н	1782
Верзилин Н	1783
Верзилин Н	1784
Верзилин Н	1785
Верн Ж.	1552
Верн Ж.	1553
Верн Ж.	1554
Верн Ж.	1555
Вершинин А	137
Вершинин А	138
Ветлина В.	1730
Ветлина В.	1733
Ветлугин И.	1689
Вечтомова Е.	1679
Вигдорова Ф	139
Викулов С	140
Вилде Э.	1490
Вилкс Э.	1700
Винецкий Я.	141
Винецкий Я.	1682
Винкман М., Иванов Е.	142
Виноградов А	1662
Виноградова К. М.	1137
Виноградова Н.	1750
Винс П.	1668
Винтин Г.	1937
Випп П.	1668
Вирен В.	1762
Витман А. и Михайлова И.	337
Вишневская Е. Д	1717
Вишневский А	1938
Вишневский Вс	1745
Вишневский Вс.	143
Вишневский Вс.	144
Вишневский Вс.	145
Вишня О.	1669
Вишня О.	1683
Владимирова Г	1696
Вовчок М	1491
Вовчок М	1739
Водовозова Е. Н.	1106
Водопьянов М.	146
Водопьянов М.	147
Водопьянов М.	1730
Воейков В	1715
Войнич Э.	1717
Волгина Т.	148
Волгина Т.	1742
Волк И.	149
Волк И.	150
Волк И.	1709
Волков А.	151
Волков А.	1140
Волкодаев П.	1667
Воловик В.	1759
Воловик Г.	152
Володин Г.	153
Володченко И. В	1944
Волошин И.	1748
Волчанецкий Ю., Поливанов Н.	1945
Воробьев Е.	154
Воробьев Е.	1745
Воробьева В.	1759
Воронец В. А.	2118
Воронин П.	155
Воронкова Л	1694
Воронкова Л	1696
Воронкова Л	1704
Воронкова Л	1713
Воронкова Л	1727
Воронкова Л	1730
Воронкова Л	1760
Воронкова Л.	156
Воронкова Л.	157
Воронкова Л.	158
Воронкова Л.	159
Воронкова Л.	160
Воронкова Л.	161
Воронкова Л.	162
Воронкова Л.	163
Воронкова Л.	164
Воронкова Л.	165
Воронкова Л.	166
Воронкова Л.	167
Воронкова Л.	168
Воронкова Л.	169
Воронько П.	1381
Воронько П.	1382
Воронько П.	1669
Воронько П.	1704
Воронько П.	1713
Воронько П.	1742
Воронько П.	1760
Ворошильский В.	1686
Воскресенский С.	1679
Воскресенский С.	1878
Вургун С.	1383
Вургун С.	1384
Вургун С.	1740
Выгодская Э.	170
Выгодская Э.	1685
Выгодская Э.	2096
Высоковский К.	171
Высоковский К.	1685
Высотская О.	172
Высотская О.	295
Высотская О.	1665
Высотская О.	1688
Высотская О.	1694
Высотская О.	1696
Высотская О.	1704
Высотская О.	1719
Высотская О.	1725
Высотская О.	1726
Высотская О.	1759
Высотская О.	1760
Высоцкий М.	1677
Вышеславский Л.	173
Вышеславцева С.	1704
Вышеславцева С.	1742
Вяземский П. А.	1723
Габбе Т.	1602
Габбе Т.	1603
Габбе Т.	1724
Габбе Т. и Любарская А.	1691
Гаврилов Д	1679
Гаврилов П.	174
Гаврилов П.	175
Гаврилов П.	176
Гаврилов П.	177
Гагарин П.	1752
Гадалина Г.	2151
Гаецкий Ю.	178
Газенко В.	1677
Гайдай А.	1692
Гайдар А.	838
Гайдар А.	1694
Гайдар А.	1727
Гайдар А.	1745
Гайдар А.	1760
Гайдар А.	2090
Гайдар А.	2108
Гайдар А.	179
Гайдар А.	180
Гайдар А.	181
Гайдар А.	182
Гайдар А.	183
Гайдар А.	184
Гайдар А.	185
Гайдар А.	186
Гайдар А.	187
Гайдар А.	188
Гайдар А.	189
Гайдар А.	190
Гайдар А.	191
Гайдар А.	192
Гайдар А.	193
Гайдар А.	194
Гайдар А.	195
Гайдар А.	196
Гайдар А.	197
Гайдар А.	198
Гайдар А.	199
Гайдар А.	200
Гайдар А.	201
Гайдар А.	202
Гайдар А.	203
Гайдар А.	204
Гайдар А.	205
Гайдар А.	206
Гайдар А.	207
Гайдар А.	208
Гайсин Нур.	1385
Гакина Т. А.	2159
Галан Я.	1748
Галанов Б	2085
Галчинский К. И.	1686
Гальперин Д.	209
Гальперштейн Л. и Хлебников П.	1947
Гамзатов Р.	1669
Гамзатов Р.	1680
Гамзатов Р.	1696
Ганабин И.	1718
Ганейзер Г.	210
Ганейзер Г.	1696
Ганейзер Г.	1786
Ганейзер Г.	1787
Ганейзер Г.	1788
Гансовский С.	1679
Ганшин В. и Колосова С.	211
Гао Сянь-Чжень.	1556
Гарин-Михайловский Н. Г.	1644
Гарин-Михайловский Н. Г.	1736
Гарин-Михайловский Н. Г.	1738
Гарин-Михайловский Н. Г.	2088
Гарин-Михайловский Н. Г.	1107
Гарин-Михайловский Н. Г.	1108
Гарин-Михайловский Н. Г.	1109
Гарф А.	1526
Гарф А.	1696
Гаршин В. М.	1734
Гаршин В. М.	1736
Гаршин В. М.	1738
Гаршин В. М.	2088
Гаршин В. М.	1110
Гаршин В. М.	1111
Гаршин В. М.	1112
Гафури М.	1386
Георгиевская С.	212
Георгиевская С.	213
Георгиевская С.	1727
Герасимов И.	214
Герман Ю.	215
Герман Ю.	1727
Герман Ю.	1745
Германе О	1700
Гернет Н.	216
Гернет Н.	1750
Герц А.	1668
Герцен А. И.	1113
Герцен А. И.	1114
Герцен А. И.	2088
Гете И. В.	1557
Гиляровский П.	1718
Гинкель Э.	1668
Гладилина М.	217
Гладилина М.	1685
Гладков К.	1789
Гладышева В.	1704
Глазков Н.	1671
Глазков Н.	1675
Глебка П.	1666
Глебов Н.	1658
Глебов Н.	1752
Глебов Н.	218
Глебов Н.	219
Глебов Н.	220
Глебов Н.	221
Глебов Н.	222
Глейзаров Н.	1750
Глинка Ф. Н.	1723
Глущенко В.	1704
Глущенко В.	1762
Гнедич Н. И.	1723
Гнеушев В.	223
Гнеушев В.	1679
Гнеушев В.	1878
Гниловский В. Г.	1790
Говязин В.	224
Говязин В.	1714
Гоголь Н. В.	1115
Гоголь Н. В.	1116
Гоголь Н. В.	1117
Гоголь Н. В.	1118
Гоголь Н. В.	1119
Голант В.	2096
Голей М. и Ляпунов Б.	1791
Голенкова А.	1792
Голицын С.	1793
Голицын С.	1794
Голованова В.	1703
Головенченко Ф. М	1140
Головин Н. В.	1349
Головина А.	361
Головина А.	362
Головкин В.	1715
Головко А.	1387
Головко А.	1748
Голосов П.	225
Голосов П.	1703
Голубева А.	1679
Голубева А.	1730
Голубева А.	226
Голубева А.	227
Голубева А.	228
Голубева А.	229
Голубева А.	230
Голубева А.	231
Голышкин В.	1762
Гольдберг А.	232
Гольдин Н.	1679
Гольдштейн Д.	2161
Гольдштейн Р.	2082
Гомер.	1558
Гончар О.	1745
Гончар О.	1747
Гончар О.	1748
Гончаров В.	1704
Гончаров И. А.	1120
Гончаров И. А.	2088
Гончаров Ю.	233
Гончаров Ю.	234
Гончаров Ю.	1879
Гор Г.	1878
Горбачева З.	1675
Горбовцев М.	235
Горбовцев М.	236
Горбовцев М.	237
Горбовцев М.	238
Горбунов В.	1718
Гордиенко К.	1388
Городецкая Е.	1501
Городецкая Е.	1505
Городецкая Е.	1739
Городецкая Е.	2082
Горький М.	1704
Горький М.	1717
Горький М.	1730
Горький М.	1734
Горький М.	1736
Горький М.	1738
Горький М.	1741
Горький М.	2088
Горький М.	2108
Горький М.	239
Горький М.	240
Горький М.	241
Горький М.	242
Горький М.	243
Горький М.	244
Горький М.	245
Горький М.	246
Горький М.	247
Горький М.	248
Горький М.	249
Горький М.	250
Горький М.	251
Горький М.	252
Горький М.	253
Горький М.	254
Горький М.	255
Горький М.	256
Горький М.	257
Горький М.	258
Горький М.	259
Горький М.	260
Горький М.	261
Горький М.	262
Горький М.	263
Горький М.	264
Горячкин Е. Н.	1795
Горячкина М. С.	1140
Гофф И.	1664
Гофф И.	1669
Гра Ф.	1717
