Абанина Р.	3623—3625
Абатуров К.	1
Абашидзе Г.	2152
Аббасзаде Г.	2153
Абраменко И.	10
Абрамов В.	2
Абрамов С.	3
Августынюк А.	4
Авдеенко А.	5—9
Автократов Н.	11
Агашина М.	12, 13
Адамов Г.	14—16
Адирович Э.	3098
Азадовский М.	3573
Азбукин Б.	17
Айзенворт А.	2154
Айни С.	2155
Акаев К.	2156
Аким Я.	18—20
Акимович А.	2157
Аксаков С. Т.	1818—1824
Аланов В.	21
Александры В.	2158
Александров В.	3266
Александров Г.	22
Александрова В.	3099
Александрова З.	23—29
Александровский В.	30
Алексеев В.	31
Алексеев Н.	32
Алексеева О.	3574
Алексин А.	33—36, 2885
Али-Сабахаттин.	2480
Алиш А.	2159, 2160
Алтаев А.	37—39
Алферов В.	40, 41
Амирхан Ф.	2161
де Амичис Э.	2481, 2482
Амусина Р.	42
Ананд Мулк Радж.	2483
Ананян В.	2162
Андерсен Г.-Х.	2484—2493
Андреев В.	43
Андреев Е.	3100
Андреев С.	3341
Андреев Ю.	3101
Андреева Е.	3101
Андреева З.	2899, 2929
Андроников И.	3102
Аникст А.	3575
Анисимова А.	44—46
Анохин П.	3342
Антоневич М.	47—50
Антонов С.	51—54
Анфилов Г.	3103
Антрушин А.	3343
Аппакова Д.	2162а
Арамилев И.	56
Арамян В.	2163
Ардаматский В.	57—59
Аренштейн А.	60
Арзамасцев А.	3344
Аристов И.	3345
Аристова И.	61
Арнольд В.	3588
Арсентьева Е.	3626
Арсеньев В.	62—65
Артюхова Н.	66, 67
Архангельский В.	68—71
Арыкова С. И.	3091
Астафьев В.	72—74
Атаров Н.	75, 76
Атнилов Д.	2164, 2165
Аханов И.	77
Ахундов М. Ф.	2429
Ахундов С.	2166, 2167
Ашкенази Е.	3346
Бабат Г.	3104
Багиров Г.	78—81
Багмут И.	3078
Бадигин К.	82, 83
Бадмаев Цырен-Базар	2168—2170
Баев Л.	3105
Бажов П.	84—91
Байдебура П.	2171
Байдерин В.	92—97, 3106
Бакалдин В.	98
Бакинский В.	99
Балар А.	100
Балаш	3347
Балашов В.	101
Бальзак О.	2494
Баныкин В.	102—104
Барабошкина А.	3107, 3108
Баранов П.	3109
Баранов С.	105
Бараташвили В.	106, 107
Бармашин К.	3348
Бармин А.	108
Барто А.	109—134
Барто П.	120, 131—134
Баруздин С.	35, 135—144
Барчев А.	3125
Басина М.	145
Батманов В.	3110
Батов Р.	146
Батозская И.	147
Батров А.	148, 149
Батурин П.	3349
Бать Л.	150
Баумволь Р.	2172, 2173
Бахори А.	2174
Бацылев Е.	3213
Баширов Г.	2445
Башмаков В.	151
Башмаков П.	152
Баян О.	3111
Беганская Я.	153
Бедарев О.	154, 155
Бедзык Д.	2174а
Безверхний Л.	3112
Безвершенко Е.	3350
Безыменский А.	3113, 3114
Бейсов П.	3351
Бейшеналиев Ш.	2175
Бекман В.	2176
Белаьенцева Г. Н.	3627
Белахова М.	3115
Белинович Н.	157—159
Белкин Ф.	160
Белов А.	704, 3235, 3270
Белов П.	161
Белозеров Т.	162
Белозубое Г.	3352
Белостоцкая Е.	3116
Белоусов В.	163
Белышев И.	164
Беляев В.	165—167
Беляков И.	168—170
Белянинов А.	171
Беранже П.-Ж.	2495
Берг Л.	2496, 2497
Бережнева Е.	3353
Березко Г.	172
Березницкий Е.	173
Берестов В.	174
Беркович Д.	3117
Берна П.	2498
Берносевич Г.	175
Берулава Х.	2177
Бершадский Р.	176
Беспалов В.	177—179
Беспальцев Ф. Б.	663
Бианки В.	180—203
Биишева З.	2178
Бикчентаев А.	2179, 2180
Билипкис Я.	3118
Бирзниек-Упит Э.	2181, 2182
Бирюков Н.	204, 205
Бирюков-Раменский Н.	206
Бичер-Стоу Г.	2499, 2507
Благинина Е.	207—215
Блайтон Э.	2508
Бланк А.	216
Блинов В.	217
Блек А.	1825, 1826
Блок Э.	872
Богданов Н.	218—222
Богданова О.	3119
Богданович Т.	223
Боголюбов К.	224, 225, 3576, 3577
Боголюбова Н.	3107, 3108
Богомолов В.	226
Богословский Н. В.	3037
Богушевич Ю.	227, 228
Бойко Г.	2183—2188
Бокий Б.	3120
Болдырев В.	3121
Большаков Л.	229
Болынинцов М.	230—232 
Бондаренко бр. В. и В.	233, 234
Бондаренко И.	235
Бондарни С.	236, 237
Бонч-Бруевич В.	238, 239, 3122, 3123
Борисов В.	2974
Борисов В.	3354
Борисов Л.	240—242
Борисов Н.	243
Борисова Р.	3124
Боровиков Г.	244, 245
Бородина А.	246
Борян Г.	2189, 2190
Босев А.	2509
Брагин Вл.	247
Бражнин И.	248
Брандис Е.	3574, 3579, 3580, 3628
Брандт Л.	249
Бременер М.	250
Бритаев С.	251, 252
Бровкина В.	3126
Бродицкая Ю.	253
