Абакумов Н.	2546, 2547
Абакумов П.	4105
Аблеин Е.	4191
Абоев З.	2927, 3083, 3603, 3607
Абрамов И.	3098
Авдеев В.	1886
Авдеев О.	3625
Авдеев Ю.	500, 839, 938, 2104, 2885, 3203
Авербух Я.	2839
Аверьянов М.	113, 218, 3517, 4327
Авотин Р.	3725, 3898
Аврутис Х.	604, 677, 806, 807, 1231, 1232, 2283, 3243, 3563, 3565
Агаев Г.	3087
Агапов А.	4049
Агапова Н.	3608, 4065
Адамкевич В.	380
Адамов Е.	3575
Азовкин Н.	721
Аказеев Л.	238, 2797
Акулов Г.	2014, 2406, 2824, 2844, 3019
Аладьев В.	2206
Алейников А.	3611
Александров С.	2145
Александрова А.	3550
Александрова Е.	2742, 3274, 3551, 3616, 4160
Александрова Т.	1315, 2790, 3635, 3988
Алексеев В.	1315, 2094, 3634, 3703
Алексеев В.	160, 255, 256, 1380, 1752, 2397, 3568
Алексеев Г.	66 200, 2341
Алексеев М.	300, 820, 821, 996, 1239, 1963, 1980, 2674, 2834, 3667
Алексеев Н.	3521
Алексеев С.	976
Алексеев Ф.	2492
Алексеева М.	3521
Алексеева Т.	3673
Алимов А.	263, 305, 320, 532, 1872
Алимов Б.	2852, 3202, 3606
Алимов Г.	191 733, 769, 770, 959, 986, 993, 1209, 1244, 1411, 1488, 1648, 2029, 2048, 3089, 3582, 3583, 3624, 3684, 4058
Алимов И.	1059
Алфеевский В.	657, 658, 851, 1626, 2101, 3067, 3087, 3148а, 3172, 3259, 3260, 3271, 3581а
Альберт В.	3762
Альбокринов Е.	3517
Альменов Б.	2749
Алякринский П.	1214, 1215
Алямовский А.	1331
Ананьин Р.	3149, 3165
Андреев В.	3590
Андреев В.	3634
Андреенков В.	1789, 3234, 3298, 3309, 3475
Андриевич В.	17, 18, 141, 688, 1027, 1028, 1032—1034, 2947, 3096, 3581а, 4242
Андриолли.	3266
Андрушкевич В.	382, 1270, 3698, 3903, 3990
Аносов А.	3580
Антокольская Н.	3273, 3396, 3410, 3415, 3581а, 3675
Антонова А.	137
Антощенко В.	1938
Апухтин О.	1039
Аргутинский.Е.	1893
Аржекаев Б.	1115, 1934, 1953, 3511, 3647
Аристакесова С.	2673
Арсенин Д.	958
Артамонов В.	955, 1294
Артемьев А.	3517
Арутюнян Р.	3320
Архангельская И.	1061, 2573, 2577, 2582, 2585, 2590, 3539, 366
Архипов И.	63, 599, 731, 1432, 1449, 1520, 1614, 2151, 2152, 2155, 2279, 2426, 2712, 3461, 3786
Архиповцев И.	3711
Арцеулов К.	377, 1521, 3598, 4044, 4078, 4153
Асеев П.	1813, 1814
Асманов А.	3558
Асманов М.	2129
Асманов М.	2662
Асманова Т.	2129
Асманова Т.	355
Астапов И.	2580, 2599, 2600
Асташев Э.	3116, 3547, 3578
Аткнин Г.	2897
Афанасьева Е.	132, 242, 246, 863, 1549—1551
Афанасьева Н.	656, 3119, 3625, 4396
Ахметзянов Х.	2752
Аюшеев Э.	2219
Бабаев Р.	2759 2760
Бабанский В.	2762
Бабиченко Д.	645, 1824, 3544, 3581а, 4086
Багаутдинов Р.	398, 1219, 3157, 3597
Базилевич А.	2521
Балабин А.	3655
Балакин С.	3976
Балалов Р.	3970
Балашов В.	3517
Балдаев Ф.	3049
Баличенко Д.	3581а
Барабошин С.	3525
Баранов А.	1852
Баранов Г.	1952
Баранов К.	548, 3136
Баранов С.	3762
Баранчеев М.	187, 822, 977, 1740, 3678
Бардина Р.	760, 946, 1945, 2040, 3284, 3580
Барончук Ю.	1074
Басманов П.	3672
Басманова Н.	1960, 3549, 3557
Басов Б.	1924
Батурин Н.	60, 2278
Бег.	1166, 3724
Бедарев Г.	700, 2815, 3076, 3660
Безбородов К.	546, 726, 727, 1040, 1699, 3286, 3598
Безносов М.	1572, 1573
Безукладников Г.	2266
Бек И.	4219, 4375
Бекарян А.	3058
Бекетов В.	716
Бекетов И.	2664, 2713
Бекташев К.	1494
Белов А.	3655
Белов Б.	1109, 3989, 4134
Белов В.	1436
Белов Д.	1198
Белов Л.	4023
Белов М.	2713, 3340, 3590
Белов Н.	1795, 3563
Беловы Б. и Е.	3948
Беломлинский М.	523
Белонович В.	3618
Белопольский Б.	3602
Белышев В.	1984, 1985, 3984
Белькович Ю.	992, 994
Бельдюсов Ю.	1974
Бельтюков Б.	1621, 2669, 2998, 3017, 3024
Белюкин А.	3164
Беляев В.	2411
Беляев Л.	1530, 3567, 3576
Беляев С.	3592
Беляков В.	3583
Бендингер В.	3794
Берг. Г.	2874
Бердимуратов К.	3031
Березовский Д.	2131
Березовский И.	911
Берендгоф Б.	2460
Берковский Ю.	3989
Бескаравайный В.	558, 1742, 3542, 3616, 3679, 3912, 4161
Бианки Е.	225, 1628, 1630, 3582, 3980
Бидструп Х.	3582
Билибин И.	2647—2649
Билль А.	474, 2529, 2944, 3077, 3421, 3725
Бирюков Л.	2408, 3986
