Абакаров А.	3578
Абатуров К.	3593
Абашели А.	3629
Абашидзе Г.	3530, 3560
Абашидзе И.	3530, 3560
Аббас С.	2743а
Абдул Рауф Бенава.	3502
Аболмазов В.	3523
Абрамов А.	3597
Абрамов В.	1, 2
Абрамов Г.	3596
Абрамов Н.	3716
Абрамов Ф.	3655
Абдуллаев А.	3750
Абдуллаханов Д.	3659
Абдыкадыров К.	3574
Абдыкадырова С.	3671
Абдыраманов Ш.	3671
Абдулжалилов Ф.	3579
Абсалямов А.	2744, 3579
Абуаль-Касим Саадалла.	3502
Абульгасан А.	2745
Абылкасымова М.	3671
Авдеев В.	3, 3536
Авдеева К.	3751
Авдеенко А.	4
Авдиенко Е.	5, 3554, 3581а 
Авдоничева Л.	3541
Авдышев А.	3567
Авербах Л.	3500
Авсеенко И.	6
Автомонов В.	3624, 3656, 3657
Агашина М.	7, 3568, 3595, 3596
Агеев П.	3698
Агиш С.	3712
Агладзе А.	3560
Агниашвили Н.	3530, 3663
Аграновский А.	3602, 3701, 3752
Агранович Е.	3516
Агузаров Г.	3579
Агуренко Б.	3661, 3705
Адамов А.	8, 4549
Адамов Г.	9—14
Адгамова С.	2746
Аджиев А.	3547
Азарников В.	3706
Азаров В.	100, 3622, 3629, 3665
Азбукин Б.	15, 16
Ай Лу.	3561, 3562
Айбек.	2747
Айдаев А.	3547
Айзенштейн Н.	3669
Айни С.	3707
Акентьев В.	4201
Аким Я.	17—21, 3523а, 3544, 3595, 3596, 3611, 3638, 3646
Акимкожаев М.	3671
Акимов А.	912
Акимов С.	3702
Акопян А.	4202
Аксаков М.	22
Аксаков С. Т.	2435—2437, 3529, 3581а, 3587, 3590, 3630, 3683, 3684, 3696
Аксанова К.	3414
Аксенова А.	23, 3678
Акулов В.	3609
Алавердян М.	2617
Аланов В.	24, 25
Алатырцев В.	3629
Албек Л.	26, 27
Александри В.	3117, 3118
Александров Б.	3753
Александров Г.	3754
Александрова А.	28, 3510
Александрова В.	3755
Александрова З.	29—35, 3513, 3515, 3521, 3523а, 3527, 3534, 3581, 3595, 3596, 3611, 3629, 3675
Александрова М.	3746
Александрова Н.	3516
Александровский В.	36, 37, 3698, 3706
Александровский С.	3713
Алексеев В.	38
Алексеев Е.	3597
Алексеев Н.	39, 40, 3564
Алексеев П.	4085
Алексеев С.	41—50, 3527, 3536, 3582
Алексеева А.	4274
Алексеева К.	4413
Алексеева Н.	2609
Алексеева О.	4514, 4555, 4568
Алексин А.	51—53, 2359, 3509, 3511, 3582, 3595, 3687
Аленник А.	54
Аленник З.	54, 3550, 3552, 3554
Али С.	3669
Алиев У.	55
Алилуев С.	3664
Алимбаев М.	3544, 3574
Алимбекова Н.	3707
Алиш А.	2748—2750
Алматинская А.	3608
Алтаев А.	56
Алтаузен Д.	3629
Алтынсарин И.	2751
Алферов В.	57, 3517
Алфимов Е.	58
Алымов С.	3515,-3629
Альперин А.	4203, 4204
Альтман Н.	3664
Алянская Н.	3675
Аманжолов К.	3574
Аматуни П.	59
Аметова Н.	60, 61
Аметова Э.	60, 61
Амир М.	2752, 3651
Амисулашвили Ш.	3560
де Амичис Э.	3167
Амонов Р.	3129
Амусина Р.	62, 3513, 3540
Ананова Е.	3338
Ананян В.	2753
Анарбаев С.	3660
Анатольев О.	3499, 3500, 3501
Анвар Джалал.	3502
Ангелов Ц.	3584, 3596
Андерсен Г.-Х.	3168—3176
Андерсен Нексе М.	3177, 3582, 3709
Андерсон В.	4160
Андреев Д.	3581а
Андреев К.	749, 1521, 3277, 3598, 3756
Андреев Л Н.	3503, 3504
Андреев Ю.	4160
Андреев-Кривич С.	63, 3634, 4516
Андреева Е.	3599, 3665, 3757, 4160
Андреева М.	3758, 3759
Андреева Т.	3513, 3637
