Абдульменева Н.	653
Абоев З.	2803, 2810, 2910, 3178
Абрамов А.	1823
Абрамов М.	3862
Абрамова А.	830
Абрамочкин Ю.	3515
Авдеев В.	47
Авдеева В.	4016
Авербух Я.	2315
Аверкиев В.	705, 902, 2282, 2302, 2428, 3562, 3576
Аврутис Х.	141, 647, 1015, 1119, 1305, 1966, 2107, 2407, 2688, 2764, 3491
Агеев В.	2811
Агеев П.	27, 28
Адамов Е.	33, 2093, 3531, 3882, 3978, 4071, 4086
Азарх Л.	671, 2369, 3442
Айзман О.	4016
Аказеев Л.	1784
Акулов Г.	761, 1284, 1720, 2055
Алантьев В.	2443
Алекперов А.	3504
Александров А.	3775
Александров Б.	3693—95
Александров Н.	3637
Александров Ю.	3480
Александрова Е.	311, 389, 424, 1022, 3522—24, 3775, 4072
Александрова Т.	1375
Алексеев В.	1375, 1485, 2016, 2795, 3528
Алексеев В. Г.	1785
Алексеев В. М.	1489, 2161
Алексеев М.	33, 67, 1538, 2048, 2359, 3598
Алимов Б.	907, 3707, 3822, 3967 
Алимов Г.	10, 11, 33, 105, 135, 361, 456, 766, 789, 911, 1027, 1095, 1717, 1800, 2313—14, 2843, 2931, 3177, 3740—42, 3864, 4011, 4462
Алимов С.	2199
Андреевский В.	470, 478, 1375, 1672, 1819, 2258, 3076, 3258—61, 3263—-64, 3266, 3627
Альменов Б.	3188б
Алякринский П.	2538
Алямовский А.	1643
Амельченков В.	616
Адрианов С.	2439
Андреенков В.	1069, 1375, 1791, 1889, 2548, 3293, 3306, 3381, 3401, 3446
Андриевич В.	14, 142, 262—64, 1069, 2392, 2416—19
Андрушкевич В.	2065
Анжанов А.	2361
Антокольская Н.	962, 1237—38, 3414, 3437, 3445
Антонова А.	165, 3743
Аптекарев В.	1014
Аралова В.	3365
Арбат Ю.	3933
Ардимасов О.	1300
Аржекаев Б.	3113
Арзуманов Л.	2834, 3224, 3245
Аристакесова С.	1927
Аррак Х.	2963
Арсенин Д.	1322, 2724
Архангельская И.	33, 947, 1908, 2143, 2285, 2678, 2680, 2683, 3563
Архипов И.	624, 1422, 1569, 2306, 2678, 2694—95, 2758, 2772, 3180, 3427, 3563, 3768
Арцеулов К.	63, 352
Аршакуни З.	3775, 4072
Асеев П.	55, 304, 1719, 1849, 1998, 2547, 2868
Асецкий Л.	2267
Астапов И.	2190, 2692, 4456
Асташев Э.	2819—20, 2930, 2960, 3008
Афанасьева Е.	257
Афанасьева Т.	168, 169
Ахунов М.	948
Бабаев Р.	2822
Бабак Ю.	3818
Бабиченко Б.	1554
Бабиченко Д.	104, 681
