Абдурахимов М.	3486
Абель Рудольф.	3784
Абидуев Бабасан.	3066
Абрам Э.	3883
Абрамов А.	3797
Абрамов А.	4442
Абрамов Александр.	1—3, 3843, 3844
Абрамов Кузьма.	3067
Абрамов Сергей.	1—3, 3843, 3844
Абрамова М.	3858
Абрамян Г.	4
Абрахманова Турсынхан.	3871
Аброскйн И.	5
Абу-Бакар Ахмедхан.	3068
Абызов В.	3910
Абылкасымова Майрамкан.	3871
Авдеев В.	3795
Авдеева А.	68
Авербах Л.	3938
Авербух Овсей.	3965
Аверкин А.	3851
Авилов М.	3790
Авраменко И.	886, 3919
Автономов Владимир.	6
Авшалумов Хизгил.	3761
Агаков Леонид.	3069
Агапов С.	3966
Агарвал Сатья Пракош.	3542
Агапов М.	3834
Агафонников В.	3846
Агафонов Н.	4014
Агашина М.	7
Агеев Л.	3857
Агеев Н.	3782
Агиш Сагат.	3070, 3071
Агишев Рустам.	8
Аграновский Анатолий.	9
Аграчева Л.	3829
Адриасов М.	3764
Адышева Тенти.	3871
Азаров А.	3770
Азаров Всеволод.	3826
Азаров К.	3922
Азерников Валентин.	3967
Азимзаде Азим.	3072, 3073
Азимов А.	3630, 3631
Азаров В.	3895
Азов М.	10, 11
Айедоницкий П.	3851
Айзенштат Л.	4287
Айкашева М.	4453
Айтбаева Айым.	3074
Айтматов Чингиз.	3075, 3076, 4123
Акёнтьев В.	12
Акер Рудольф.	3077
Аким Я.	13— 18, 688, 3772, 3805, 3841, 3861, 3911, 3924, 3931, 3934
Акимов К.	2044, 2637
Акимова А.	2670, 4463, 4492, 4493
Акимушкин Игорь.	19, 652, 3831, 3968
Аксаков С. Т.	2741—2744, 3768, 3811, 3817, 3821, 3836, 3872, 3923, 3935
Аксельрод Е.	20, 21, 3911
Акулов Г.	22
Алдан-Семенов А.	3792, 3867
Александров А.	3938
Александров Ал.	3851, 2502
Александров В.	4237
Александров М.	3766
Александрова З.	23—33, 3805, 3816, 3828, 3829, 3841, 3851, 3856, 3911, 3924, 3931, 3934
Александрова З.	3934
Александрова Н.	34, 3838
Александрова Т.	4017
Александрова Эм.	1351
Александрович А.	3078, 3079
Александровская С.	3825
Александровский В.	3889
Алексеев В.	36
Алексеев Валерий.	35
Алексеев Вл.	37—39
Алексеев Олег.	40, 3936
Алексеев Петр.	41
Алексеев Сергей.	42—54, 3795, 3828, 3904, 3905, 3911, 3940
Алексеева А.	3793
Алексеева В.	3969
Алексеева Г.	4562
Алексеенко Ё.	4015
Алексин А.	55—64, 3805, 3823, 3865
Алембекова Н.	3080
Аленкин Б.	65
Алечкович Мира.	3543
Алешковский Юз.	66
Алигер М.	67, 3761, 3847, 3857, 3859, 3871, 3889, 3920, 3936
Алиева А.	3081
Алиева Фазу.	3082—3084, 3761, 3871
Алимтаев Нузафар.	3880
Алимджан Хамид.	3085
Алимжанов А.	3766
Алматинская А.	68
Алонсо Дора.	3544
Алтаев Ал.	69
Алтайский К.	70
Алтаузен Д.	3857, 3859, 3889, 3947
Алтынбаев К.	3760
Алферов В.	71, 3777, 3786, 4235
Альперович Ю.	3970, 4236
Альтов Г.	3932, 3971, 4492
Альхимович С.	72, 2502
Алымов С.	3828, 3851
Алянский С.	4443
Аматуни П.	73, 74, 3810
Амичис Э.	3946
Амлинский В.	75, 76, 3792, 3888
Амонов Р.	3086, 3484, 3492, 3507, 3522, 3531, 3536
Амосова Т.	77
Ангелина П.	3825
Ангелов Димитр.	3870
Ангелов Цветан.	3870
Анденко И.	78
Андерсен Х.-К.	3545—3553, 3805, 3934
де-Андраде Марио.	3885
Андреев А. А.	3822
Андреев В.	3870
Андреев К.	4089
Андреев Кирилл.	79
Андреев Л. Н.	2745, 2746
Андреев Н.	80, 3782
Андреев-Кривич С.	3972, 4444
Андреева З.	3899
Андреева Е.	3973, 3974, 4014
Андреева М.	3975
Андрейчиков Ю.	3976
Андрианов Ф.	81
Андриасов М.	3810
Андроников И.	82, 1059, 1460, 1501, 2835, 2842
Андронов Сергей.	83
Андрюшкевич В.	3925
Аникин В.	3065
Аникин В. П.	2995
Аникст А. А.	3703
Аникст О. Г.	3770
Анисен Васся.	3871
Анисимова А.	84
Анисимова В.	4237
Анисимова М.	3810
Анищенко А.	85
Анищенко Л.	3783
Анненков Ю.	3883
Аношкин М.	2001
Антипин А.	3977
Антипов Г.	86
Антокольский Александр.	87
Антокольский П.	2758, 2886, 3857, 3859, 3889, 3907
Антоневич М.	88, 3841
Антоневич Т.	3802
Антоненко-Давидович Б.	3087
Антонов И.	3783
Антонов С.	89, 90, 3904
Антонова Г.	1868, 1869
Антонова Е.	4653
Антонова Л.	3978
Антонова Т.	3832
Антрушин А.	4212, 4214
Анфилов Глеб.	3979
Анцитис В.	3815, 4525
Анциферов Н.	3857
Анчаров М.	3886
Ань-Дык.	3774
Ань Хоанг.	3774
Аполлонов В.	91
Апухтин А. Н.	3889
Аракишвили И.	3851
Аранович Л.	3980
Арановский М.	4620
Арапов Юрий.	3088
Арбузов Алексей.	92
Арбузов В.	4526
Аргези Тудор.	3554
Арго А.	93
Аргунова Нора.	94, 95
Ардаматский Василий.	96—99
Ардатовский Вадим.	3827, 4007
Арджилли М.	3671
Аркадьев Л.	3797
Арманд Инесса.	3784, 3825
Аронзон Л.	3799, 3801
Аронов А.	100, 101
Арро В.	102— 105
Аросев А.	3926
Арсеньев Ю.	3783
Арский Павел.	106, 3828
Арский Ф.	3981
Артамонов А.	4238
Артеменко В.	2169
Артемов Н.	4016
Артюхова Н.	107, 108, 3805, 3911
Артюшенко Сергей.	109
Архангельский Вл.	110, 111, 3806
Архангельский В. В.	2478
Архипов А. А.	2440
Архипов В.	3945
Архипцев И.	3814
Асанов Эд.	3857
Асеев В.	3805
Асеев Н.	3775, 3787, 3889, 3907, 3919, 3920, 3936, 3947
Асеков И.	3089
Астафьев В.	112, 113, 3824, 3929
Астахов Е.	114, 3777
Астрахан М.	912
Атаджанов Ата.	3090
Агаев Ата.	115
Атаров Николай.	116, 117, 3636
Аткай.	3091
Атнилов Данил.	3855
Атянин Федор.	118, 3092
Аузинь А.	3815
Аушев В.	119— 121
Ауэрбах Е.	3829
Афанасьев А.	3014, 3825, 3934
Афанасьев Н.	3063
Афанасьева Е.	3800
Афзалов М.	3490
Афонин С.	3785
Афонина Н.	4446
Ахмадулина Б.	3920
Ахматова А.	3871, 3889, 3907, 3920
Ахматова Раиса.	3871
Ахметов М.	3093
Ахундова Алла.	122, 3094, 3095
Ахунов Тариф.	3096
Аша Дэви.	3828
Ашальчи Оки.	3871
Аюпова М.	3871
Бабаджан Т.	4527
Бабаев Э.	123
Бабаевский С.	124
Бабев Петр.	3870
Бабель И.	3895
Бабенко Н.	125
Бабусенкова Н.	2006
Бабушкин В.	126
Бабушкин Д.	3825
Бабушкин И.	3770
Багандов Газим-Бег.	3861
Баграк П.	127
Багрицкий Вс.	3922
Багрицкий Э.	128— 130, 3857, 3859, 3887, 3907, 3920, 3936
Багряк П.	3844
Багряна Е.	3870
Бадаев А.	3902
Бадигин К.	131, 132, 3828, 3940
Бадридзе Е.	3828
Баева А.	133, 3938
Баженов В.	3805
Бажов П.	134— 138, 3782, 3794, 3798, 3805, 3836, 3895, 3909
Баздырев А.	139, 140
Баймурадов А.	3097
Байрамукова Х.	3871
Байтемиров Н.	3098, 3855
Бак М.	3851
Бакаев Н.	3099
Бакалдин В.	141— 143
Бакалинский Г.	3956
