Абакаров М.	2327
Абдрахманова Т.	2336
Абдукаххар С.	2302
Абиосе Никол.	2156
Абишев А.	2336
Абрамов А.	1
Абрамов Г.	2
Абрамов Л.	3, 2363
Абрамов М.	4
Абрамов С.	1
Абрамян Г.	5, 6
Абу-Бакар А.	2296
Абу Бекр Халед.	2156
Абчук В.	2573
Авдашев В.	2300
Авдеенко А.	7
Аверенков Ю.	8
Аверченко В.	9
Авраменко И.	2312
Агаков Л.	1837
Агарков Б.	10
Агашина М.	2367
Агзам М.	1838
Агиш С.	1839
Агишев Р.	1072
Аграновский В.	2368
Адамов А.	11, 1275
Адамсон Э.	1840
Аджиев А.	2299
Адмиральский А.	2300
Аз-Зубейр Али.	2156
Азаров В.	2319
Азерникова Е.	2341
Азрапкин Ю.	1841
Айларов И.	1842
Айтбаева А.	2334
Айтматов Ч.	1843, 2316, 2334
Аким Я.	12, 1057, 2281, 2367
Акимушкин И.	2380, 2381
Акопян А.	2360
Акопян Г.	2319
Аксаков С. Т.	1517, 2342
Аксельрод Е.	13, 2354
Аксенова А.	14, 15
Аксенчук И.	2212
Акушинский М.	16
Алейников М.	1516
Александри В.	1844
Александров Б.	2383, 2630
Александров К.	2319
Александрова З.	17—26, 2359, 2367
Александрова Р.	2331
Александрова Т. И.	27
Александрова Э.	2384
Александровский В.	28, 29
Алексеев В.	2363
Алексеев Валерий.	30
Алексеев Виктор.	2385
Алексеев Вл.	31
Алексеев С. Д.	2368
Алексеев Сергей.	32—39, 2281
Алексин А.	40—43, 479, 2140, 2281,2299, 2320
Алешковский Ю.	45
Али Баазиб.	2156
Алигер М.	46
Алиева А.	2080
Алиева Ф.	2304, 2367
Алимбаев М.	2336
Алимова Г.	2368
Алиш А.	1845
Алонсо Д.	2296
Алтаев Ал.	47
Алтайский К.	2386, 2387
Алтынбаев К.	2350
Алтынсарин И.	1847
Алферов В.	48, 49
Аль-Хатыб И.	2156
Альбова Н.	2631
Альтов Г.	50
Альхимович С.	2320
Аматуни П. Г.	51
Амлинский В.	52
Амонов Р.	2093, 2121
Амусина Р.	53
Ананян В.	1848, 2311
Андерсен Х.-К.	2123—2132, 2239
Андреев Е.	54
Андреев К.	2147
Андреев Л. Н.	2313
Андреев Леонид.	55
Андреев Ю.	2388
Андреева Е.	2389
Андреева Т. П.	2282
Андрианов Ф.	56
Андриасов М.	2363
Андроников И.	1588— 1590, 1595
Аникин В. П.	1807, 1822
Анко Ю.	1849
Антеос П.	2287
Антокольский А.	57, 58
Антокольский П.	185
Антоневич М.	2322
Антонов С.	59, 2281, 2299
Антонова Г.	1029
Антонова Л.	2390
Антропянский Н. А.	1778
Антрушин А.	2572, 2573
Анциферов Н.	1525
Ань Хоанг.	2241
Аракчеев Ю.	60
Арамилев И.	2301
Арамян В.	2311
Ардаматский В.	61, 2420
Ардов В.	2354, 2368
Аренштейн А.	62, 2281
Аригапуди.	2133
Аристова Г.	2425
Арманд Г.	2425
Аронов А. Б.	63
Арсеньев В.	64
Артамонов С.	65
Артемов А.	2424
Артюхова Н.	66, 2350
Арутюнян С.	2311
Архангельский В.	67, 2281
Аршинников Г.	1020
Асад Мухаммед Джафар.	2156
Асеев Н.	2352
Асеев Ю.	2573
Аскаров О.	2336
Астафьев В.	68, 2328
Асылбеков А.	2336
Атаев А.	1850
Атакишиев Али Саттар.	1851
Атаманов Л.	44
Атянин Ф.	1852, 2337, 2357
Аушев В.	69, 2347
Афанасьев А.	1506, 1780, 1834
Афанасьев В.	1521
Афанасьев С.	70
Афанасьева Е.	2300
Афзалов М.	2085
Афоньшин С. В.	71
Ахмед Надим Касми.	2156
Ахундова А.	1853, 2089, 2095
Аш Р.	2424
Аширов А.	1854
Аширов Ч.	1855
Бааст Б.	2156, 2355
Бабаев И.	2110
Бабаев Э.	72
Бабкин Д.	1672
Баграмян И.	2319
Багрицкий Э.	74, 2352
Багрянцев Б.	2391
Бадеев Н.	2392
Бадигин К.	75, 76
Бадмаев Ц.-Б.	1856, 1857
Бадоев К.	1858
Баева А.	77, 78
Бажанов А.	2331
Бажов П. П.	79—84, 2303, 2329
Байдерин В.	85
Бакаев Н.	2350
Бакалдин В.	86, 87
Бакулина Э.	1499
Балакаев А.	1859
Баласан В.	2360
Балашов В.	88—91
Балбышев И.	2370
Балдин Г.	92
Балл Г.	93—95, 1379
Балла Л.	2134
Бальмонт К. Д.	2346
Бандурак В.	1860
Банников Н.	216, 486
Баныкин В.	2281
Барабаш В.	96, 97
Баранов С.	98
Баранова М.	2308
Барановская А.	2320
Баратынский Е. А.	2295, 2346
Бардышев А.	99
Баринов В.	100
Барков А.	101 — 104
Барри Д.	2135
Барский Ю.	2572
Барто А.	105— 120, 2281, 2317, 2350,2367
Баруздин С.	121 — 123, 133, 305, 2142,2281, 2320, 2354, 2355, 2367
Барышникова А. К.	1763
Басиев М.	1861
Басина М.	124, 125
Баскаков В.	126
Батин М.	2329
Батров А.	127, 2296
Батуев А.	2300, 2301, 2425, 2573
Батурина Н. А.	2350
Батырбекова Б.	2336
Бать Л.	128
Баумерт Г.	2296
Баусина Е.	2300
Баух Е.	1500
Бахарев А.	2292
Бахревский В.	129— 131, 1318, 2281,2367, 2560
Баширов Г.	1862
Башмаков П.	2283, 2353
Бгажба Х. С.	2087
Бебан М.	1866
Бедарев О.	2284, 2354
Беде И.	2296
Бедный Демьян.	132, 2359
Безрукова Д.	2393
Безыменский А.	2304, 2359
Бейтс Г.	2296
Бейшеналиев Ш.	1863, 2334
Бектенов К.	18б4, 2334
Белахова М.	133
Белевич А.	2320
Беленков С.	135
Белецкий П.	2394
Белинский В. Г.	1518— 1520, 1594
Белкина М.	136
Белов М.	2424
Белов П.	2572
Белозеров Т.	137— 142, 2328, 2367
Белокуров Л.	1379
Беломлинский М.	2349
Белорус В.	2301
Белый В.	2502
Белых Г.	1030
Беляева А.	143, 144, 2632, 2633
Беляев В.	61, 145, 1387, 2281, 2286
Беляев К.	2373
Беляков И.	146
Белянинов А.	147
Бендик Л.	148
Бенедиктов В. Г.	2319
Берестов В.	27, 149— 152, 2299, 2354,2367
Берна П.	2136
Бернс Р.	2137
Берталан И.	2176
Берулава Х.	2359
Беспалов В.	153
Бехлерова Х.	2138, 2139
Бехтерев Л.	154
Бецер И.	155
Бианки В.	156— 167, 409, 2303, 2328,2350
Бибин Н.	2331
Бикушев Г.	168, 1865
Бикчентаев А.	1867, 2348
Бильдушкинов В.	1868
Бирюков В.	2328
Бирюкова А.	169
Биушкина М.	2357
Благинина Е.	170—175,2350, 2367, 2634
Благой Д.	874, 878, 1669, 1670
Блинкин С.	2401
Блинов Александр.	176
Блинов Анатолий.	177, 178
Блинов Г.	179, 2635
Блок А.	180— 187, 2315, 2346, 2350,2364, 2365
Блудов М.	2402
Блынский Д.	188, 2367
Бляхин П.	189
Бобылев Ф.	190
Бовшек А. Г.	2282
Богатырев В.	2367
Богданов Н.	191, 2350
Богданов П.	2403, 2591
Богданов Ю.	2168
Боголюбов К.	1190
Боголюбская М.	2280
Богомазов С.	2298, 2299, 2320
Богомолов В.	192, 2324
Богомолов Е.	2589, 2628
Богословский Н.	1724, 1733, 1747,1749, 1750
Богоявленский П.	1596, 1637
Богушевич Ю.	193
Бойко Г.	2350
Боков П.	2353
Боконбаев Д.	2334
Болдрини Д.	2296
Болдырев Ю.	2137
Болховитинов В.	2592
Бондаренко Вен. и Бондаренко Вл.	194,195, 2347, 2353
Бондаренко И.	196
Бондарь И.	197
Бонди С.	1640, 1641, 1664— 1666
Бонифатьева Л.	2404
Бонч-Бруевич В.	198—202, 2320
Борзенко С.	2368
Борисов Б.	2319
Борисова Е.	203, 204
Борисова М.	205, 206
Борисова Р.	2332
Борноволоков Э.	2593
Бородин Ф.	2349
Бороздин В.	207—210, 2281
Босев А.	893, 2140
Боярская Н.	2346
Брагин М.	2405
Брандис Е.	908, 2572, 2573
Брауде Л.	2202
Браун Н.	2359
Бревдо Б.	2572, 2573
Брегова Д.	211, 1527
Бреев Б.	1116
Бременер М.	212, 2238
Бренкова К.	2296
Брехт Б.	2141
Бриман М.	2406
Бритаев С.	1869
Бровка П.	2320, 2359
Бродский А.	213, 2320
Брумберг В. и З.	2194
Бруссе Г.	214
Бруштейн А.	1303
Брынских С.	215
Брюсов В.	216
Брянцев Г.	217
Брянцева В.	2361
Брянцева Л.	218
Бублейников Ф.	2407
Буи Конг Бинь.	2241
Букин А.	180
Букин Н.	219
Булатов М.	1767, 1773, 1787, 2290,2316
Булгаков М. А.	2282
Булычев К.	220, 2303
Булышкина И.	221
Бунин И. А.	1521, 2346
Буравкин Г.	2298
Бургхардт М.	2142
Бурсов И.	222
Буртин Ю.	1311
Бустос Мандиола Х.	 2143
Бусуйок А.	1870
Буцень О.	2350
Бушмин А.	1679
Бхимнудхи Тивари.	2156
Бхишам Сахни.	2156
Быков А.	2424, 2572
Бытовой С.	223, 2286
Бычко В.	1871, 2350
Бяганская Я.	2320
Бялик Б.	383
Бялковская С. К.	224
Ваганова Л.	2349, 2362.
Важдаев В.	2084, 2104, 2119, 2124,2265, 2281
Ваксман С.	2291
Вакуловская Л.	226
Вальдман В.	2239
Вальдю А.	2303
Ван Линь.	2144
Ван Тхиен.	2241, 2296
Вангели С.	2296
Ваншенкин К.	2350
Ванслова А. В.	1833
Варданян А.	2311
Вардишвили Г.	1872
Варшавский А.	227, 2410
Василевская Г.	1873, 1874
Василенко И.	228, 229, 2363
Васильев В.	724
Васильев И.	230
Васильев П.	231
Васильев С.	567
Васильев Саша.	2299
Васильева Р.	2411
Васюкова Г.	232, 233
Ватагин М.	234, 2094, 2102
Ватаману И.	1875
Ватенмахер О.	2589, 2628
Вацземниек Л.	1876, 1877
Введенский А.	2161, 2162,2239, 2350
Вдовенко Е.	1034
Вебер Ю.	2412
Векен К.	2242
Векшегонова И.	2316, 2367
Веленгурин Н.	1362
Великанов А.	235
Великородных Ю.	2358
Велтистов Е.	237, 238, 2281
Вельм А.	2242
Вельскопф-Генрих Л.	2145
Венедиктов А.	2221
Веприцкая Л.	240, 241
Верейская Е.	2301
Вересов А.	242
Вержуцкий Б.	2413
Верзилин Н.	2314
Верн Ж.	2146, 2147
Вертман Ю. Д.	2282
Верхало Ю.	2589, 2628
Верховский В.	2298, 2320
Вершинин Л.	243, 244
Веселовский И.	2407
Весновская-Перевозчикова И. Я.	245
Вестли А.-К.	2296
Ветрова М.	246
Вехова М.	2637
Вечканов С.	2337
Вечтомова Е.	2349
Виард В.	2337, 2357
Вигдорова Ф.	331
Видгоп Л.	247
Виеру Г.	1878, 2316
Викторов В.	248,2140, 2320, 2332, 2361
Викторов К.	2638
Викулов С.	249, 2367
Вильдрак Ш.	2148
Виноградова С.	2361
Виноградская П.	250
Виноградская С.	250
Винокуров Е.	520
Винтина М.	2331
Витез Г.	2149
Витензон Ж.	251, 1379
Виткович В.	252
Вишневская Е.	1682
Владимиров А.	2415
Владимиров О.	2424, 2425
