Абаев К.	818.
Абоев З.	21, 715, 2103, 2147, 2500.
Абрамова А.	849, 850, 2641.
Авдеев В. А.	576.
Авдеев Ю.	449.
Авдонина Т. К.	2638.
Аверкиев В.	400, 401, 741, 824, 1417, 2937.
Аврутис Х.	1108, 1317, 1512.
Агин.	1616.
Адов В. А.	938.
Адрианов С.	2029, 2501.
Аземша Ю.	2887.
Айзман О.	3313.
Аказеев Л. Л.	2932.
Аккизовы С. и Я.	729.
Аккуратов С.	967.
Акпыжаева В.	2226, 2169.
Аксенова Л.	2887.
Акуваев Э.	2140.
Акудин В.	2394.
Акулов Г.	439, 1166, 1235, 2345, 2446, 2506, 2820, 2835.
Александрова Е.	2362, 2398.
Алексеев В.	990, 1278.
Алексеев В. Ф.	886.
Алексеев М.	1293.
Алексеев П.	1979, 2177.
Алексеева Т.	1208, 1868, 2511.
Алексеева Ю. Ф.	586.
Алелекова Т.	2430.
Алимов Б.	1100.
Алимов Г.	13, 30, 504, 578, 1021, 1436, 1451, 1538, 1572, 1592, 1905, 2061, 2136, 2216, 2500, 2501, 2506, 2616.
Алфеевский В.	842, 1183, 1184, 1392, 2472.
Альбова Н.	3100.
Альбокринов Е.	1029.
Альтман А.	2790.
Алямовский А.	2703.
Ампилогов О.	527.
Андреенков В.	144, 833, 893, 1287, 1444 2200, 2375, 2866, 3150, 3151, 3489, 4140.
Андриевич В.	16, 91, 184, 1518, 1519, 1662, 1891, 2640, 2641, 3074.
Аненков Ю.	190.
Анидалов П.	456, 643, 1261, 1547.
Аносов А. И.	93, 100.
Анохин В. В.	2638.
Антимонова Е.	1189.
Антипов В.	3051, 3052, 3092.
Антокольская Н.	2445.
Антонов А. Г.	2634, 2635, 2636.
Антонов С.	196, 2083.
Антоновский Б.	548.
Арапов В.	2182.
Аргутинский Е.	135.
Аристакесова С.	1219, 2501.
Аркадьев Г.	1347.
Арутюнян Н.	2887.
Архангельская И.	181, 1801.
Архангельский Д. И.	1462.
Архипов И.	42, 948, 1426, 1676, 1822, 1878, 1938, 2460.
Архипова А.	2020.
Артюшенко С.	64.
Арцимович В.	1527.
Асеев П.	28, 90, 459, 2500.
Асланова М.	1986, 2021.
Асташев Э.	2057.
Астраханцев А.	800, 1997, 2151.
Астрецов А.	730.
Астрицов А.	2024.
Афанасьева М.	274, 517, 556, 778, 1138, 2640, 2641, 3117, 3118.
Афанасьева Н.	91, 1903, 1904, 2047.
Ахмадеев И.	2091.
Ахмедов М.	909.
Ашкинази Т.	869, 1345, 1478.
Бабак Ю. М.	2930.
Бабиченко Д.	11.
Багаутдинов Р.	401, 446, 448, 824.
Багин П.	644, 646,-658, 659, 1887, 2224, 2225, 2501.
Бажанов Ю.	2936.
Бакланов В. М.	751, 2733, 2738.
Бакулевский А. С.	1193, 2013, 2256.
Балабанов М.	179.
Баландин Р.	2664.
Барабошин С.	2704.
Бальцер Г.	2437.
Банников Н.	628.
Бардина Р. Н.	227, 938, 1000, 1240, 2852.
Басалыга В. и М.	2090.
Басмановы Н. и М.	1476, 1477.
Батурин Н.	879.
Бахаревский Г.	3146.
Бахтин В.	1086.
Бахчеван В.	2341.
Башмаков В.	281.
Бегма В. И.	772, 3657.
Бедарев Г.	2810, 2871, 2962.
Безбородов К.	158, 247, 424, 1088, 1411, 2506, 2677, 2678.
Безелюк В.	808, 1483.
Бейсембинов А.	2133, 2273.
Бейсембинова Е.	2273.
Бекетов В.	1237.
Бекетов И.	1885.
Белов Б.	2644, 2694, 2843.
Беломлинский М.	1224, 1334, 1370, 1546, 2312, 2466, 2497, 2498, 2805.
Белышев В.	1468, 1811, 2639.
Белькович Ю.	1031.
Белюкин А. И.	477, 1082, 2505.
Беляев Л.	2046.
Бендель П.	2862, 2863.
Бендингер В. А.	1544, 2660.
Бенуа А.	1745, 1746.
Беньяминсон Э.	2645, 2711.
Бердзенишвили М.	2253.
Березин Е.	1029, 1228.
Бесембинова Е.	592.
Бескаравайный В.	35, 254, 473, 537, 1156, 1384.
Беслик А.	1545.
Беспятов Е.	1134, 1474.
Бессонов В.	1818.
Бетанов Л. И.	409.
Бетехтин О.	238, 1448.
Бианки Е.	2848.
Бигйев Ю. Г.	2191.
Билибин И. Я.	1867.
Билль А.	1543, 1681.
Бирюков Л.	229, 1604, 1605, 3597.
Бисти Д.	1674.
Бишофс М.	2783.
Блинов В.	2886.
Блох А.	105, 2719, 2745, 2839.
Бобров А.	2808.
Богаевская О.	636, 874, 1125.
Богаткин В.	810, 1006.
Богородский Ю.	309.
Бодрова Г.	1834.
Бодэ Л.	97.
Божко Ф.	978, 2069.
Бойко Г.	225, 2500.
Большаков М.	1609, 1610.
Бондаренко Н.	2887.
Бордзиловская Э.	1658, 1725, 1910.
Борисов А.	2811.
Борисов В.	1400.
Боровко В.	1309, 2162, 2188.
Боровский Д.	1671.
Бородин М.	2963.
Бородкин М. И.	2634, 2635, 2636.
Бочаров В.	2512.
Бочкарев В. И.	571.
Боярский Ю.	668, 964, 1127, 1276, 2791.
Брантман А. А.	3553.
Браславский И.	1346, 1397, 2506.
Брашишките Г.	1593.
Брей А. А.	27, 86, 118, 564, 758, 777, 865, 1076, 1199, 1337, 1796, 1872, 1877, 2477, 2640, 2641.
Бродская Д.	2511.
Бродский В.	371, 989, 2497, 2886.
