Аас В.	2966.
Абашидзе Г.	4146.
Абашидзе И.	4146, 4302.
Аббуд Марун.	2442.
Абд аль-Вахид Ибрахим.	2442.
Абдель Малик Нури.	2442.
Абдирашев Ж.	1970, 4148.
Абдуллаев А.	4810.
Абдуллин А.	1.
Абдыкадырова С.	2508.
Абезгауз С.	4737.
Абидуев Б.	1971.
Абиосе Н.	2325.
Абкина М.	2498.
Абожин Ю.	2.
Абрам Э.	2954.
Абрамов А.	3.
Абрамов Г.	4.
Абрамов М.	2512.
Абрамов Р.	2699.
Абрамов С.	2503.
Абрамов Сергей.	3.
Абрамов Ф.	5.
Абрамова Н.	1953.
Абрамский И.	4609.
Абрамян Г.	6—7.
Абрахамс П.	2325.
Абсалямов Г.	2501.
Абсалямов Т.	2133.
Абчук В.	2886—2887.
Авакян Э.	2060, 2107.
Аванесов Р.	1972.
Аваткова И. И.	3010.
Авдеев В.	462.
Авдеев М.	2507.
Авдеева М.	4781.
Авдеева Р.	978.
Авдеенко А.	3946.
Авдиенко Е.	8, 2506.
Авдонина В.	4149.
Авербух О.	2648.
Авиновицкий Ф.	2824.
Агаев. Т.	2278.
Агапов В.	9, 1229.
Агапова М.	4706.
Агашина М.	482, 1472, 2508.
Агаян Г.	2107.
Агладзе А.	2954.
Аграновский В.	2649.
Агуренко В. П.	2918.
Адеишвили И.	3658.
Аджиев А.	1973.
Адлер Н.	2813.
Адрианов И.	4738.
Азадовский М.	3371.
Азаров В.	2507.
Азаров И.	1316, 2507.
Азерников В.	2651.
Азизян Е.	4089.
Азимов. С.	2648.
Азов М.	2532—2523.
Айзман Г.	2652.
Айни С.	2019.
Айтхожина М.	2508.
Акбальян Е.	4150.
Аким Я.	12—18, 181, 2501, 2506, 2640, 3250, 3452.
Акимов А.	3528.
Акимов В.	3155.
Акимова А.	1553, 3453.
Акимушкин И.	402, 1470—1471.
Акмен Э.	2956.
Акорцин В.	2277.
Аксаков К. С.	1597.
Аксаков С. Т.	1598—1599, 1608, 1718, 1939, 2488, 2490, 2493, 2502.
Аксенова А.	19.
Аксенова Е.	4638.
Аладьев В.	4472, 4639.
Аланов В.	20.
Албек Л.	21.
Александров А.	3908.
Александров Б.	2640—2641, 2653, 2965, 3038—3045, 3971.
Александров В.	22.
Александров П. С.	2791.
Александрова В.	747, 2654, 3454.
Александрова Е.	3659.
Александрова З.	23—28, 2494, 2506, 2508, 2513, 2566, 3024.
Александрова М.	3046—3047.
Александрова Т.	29.
Александрова Э.	2655.
Александрович С.	2501.
Александрович Ю.	2912.
Александровский В.	30—31, 3660.
Алексеев М.	32—33.
Алексеев Н.	34.
