Абалкин Н.	3628
Абальянц В.	2619
Абашидзе Г.	3562
Абашидзе И.	3547, 3564
Аббазов С.	1077
Абдурашид Р.	2041
Абдылдабеков К.	4295
Абидуев Б.	2388
Абикенов К.	5111
Абилев Д.	2728
Аборский А.	4200
Абрамов А.	571, 924, 3255, 3629—3630
Абрамов А. М.	1171
Абрамов Г.	2621
Абрамов Л.	2832
Абрамов М.	3883
Абрамов Р.	2823—2824
Абрамов С.	924
Абрамов Ф.	2971
Абрамова А.	2756
Абрамова М.	2571
Абрамович А.	4116
Абрамян Г.	2—3
Абуашвили А.	2055
Абу-Бакар А.	2042
Абуков К.	2043
Абчук В.	2764, 3033
Авагян Н.	2051
Авдеев В.	4
Авдиенко Е.	5—6, 2608
Аветисян Ж.	2051
Авилов М.	1
Авшалумов Х.	2587, 2591
Агай А.	3051
Агапов В.	1262
Агафонов А.	8, 1260, 2832
Агашина М.	1171
Агзам М.	2044
Агиш С.	2077
Агладзе А.	2838
Аграчева Л.	2607
Агуренко Б.	1260, 2832
Адамов А.	3256
Адамович Б.	2832
Адамян Н.	2051
Аджиев А.	2119
Адлер Н.	2961
Адлова В.	2399
Азанов В. И.	3312
Азаров В.	2642
Азбукин Б.	9
Азбукин Д.	3126—3127
Азов Д.	10
Азрапкин Ю.	2636
Айбек.	2045
Айвазян А.	2051
Айзерман Л.	4981
Айни С.	2046
Айтматов Ч.	2047—2048, 2614
Акаткин В.	1171, 36806
Акбаров А.	4296
Аквилев А.	2641
Аким Я.	12—14, 640, 2121, 2445, 2589, 2606, 2618, 2757, 3224, 3308, 3631, 4297, 4445
Акимов В.	3241, 3884
Акимова А.	3241, 3884, 4064
Акимушкин И.	15, 2765, 3128—3129
Акмен Э.	2963
Акопова Е.	2781
Акопян М.	2049
Аксаков С. Т.	1634—1637, 2593, 2598—2599, 2605, 2611—2612, 2645, 2757
Аксельрод Е.	264
Аксенов К.	2933, 2963
Аксенова Е.	3885, 4910
Акусба Ш.	2587
Акутин Ю.	3485, 3886, 4911
Акушинский М.	16
Аладжаджян С.	2051
Аладьев В.	4825
Александжак С.	4588
Александров А.	4855
Александров Анатолий.	1171
Александров Б.	3130, 3887, 4349
Александрова А.	17, 2398
Александрова Е.	18, 3131
Александрова З.	19—22, 539, 2606, 2608, 2618, 2642, 2756—2757
Александрова М.	3132—3134
Александрова Т.	23
Александрова Э.	2766
Александрович С.	2607
Александровский В.	24, 544
Алексеев В.	25, 2607
Алексеев В. Н.	2621
Алексеев М.	26—28, 1329, 2587, 2757, 3548, 3888, 4084, 4161
Алексеев М. П.	2447
Алексеев С.	29—33, 2606—2607, 2708, 2756—2757, 4117, 4440, 4912
Алексеев-Гай А.	2621
Алексеева А.	4913
Алексин А.	34—38, 109, 743, 1045, 1212, 1339, 2618, 2628, 2648—2649, 3224, 3311, 3632—3635, 3889, 3927, 4057, 4118, 4178—4179, 4185, 4203, 4684, 4891, 5112
Алексуша К.	3224
Алембекова Н.	4350
Алеников В.	463
Аленкин Б.	39
Алехин А.	2950
Алечкович М.	2516, 4223
Алешковский Юз.	40
Алигер М.	552, 999, 1171, 2634, 2640—2641
Алиев М.	2591
Алиева А.	2350
Алиева Ф.	2119
Алимова Г.	2758
Алликас А.	2089
Алмазов Б.	3033—3034
Алпатов А.	1412, 3636
Алтайский К.	41
Алтаузен Д.	1171, 2641
Алферов В.	1262, 2607—2608, 2767
Алферова Г.	2768
Алымов С.	2607
Альберти Р.	2458
Альбирт И.	2050
Альтман Н.	4665
Амаев А.	2591
Аматуни П. Г.	42
Аминов М.-З.	2119
Амири Г.	962
Амлинский В.	43, 999, 2646
Амрахов А.	2838
Ананченко А.	2624—2625
Ананьев А.	4084
Ананян В.	2051
Анастасьев А.	3313
Ангелов Ц.	821
Анденко И.	44
Андерсен Х. К.	2400—2406, 2618, 2685, 2739, 3122, 4626—4627
Андреев А.	3045
Андреев Л.	45
Андреев Л. Н.	1638—1639, 2629
Андреев Ю.	2769
Андреев-Кривич С.	46
Андреева Е.	2770, 4492—4493
Андреева И.	3890, 5102
Андреева М.	2771
Андреева Н.	4065
Андрианов Ф.	47—48
Андриасов М.	2832, 3637
Андриевич В.	2756
Андроников И.	938, 1725, 1733, 2772, 3314—3315, 3536, 3638, 3698
Андроникова М.	3214
Андронов И.	2933
Андрухаев Х.	2091
Аникин В.	1680, 1694, 1944, 1961, 1965—1966, 3041, 3316
Аникст А.	2554, 4446
Анин Б.	3257, 3891—3892
Анисенков А.	3893—3894
Анисимов Гр.	4685
Анисимова А.	2832
Антокольский А.	2650, 2708
Антокольский П.	552, 1171, 2640, 3549—3550, 3618, 3895
Антоневич М.	49
Антоненко В.	5103
Антониорроблес.	2407
Антонов С.	50
Антонова Г.	517, 3639
Антонова Л.	2771
Антонова С.	3024
Антропова Л.	4983, 5010
Антрушин А.	3034
Анучина Е.	3702
Анфилов Г.	2773
Анцыферова Л.	5000
Анчиполовский З.	36806
Аполлинер Г.	2458
Апт С.	2489, 4447
Апулей (В. В. Жуков).	2616
Арагон Л.	2458
Арази М.	2051
Аралов С.	2868
Арамян В.	2051—2052
Арамян Р.	2051
Арапов Е.	2774
Аргачева Л.	2607
Аргези Т.	2516
Ардаматский В.	4437
Ардашев А.	3033
Арефьева Г.	2971
Аринин В.	51, 2630
Аркадьев Л.	1311
Арманд И.	3024
Армстронг У.	2408
Арон К.	2775
Арро В.	52—53, 2776, 2823—2824, 3033
Арсеньева З.	4686, 5113
Арслан Т.	962
Артеменко Л.	54—55
Артемов Н.	2823
Артемьев А.	2587
Артуртон А.	2551
Артюхова Н.	2594, 2606
Арузманян Г.	4425
Арутюнов С.	2964
Архангельский В.	56, 418, 1208, 2607, 3641—3642
Архипов В.	3317
Архипова Л.	3551
Аршакян Г.	2051
Асаналиев К.	4295
Асафьев Б.	2952
Асеков И.	2119
Аспиз М.	2607—2608
Астафьев В.	57—59, 2623, 4196
Астемирова И.	2635
Астрейко А.	2053
Атакишиев А.	2054
Атаров Н.	60
Атнилов Д.	2606
Аттли Э.	2526
Аугуста О.	2651
Аушев В.	61, 2630
Ауэзов М.	4295
Афанасьев А.	540
Афанасьев А. Н.	1960, 2031, 2038—2039
Афанасьев Ю.	62
Афанасьева Ю.	4914
Афзалов М.	2331
Афоньшин С.	63
Ахвледиани Э.	2055
Ахмадов У.	2211
Ахматова А.	1171, 2640—2641, 3552
Ахмедов Р.	64
Ахмедова А.	4066, 4915
Ахмет А.	2056
Ахметгалиев М.	2643
Ахундова А.	2335, 2337, 2393, 2620
Ахунов Г.	2265, 4298, 4351
Баал Хабырыыс.	2057
Бабаев Э.	65, 372, 1819, 2559, 3318—3319
Бабаков Г.	66
Бабиченко Д.	2699
