Абгарян А.	1286
Абоев З.-Б.	3085
Абрамова А.	4855
Авакян С.	3342, 3906
Августович-Колесникова Ж.	3236
Авдеев В.	973, 1023, 2083, 4242, 4586
Аверкиев В.	220, 445, 517, 2685, 3574, 3594, 3947, 4802
Аверьянов М.	4874
Авзурагов Б.	4709
Авотин Р.	3938
Аврутис Х.	2154, 2155
Агеев В.	566, 3263
Адаев В.	343, 361, 738, 804, 1352, 1635, 1841, 3053, 4588
Адамов Е.	3876, 4457
Адамова В.	2526
Адамович Р.	1208
Аземша А.	1756, 2270, 4503
Азимов Р.	830
Айдыралиева Г.	3279
Айзман О.	2088, 4516, 4748, 4771
Аканаев А.	2981
Акбулатов Б.	2209
Акмурадов Ш.	3331
Акопян Н.	2976
Аксенова Н.	690
Акуваев Э.	710, 4643
Акулиничев Б.	1338
Акулов Г.	129, 1161, 1600, 2174, 3303
Алантьев В.	2750
Алекперов А.	4717
Александров К.	2712
Александрова Е.	512, 2048, 2520, 4739
Алексеев В.	339, 405, 1179, 2081, 2600
Алексеев Л.	1796
Алексеев М.	809, 1544
Алексеев Н.	905
Алексеев П.	63, 568, 1838, 2744, 2947, 3593
Алексеева В.	2380, 4899
Алексеева Т.	1920, 2783, 3929
Алексеева Ю.	464, 480, 2550
Алешин А.	536, 3665, 3686
Алешин В.	2467
Алиев К.	2951
Алимов Б.	2743, 3938
Алимов Г.	151, 152, 234, 383, 787, 1227, 2995, 3058, 3063, 3108, 3112, 3270, 3568, 3954, 4685
Алимов С.	1156, 3894, 4478
Алин М.	3457
Алсуфьев Н.	734, 1549, 2175, 2466, 3312, 3527, 4779
Алфеевский В.	3478, 3570
Альбокринов Е.	1065, 1478, 1480
Альгина Л.	1458
Альмеев Н.	4297
Амирагова М.	3337
Ампилогов О.	253, 1234, 2345, 2965, 4148
Анарбеков С.	3069
Андреев А.	3930
Андреев Н.	1056, 4206, 4311, 4740, 4741, 4752
Андреев О.	3945, 3946, 4157
Андреева Е.	424, 425, 426, 1594, 1743, 3051, 4633
Андрианов И.	2620, 4872
Андриевич В.	233, 2153, 2157, 2669, 2789, 2790, 2833, 2840, 2842, 2901
Андриолли.	3676
Андрус Л.	3560
Анидалов П.	239, 513, 1814
Аникин Б.	4311, 4740, 4741
