author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex,included
"Айтматов, Ч. Т.",Б-ка мировой лит д детей,повесть,1985,407000,NA,NA,NA,NA,Москва,м,Ранние журавли
"Алексин, А. Г.",Сигнальщики и Горнисты,повесть,1985,200000,NA,NA,1,NA,Москва,м,Третий в пятом ряду
"Алексин, А. Г.",Сигнальщики и Горнисты,повесть,1985,200000,NA,NA,1,NA,Москва,м,В тылу как в тылу
"Алексин, А. Г.",Сигнальщики и Горнисты,повесть,1985,200000,NA,NA,1,NA,Москва,м,"""Безумная Евдокия"""
"Алексин, А. Г.",Сигнальщики и Горнисты,повесть,1985,200000,NA,NA,1,NA,Москва,м,Ивашов
"Алексин, А. Г.",Сигнальщики и Горнисты,повесть,1985,200000,NA,NA,1,NA,Москва,м,Сигнальщики и Горнисты
"Алексин, А. Г.",Б-ка мировой лит д детей,повесть,1985,407000,NA,NA,NA,NA,Москва,м,В тылу как в тылу
"Алексин, А. Г.",Б-ка мировой лит д детей,повесть,1985,407000,NA,NA,NA,NA,Москва,м,Раздел имущества
"Алексин, А. Г.",Б-ка мировой лит д детей,повесть,1985,407000,NA,NA,NA,NA,Москва,м,"""Безумная Евдокия"""
"Алексин, А. Г.",Б-ка мировой лит д детей,повесть,1985,407000,NA,NA,NA,NA,Москва,м,Мой брат играет на кларнете
"Алексин, А. Г.",Б-ка мировой лит д детей,повесть,1985,407000,NA,NA,NA,NA,Москва,м,А тем временем где-то…
"Алмазов, Б. А.",Посмотрите - я расту,повесть,1985,150000,1,NA,NA,NA,Ленинград,м,Посмотрите - я расту
"Алмазов, Б. А.",Оглянись! 1,повесть,1988,150000,1,NA,NA,NA,Ленинград,м,Деревянное царство
"Алмазов, Б. А.",Оглянись! 1,повесть,1988,150000,1,NA,NA,NA,Ленинград,м,Считаю до трех!
"Артюхова, Н. М.",Большая береза,рассказ,1988,450000,1,NA,NA,NA,Москва,ж,Большая береза 
"Артюхова, Н. М.",Большая береза,рассказ,1988,450000,1,NA,NA,NA,Москва,ж,Совсем одинаковые
"Артюхова, Н. М.",Большая береза,рассказ,1988,450000,1,NA,NA,NA,Москва,ж,Приехали!
"Артюхова, Н. М.",Большая береза,рассказ,1988,450000,1,NA,NA,NA,Москва,ж,Фарфоровые шаги
"Артюхова, Н. М.",Большая береза,рассказ,1988,450000,1,NA,NA,NA,Москва,ж,Подружки
"Астафьев, В. П.",Васюткино озеро,рассказ,1985,50000,1,NA,NA,NA,Красноярск,м,Васюткино озеро
"Астафьев, В. П.",Васюткино озеро,рассказ,1985,50000,1,NA,NA,NA,Красноярск,м,Дядя Кузя - куриный начальник
"Астафьев, В. П.",Васюткино озеро,рассказ,1985,50000,1,NA,NA,NA,Красноярск,м,Захарка
"Астафьев, В. П.",Васюткино озеро,рассказ,1985,50000,1,NA,NA,NA,Красноярск,м,Гирманча находит друзей
"Багров, С. П.  ",Белые сени,повесть,1986,150000,1,NA,NA,NA,Ленинград,м,Белые сени
"Баныкин, В. И.","Там, где живут березы",рассказ,1985,150000,1,NA,NA,NA,Москва,м,"Там, где живут березы"
"Бачинская, С. В.","Про силу воли и клубничное варенье, а также другие веселые истории",рассказ,1989,100000,1,NA,NA,NA,Алма-Ата,ж,"Про то, как у папы лопнуло терпение"
"Бачинская, С. В.","Про силу воли и клубничное варенье, а также другие веселые истории",рассказ,1989,100000,1,NA,NA,NA,Алма-Ата,ж,Про двух братьев и Анюту из Малиновки
"Бачинская, С. В.","Про силу воли и клубничное варенье, а также другие веселые истории",рассказ,1989,100000,1,NA,NA,NA,Алма-Ата,ж,Про этикетки и фантики
"Бачинская, С. В.","Про силу воли и клубничное варенье, а также другие веселые истории",рассказ,1989,100000,1,NA,NA,NA,Алма-Ата,ж,Про силу воли и клубничное варенье
