author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex,lastname,ntitle
"Абдулин, А.","Не забывай меня,солнце",Повесть,1973-01-01,50000,FALSE,TRUE,TRUE,FALSE,Москва,м,Абдулин,не забывай менясолнце
"Абдуллин, А.",Белое молоко,Повесть,1976-01-01,100000,FALSE,FALSE,TRUE,NA,Москва,м,Абдуллин,белое молоко
"Абдулова, В. В.",Литсья банана,NA,1980-01-01,150000,TRUE,FALSE,FALSE,FALSE,Ленинград,ж,Абдулова,литсья банана
"Абожин, Ю.",В черном логове,Повесть,1973-01-01,75000,FALSE,FALSE,TRUE,FALSE,Хабаровск,м,Абожин,в черном логове
"Абрамов, А.;Абрамов,С.",Все дозволено,Фантаст.роман,1973-01-01,100000,FALSE,TRUE,TRUE,TRUE,Москва,м,Абрамов,все дозволено
"Абрамов, С. А.",Выше радуги,Повести,1983-01-01,100000,NA,TRUE,NA,NA,NA,м,Абрамов,выше радуги
"Абрамов, Ф.",Две зимы и три лета,Роман,1977-01-01,150000,FALSE,FALSE,TRUE,NA,Ленинград,м,Абрамов,две зимы и три лета
"Абрамов, В.",Детские и юношеские странствия,Повесть,1964-01-01,100000,TRUE,TRUE,NA,NA,Москва,м,Абрамов,детские и юношеские странствия
"Абрамов, В.",Детские странствия,NA,1956-01-01,30000,TRUE,TRUE,FALSE,NA,Москва,м,Абрамов,детские странствия
"Абрамов, Ф.",Жила-была семужка,Повесть,1980-01-01,100000,FALSE,TRUE,TRUE,FALSE,Ленинград,м,Абрамов,жила была семужка
"Абрамов, Ф.",Из рассказов Олёны Даниловны,Рассказы,1978-01-01,300000,TRUE,FALSE,FALSE,NA,Ленинград,м,Абрамов,из рассказов олены даниловны
"Абрамов, Ф.",Из рассказов Олены Даниловы,Рассказы,1972-01-01,100000,TRUE,FALSE,FALSE,FALSE,Ленинград,м,Абрамов,из рассказов олены даниловы
"Абрамов, Л.; Шибаева, Л.","Пароль поиска - ""клаятва""",Повесть,1971-01-01,30,NA,NA,NA,NA,Ростов-на-Дону,м;ж,Абрамов,пароль поиска клаятва
"Абрамов, Ф.",Пелагея,Повесть,1980-01-01,500000,FALSE,TRUE,FALSE,FALSE,Москва,м,Абрамов,пелагея
"Абрамов, Ф.",Пролетали Лебеди,Рассказы,1979-01-01,10000,FALSE,TRUE,TRUE,FALSE,Ленинград,м,Абрамов,пролетали лебеди
"Абрамов, А.; Абрамов, С.",Селеста - 7000,Роман,1971-01-01,100,NA,TRUE,TRUE,NA,Москва,м;м,Абрамов,селеста 7000
"Абрамян, Г.",Кто взял фальшивую ноту?,Повесть,1971-01-01,100,TRUE,NA,NA,NA,Москва,м,Абрамян,кто взял фальшивую ноту
"Абрамян, Г.",Страдивариус,Расказ,1972-01-01,300000,TRUE,FALSE,FALSE,FALSE,Москва,м,Абрамян,страдивариус
"Абрамян, Г.","Эй,Антонио!",Рассказы,1972-01-01,100000,TRUE,FALSE,FALSE,FALSE,Москва,м,Абрамян,эйантонио
Августынюк А.,Находчивый машинист,Рассказы,1948-01-01,30000,FALSE,TRUE,FALSE,FALSE,Москва; Ленинград,м,Августынюк,находчивый машинист
"Августынюк, А.",Серебряный паровоз,Повесть,1953-01-01,30000,FALSE,TRUE,TRUE,TRUE,Москва; Ленинград,м,Августынюк,серебряный паровоз
"Авдеев, В.",Крылатый связист,Рассказ,1974-01-01,750000,TRUE,FALSE,FALSE,NA,Москва,м,Авдеев,крылатый связист
